단어,점수
게울,-1.0
게워,-1.0
게으르거나,-1.0
게으르게,-1.0
게으르고,-1.0
게으르다,-1.0
게으름,-1.0
게으름을,-1.0
게으름이,-1.0
게으름이나,-1.0
게을러빠지다,-2.0
게을러터지다,-2.0
겐트위한,-1.0
겨우겨우,-1.0
겨운,-1.0
격노,-2.0
격노하다,-2.0
격동시키다,0.0
격려되다,1.0
격려하다,1.0
격분,-2.0
격분하다,-2.0
격하게,-2.0
격하다,0.0
격하시키다,-2.0
격한,-2.0
견고하다,1.0
결기가,-1.0
결딴날,-2.0
결막염,-1.0
결석,-2.0
결석하다,-2.0
결점,-1.0
결핍,-2.0
결핍증,-2.0
결함,-1.0
결함을,-1.0
결함이나,-1.0
결핵,-1.0
겸손하게,1.0
겸손하고,1.0
겸손하다,2.0
겸손한,2.0
겸연쩍고,-1.0
겸연쩍다,-1.0
겹거나,-2.0
겹게,-2.0
경건하다,2.0
경건한,1.0
경련,-1.0
경련이,-1.0
경망스러우며,-1.0
경망스러운,-1.0
경망스럽게,-1.0
경망스럽고,-1.0
경망스럽다,-2.0
경망하게,-1.0
경망한,-1.0
경멸,-2.0
경멸하다,-2.0
경멸히,-2.0
경박스럽게,-1.0
경박하게,-1.0
경박하다,-1.0
경박한,-1.0
경사스러운,2.0
경상,-2.0
경솔하게,-1.0
경솔하고,-1.0
경솔하다,-1.0
경솔한,-1.0
경이로운,2.0
경이롭다,2.0
경쾌하다,2.0
고귀한,2.0
고급,2.0
고급스럽다,2.0
고급지다,2.0
고까워하는,-1.0
고난,-2.0
고단하다,-2.0
고단하여,-2.0
고달프다,-2.0
고도화,-2.0
고도화되다,-2.0
고되다,-2.0
고르고,2.0
고르다,2.0
고름,-1.0
고름집,-1.0
고리게,-1.0
고마운,2.0
고마움,2.0
고마움을,2.0
고마워하다,2.0
고맙게,2.0
고맙다,2.0
고백,2.0
고부라지거나,0.0
고분고분하게,2.0
고분고분하고,2.0
고분고분하다,2.0
고비를,-1.0
고상하고,1.0
고상하다,2.0
고상한,2.0
고생스러운,-2.0
고생을,-1.0
고생이나,-1.0
고생하거나,-1.0
고생하다,-1.0
고성능,2.0
고약하게,-2.0
고약하다,-2.0
고약함,-2.0
고약해서,-2.0
고열,-1.0
고요하게,1.0
고요하고,1.0
고요함,1.0
고요해짐,1.0
고운,2.0
고움,2.0
고자질함,-1.0
고작,-1.0
고장나다,-1.0
고지혈증,-1.0
고질병,-1.0
고집,-1.0
고집스레,-1.0
고집을,-1.0
고집이,-1.0
고쳐,1.0
고충,-2.0
고치다,1.0
고타분히,-1.0
고통,-2.0
고통스러운,-2.0
고통스럽거나,-2.0
고통스럽게,-2.0
고통스럽다,-2.0
고통을,-2.0
고통이,-2.0
고통이나,-2.0
고통이라는,-2.0
고품질,2.0
고한,-2.0
고함,-1.0
고혈압,-1.0
곤궁하고,-2.0
곤궁하다,-2.0
곤궁하여,-1.0
곤궁함,-1.0
곤란에,-1.0
곤란이나,-1.0
곤란하게,-1.0
곤란하다,-1.0
곤란한,-1.0
곤혹스러운,-2.0
곤혹스럽다,-2.0
곧게,1.0
곧고,1.0
곧다,1.0
골나다,-2.0
골똘하게,0.0
골리는,-2.0
곪느라고,-1.0
곯리거나,-1.0
곯아서,-1.0
곯은,-1.0
곰팡내,-1.0
곰팡이,-2.0
곱거나,2.0
곱게,2.0
곱고,2.0
곱다,2.0
곱살스러우면서도,2.0
곱살스럽게,2.0
곱살스레,2.0
곱실대다,-1.0
공갈,-1.0
공격받다,-2.0
공격하다,0.0
공경의,2.0
공경하는,2.0
공경하다,2.0
공경하며,2.0
공경하여,2.0
공경할,2.0
공교롭고,-1.0
공덕으로,2.0
공덕을,2.0
공로에,1.0
공로와,1.0
공범자에,-1.0
