닉네임,날짜,내용,종목
삼연속상한,2025-01-17T13:04:17+09:00,"재벌총수개인기업이아니다
대한민국국민모두의기업이다
자사주매입소각하고
국민소액주주배당을대폭늘려라
경영진이 사명감을가져라",005930
진고물수집가,2025-01-17T13:02:48+09:00,"삼전엔 미래가 없으니 다 미장으로 떠나주세요
혼자있고싶네요",005930
맛없어,2025-01-17T12:59:53+09:00,퍼버벙!!,005930
내가들어간다면,2025-01-17T12:58:32+09:00,아 상폐 언제 하냐니까 ㅋㅋ,005930
Sayang,2025-01-17T12:58:28+09:00,삼전 널어찌하면좋으냐,005930
삼전직원soxs삼,2025-01-17T12:58:12+09:00,"현호가 알아서 해주겠지
월루하며 힘 아껴 미장이나 해야지
삼붕이들은 휴대폰 들고 부들부글거리고 있어랔ㅋㅋㅋㅋ",005930
진고물수집가,2025-01-17T12:57:03+09:00,"일단 이거

https://news.samsung.com/kr/%EC%B4%88%EB%8C%80%EC%9E%A5-%EC%82%BC%EC%84%B1-%EA%B0%A4%EB%9F%AD%EC%8B%9C-%EC%96%B8%ED%8C%A9-galaxy-unpacked-january-2025-the-next-big-leap-in-mobile-ai-experiences",005930
만주모으기,2025-01-17T12:55:49+09:00,....,005930
오도리햅반,2025-01-17T12:53:37+09:00,미장 달러벌어. 삼전. 매수 애국중.,005930
만주모으기,2025-01-17T12:52:09+09:00,좀만 더 내려와라,005930
횡단보도그사람,2025-01-17T12:51:56+09:00,ㅋㅋㅋㅋㅋ답없습니다 이틀전 퇴사함,005930
뽀랑뽀랑뽀,2025-01-17T12:49:55+09:00,비슷한 시기에 2천씩 주운 하이닉스는 벌써 +25%인데 삼전은 -8%.. 하이닉스에 올인할 걸.. 썩어도 준치일 줄 알았지ㅋㅋ,005930
헤헤헹후,2025-01-17T12:49:36+09:00,삼성 지금 성과급 자랑할때야?,005930
떨어질께,2025-01-17T12:48:32+09:00,호재있잖아 뭐해?,005930
아날랴줌,2025-01-17T12:48:18+09:00,"아무리 그래도 삼성이 5만 전자는 너무한 가격이다!!
애플 경쟁사 아냐? ㅋㅋㅋ",005930
윤대니,2025-01-17T12:47:47+09:00,언제부터 삼성이 단타주가 되었나요,005930
돈벌어버자잉잉,2025-01-17T12:47:45+09:00,드가자~~~,005930
그거임음,2025-01-17T12:47:18+09:00,삼쪽아~삼쪽아~,005930
주식하는이일병블로그검색,2025-01-17T12:46:55+09:00,여기와서 주주도 아니면서 나스닥이나 엔비들고와서 삼전 왜사냐고 하는분들 있는데요 다 님들처럼 돈벌려고 주식하는줄 아나 자기 편협한 생각을 남한태 강요하지 마세요,005930
진고물수집가,2025-01-17T12:44:38+09:00,나만 더 사야지,005930
권물렁,2025-01-17T12:42:41+09:00,"5만원에 입 벌리고 있을게요.
5만원이 매수 타점인듯.",005930
아빠N엄마사랑해,2025-01-17T12:41:59+09:00,"삼성 ~~ 분명 뭔가 하고 있을꺼임..
그럴꺼라 생각함..
조만간 좋은일 있어야함...ㅎ
나 천만원만까지만 원금 맞출꺼임...분명 상반기중에 뭔가 나와줄꺼임...",005930
오리병장,2025-01-17T12:41:24+09:00,삼전모두다 털어버리자,005930
동아둉아,2025-01-17T12:40:38+09:00,53사고 56에 조건주문 걸어놓고 할일하셈,005930
엘씨라이더,2025-01-17T12:40:26+09:00,잘나간듯..,005930
쀼직쿵,2025-01-17T12:39:51+09:00,"56,000원 매도",005930
보일러댁에아버님놔드려야겠어,2025-01-17T12:39:30+09:00,하이닉스 주주 VS 삼전 주주,005930
블랙핑크싫어,2025-01-17T12:39:01+09:00,얘는 잠깐 올라가려하면 내려가고 한번을 위로 못서는거같다,005930
게임송,2025-01-17T12:37:37+09:00,25 언팩 날까지만 갖고있다가 매도,005930
삼성다니는박정진,2025-01-17T12:37:36+09:00,하ㅠ,005930
Brilliant7,2025-01-17T12:36:59+09:00,그들에게 시간을 주지 말라!,005930
자수성가청년,2025-01-17T12:35:55+09:00,앞으로 국장하면 손꾸락잘라야겠다,005930
아빠N엄마사랑해,2025-01-17T12:33:12+09:00,"너는 이제 좀 게얀겄따 하고 물타면 또 나락이냐..ㅎ
원금 천만원이상 안만들꺼야...그만좀 떨어져...",005930
브르스지,2025-01-17T12:32:07+09:00,삼성정리하고 Tsmc로가요 가망없음,005930
110억,2025-01-17T12:31:49+09:00,"잘못 삼
다음주 반등 나오길",005930
개브럴티,2025-01-17T12:31:02+09:00,언능 7조자사주매입 한다고 발표하라고,005930
탄지탄,2025-01-17T12:30:10+09:00,공포에사라 ㅋㅋㅋ,005930
버거형도와줘,2025-01-17T12:27:45+09:00,울나라 개미들 돈 참 많어,005930
화성가쟈아,2025-01-17T12:27:37+09:00,답도없다 한국주식,005930
호애앵앵,2025-01-17T12:26:26+09:00,"하이닉스 성과급 1350%(삼성기준 67.5%) 제안 - 하닉 노조에서 거절, 드러눕는다 시전
하이닉스의 경우 영업이익의 10% 재원 ps 성과급으로 주겠다 산정방식 선언

삼전ds 성과급 14% 일괄 통보, eva라는 정확한 수치조차 공개하지 않는 기준으로 협의따윈 없는 무책임한 행태를 3년째 보이고 있음.

기술격차는 벌어질대로 벌어져서 인재 대우는 개나줘버려서 온통 하닉으로 이직생각 뿐인데 그와중에 언론플레이에 미쳐있는 회사에 더이상 희망을 갖지 마세요",005930
한노동,2025-01-17T12:26:03+09:00,"언팩행사전까지 우하향할듯 하네요
외국인들이 자금으로 장나치기 좋은 삼전
상속세 담보설정 금액이 54인데 이건뭐.....",005930
1일100달러버는도토리도토리,2025-01-17T12:25:58+09:00,"오늘 53200지지선 유지하면
1차 목표 56300돌파되는지 확인필요",005930
소식대식주식,2025-01-17T12:24:16+09:00,하이닉스는날아가는데 얜 뭐에요?,005930
도그맨,2025-01-17T12:23:53+09:00,"수익률 궁금해서 동일 금액으로 들어가봄
조만간 비교해서 공유할께요 ㅋㅋㅋ

전 자동차로 이득볼꺼라 예상합니다",005930
수민93,2025-01-17T12:23:03+09:00,자사주 매입이 개미들한테 탈출 기회네 이재용 경영 겁나 못하네,005930
팔때까지번게아냣,2025-01-17T12:20:48+09:00,5만 3천원대 오면 무조건 한번은 치더라,005930
가치투자로5억만들기,2025-01-17T12:20:37+09:00,안샀으니깐ㅋㅋㅋㅋㅋㅋ,005930
hahau,2025-01-17T12:18:49+09:00,정신나간척 천만원 매수해볼까,005930
이편한여사,2025-01-17T12:17:48+09:00,밥은 먹고 다니니....왜케 맥을 몬추노ㅜㅡㅜ,005930
쪽박찬인생,2025-01-17T12:17:42+09:00,미띤 쩐자,005930
단타노예,2025-01-17T12:17:07+09:00,근데 가긴 가냐?,005930
개브럴티,2025-01-17T12:16:57+09:00,남은 7조 자사주매입 시작해야지 이러다 나락 간다...빨리 자사주 7조 투입해라... 하루에 60만주 씩 사서 못끌어올린다.,005930
하트뿅뽕날아가자,2025-01-17T12:16:52+09:00,이제 기관도 버리나,005930
나르자,2025-01-17T12:16:39+09:00,"겁나 사고 싶다.
개미중에 상개미라 돈이읍네
ㅜㅜ",005930
그지왕초,2025-01-17T12:14:23+09:00,-,005930
그지왕초,2025-01-17T12:13:32+09:00,-,005930
수수별,2025-01-17T12:12:53+09:00,"""M7기술 정착하는데 15년 걸려...""",005930
이편한여사,2025-01-17T12:12:49+09:00,물타기도지겹다.,005930
만주모으기,2025-01-17T12:12:46+09:00,더 떨어져야 사는뎁..지금도 비싸;;;;,005930
남보초식추,2025-01-17T12:12:25+09:00,"아암
그렇고 말고
삼성아 넌 그러면 안된다",005930
홍pro,2025-01-17T12:11:47+09:00,삼성망허자~~,005930
꼭내가팔면오르더라,2025-01-17T12:09:26+09:00,"언제 사뒀지...
지겨워서 걍 털고나간다",005930
신월희,2025-01-17T12:08:34+09:00,아직 박스권이라서 괜찮아요 이탈하면 그때 손절하면 돼요,005930
빼기전까지손해아님,2025-01-17T12:05:04+09:00,주주들한테 외면 받고 결국 소비자에게도 외면 받을 꺼 같다 지금 하는거 보면 답이없음,005930
개미는언제쯤,2025-01-17T12:04:10+09:00,"바닥으로 계속 가는..

언제까지 내려갈라고...

답답...",005930
코닐로집사자,2025-01-17T12:03:25+09:00,망햇...이거할바엔 미장을 하세요 안늦엇음,005930
이름모를,2025-01-17T12:01:29+09:00,"지나간다 이 고통은 분명히 끝이 난다
내 자신을 달래며 하루하루 버티며 꿈꾼다
이 떡락의 끝을",005930
달팽이도집이있는데난뭔데,2025-01-17T12:01:14+09:00,"내가 잘못한 거지 ㅋㅋㅋㅋ 미장만 하다 자리 괜찮아보여서 왔더니 박스무빙 질린다 질려

탭 필요해서 갤탭이랑 아이패드 비교해보는데 삼성은 아이리버꼴 나고 싶어서 이러나 싶다",005930
알타비스타,2025-01-17T11:59:39+09:00,지금이라도하이닉스로갑시다,005930
구라핑,2025-01-17T11:58:30+09:00,"ㅋㅋㅋㅋ 52에사서 56,57에 파는게 국룰이 됬그나
여기도",005930
아아아엉아,2025-01-17T11:58:28+09:00,"얘 월봉 120월봉선 깨고서 항상 올랐음

거 하나믿고 삿다",005930
열혈아빠,2025-01-17T11:55:32+09:00,"또또 저러네~~ 어제 상승분 다 반납하고 비실비실, 맥아리 없이 떨어지는 중…ㅉㅉㅉ",005930
불소타고가요,2025-01-17T11:55:07+09:00,조금만 담아갑니다,005930
개꿀빠셍,2025-01-17T11:53:22+09:00,큰 욕심 없습니다 치킨값만 주세요,005930
동동파다,2025-01-17T11:53:07+09:00,숨겨놓기 해야되나,005930
푸르른른,2025-01-17T11:53:00+09:00,외국인들도 파는거 광기네 거의 1시간이 100만주씩 매도중 이추세면 오늘 600만주 이상 팔듯,005930
돈을부르는고양이,2025-01-17T11:52:25+09:00,삼성이야 뭐 ㅠㅠ 미래가 솔직히 너무 어둡죠. 우리나라 반도체의 미래를 투자하려면 하이닉스나 한미반도체로 가셔야 하고요.. 자사주 매입 기간 동안 5만 초반대에 주워서 중후반에 파는 단타용으로 전락해버린..,005930
아기상어쪙,2025-01-17T11:52:02+09:00,7~8층이신분들 계세요??,005930
수수별,2025-01-17T11:51:53+09:00,시청 쪽 정동 아트센터 지나갈때 아주머니들이 90000원대에서 단타쳐서 수익봤다고 깔깔거리면서 자랑하는거 들은게 어제적같은데 벌써 3년 지났구나 ㅋㅋ,005930
삼연속상한,2025-01-17T11:49:05+09:00,"닉스도
전신인
현대전자였나
하두오래돼서가물가물
기업재정비로
Sk에서인수할때손실났었는데
그래도믿고지금까지장투
평단8만
수익중이지만
삼전은와이라노",005930
카와이개장수,2025-01-17T11:48:14+09:00,작년에 배당 3번 만 줬나요?,005930
3짤이에요,2025-01-17T11:47:08+09:00,가능?,005930
트레인,2025-01-17T11:46:54+09:00,또 떨구네 ... 뭐고 진짜... ㅋㅋㅋㅋ 회장님이 보고싶군요 ...,005930
삼전가자1,2025-01-17T11:46:18+09:00,"이번에 자사주매입10조중에 2조만 소각확정
남은8조로 주겟단건데 잔머리쓰는중
내년부터 지급에 1년간매도금지
이재용 반대매매 2년간 시간벌수있음",005930
그라소,2025-01-17T11:45:30+09:00,"제길, 그동안 기다려봐도 잡주네. 하이닉스로 갈아 타야겄다. 대한민국 대표주 라는 꼬락서니 이름표가 무색하구나",005930
유우후후,2025-01-17T11:44:40+09:00,나62층이야 ㅎㅎㅎㅎ,005930
아직은주린잇,2025-01-17T11:44:26+09:00,삼전쵝오!,005930
유우후후,2025-01-17T11:44:26+09:00,언제올꺼야?ㅎㅎㅎ,005930
늘푸르다람쥐,2025-01-17T11:44:25+09:00,"삼전이 빠지면 더살수밖에ㅋㅋ
기술주에서 가치주로 바뀌고있다한들 삼전기업가치가 5만원대는 아니지
믿고 간다",005930
코카콜라주식,2025-01-17T11:44:11+09:00,5만 2천원까지 떨어지면 추매 해야할까여 그냥 둘까요??,005930
콧구멍벌룬벌룬,2025-01-17T11:43:35+09:00,다른반도체주 다오르는데 넌뭐하냐,005930
아블미,2025-01-17T11:43:20+09:00,제길 ㅋㅋ,005930
2030년미래에서왔다,2025-01-17T11:43:08+09:00,갤럭시 출시할때 반등보고 난 떠난다,005930
멜루렌,2025-01-17T11:42:53+09:00,재매집하러 왔습니다,005930
날아라고고고,2025-01-17T11:41:43+09:00,"삼전에게도 응원의 메시지를 보내야겠군

삼전!삼전!삼전! 화이팅!!!",005930
조용히하고,2025-01-17T11:41:22+09:00,다블로 살께유,005930
창민이다,2025-01-17T11:40:35+09:00,주식 잘 아는것도 아니지만 차트도 의미없는 주식 첨봄,005930
서노최고,2025-01-17T11:40:18+09:00,돌머리재용이는 안되 머리좋은 사람이 회장되야지,005930
주린이초봉,2025-01-17T11:39:26+09:00,쓰읍 아무리ㅜ봐도 단타맛집인데,005930
빰냥갱,2025-01-17T11:39:10+09:00,"49000가면 사볼까함
많이는 말고 한 100주 정도만..",005930
떡상이잉,2025-01-17T11:37:45+09:00,내친구 삼전사서 혼나는중,005930
떡주주,2025-01-17T11:37:05+09:00,샀다 팔았다. 일주일 단위로 흔드네.,005930
불장굿,2025-01-17T11:36:30+09:00,전량익절 이제쳐다도안본다 ㄹㅇ,005930
20억벌면사장뺨때릴거임,2025-01-17T11:34:51+09:00,8만전자를 꿈꾸나 본데 차라리 다른걸,005930
반연힘들어,2025-01-17T11:33:12+09:00,현직자가 던지라고할때 다던지라니깐 무슨똥고집만 부리냐 D1C D1D D0a도 큰일났다 ㅋㅋㅋ,005930
명금당,2025-01-17T11:30:42+09:00,진짜 짱난다 이거왜샀지,005930
천재주린i,2025-01-17T11:30:14+09:00,입성,005930
세상모든일에감사하기,2025-01-17T11:28:24+09:00,경쟁력 없는 삼전을 왜삼?,005930
물탈까물까,2025-01-17T11:28:13+09:00,하이닉스는 오늘도 오르고 있다 ㅌㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋ 아 하닉살걸 괜히 삼전 물타서;,005930
깅꽁꽁,2025-01-17T11:28:07+09:00,개 잡주,005930
인니v,2025-01-17T11:26:18+09:00,삼전엔 2030년 경영목표로 주주가 눈여겨 볼 미래 호재가 멀까여...,005930
풍선이당,2025-01-17T11:26:11+09:00,ㅋㅋ 삼전 배당률 금리랑 같아질때까지 얼마 안남음,005930
도롱롱롱롱,2025-01-17T11:25:31+09:00,걍 버립니다 이게 답임 ㅅㄱ,005930
투자대회참가자48075,2025-01-17T11:24:02+09:00,진짜 지겹다,005930
08개미,2025-01-17T11:22:20+09:00,1000주 추매 기회?,005930
도롱롱롱롱,2025-01-17T11:21:44+09:00,53400해도 안팔리네 ㅠ,005930
엄마아빠돈벌어올게,2025-01-17T11:20:50+09:00,진짜 8층에 계신분들은 답답하고 미치겠네요,005930
뿌니걸,2025-01-17T11:20:44+09:00,싫다 삼전 주식은 삼전은 아닌듯,005930
바리스타커핑,2025-01-17T11:20:25+09:00,하..,005930
오늘도꼬라,2025-01-17T11:20:03+09:00,"1000원오르고 다음날 1500원 빠지고..
500백원오르고 다음날 800원 빠지고..
이거 0에 수렴하는거 아녀?
미티네 진짜ㅠㅠ",005930
가주아으아,2025-01-17T11:19:55+09:00,"거의 실패함
왜 실적있고 똑똑한 사람 CEO로 영입
안하고 단지 핏줄이라고 능력도 안보고 엄청난 식구딸리고 수많은 투자자가 있는 그 큰회사를 함부러 맡기는건지 이해가 안됨",005930
수민93,2025-01-17T11:19:15+09:00,"경영진아 좀 힘내봐 너네도 주식 많이 들고있잖아
너네 재산이 줄어 드는데 일좀 하자 제대로",005930
다정한이,2025-01-17T11:18:33+09:00,개인들이 팔아야 올라가요~,005930
디디32,2025-01-17T11:17:06+09:00,우와..... 어디까지 가세요....... 올라가세요..!!!🍀,005930
배도루,2025-01-17T11:16:16+09:00,거래대금에서 이렇게 순위가 마니내려왔네 ...그만큼.중소잡주가.되어간다는.말이군..,005930
반포야,2025-01-17T11:15:54+09:00,인간 말종이다 이재용이 싫던좋던 어디나와서 말좀해봐라 뒤에숨지말고,005930
주린이초봉,2025-01-17T11:14:10+09:00,지금이니,005930
장투그만,2025-01-17T11:13:56+09:00,본전한번만...,005930
올해도풍년,2025-01-17T11:13:32+09:00,미래가없어,005930
은돌짱,2025-01-17T11:13:19+09:00,안본다,005930
아기주서,2025-01-17T11:12:51+09:00,얘를 우짜지,005930
은돌짱,2025-01-17T11:11:35+09:00,장투다,005930
1993,2025-01-17T11:11:26+09:00,5.5층 탈출 가능성이 있는가?,005930
은돌짱,2025-01-17T11:11:26+09:00,그래.어디한번가보자,005930
수바라리요,2025-01-17T11:11:19+09:00,답없는삼전,005930
살구네엘리,2025-01-17T11:09:19+09:00,내가 너를 왜 샀을까 ㅠㅠㅠㅠㅠ,005930
왜그러냐,2025-01-17T11:09:11+09:00,밉지만 그래도 지키기로 마음먹었어!!,005930
ojingo,2025-01-17T11:08:31+09:00,삼전이 안오르면 코스피가 못오름..,005930
푸르른른,2025-01-17T11:08:27+09:00,재드래곤 무슨 생각일까,005930
브레인2,2025-01-17T11:07:20+09:00,"이놈의 삼전...계륵이구나.
버리자니 그렇고..
갖고 가자니 열통 터지고",005930
특징주알리미,2025-01-17T11:06:30+09:00,"삼성전자 소식을 가져왔어요.

삼성전자가 미국 기술주 하락 영향에 약세다.

👇 토스증권에서 기사 보기


앞으로 의 주가는?",005930
도롱롱롱롱,2025-01-17T11:06:09+09:00,그냥 손절해야지,005930
삼전가자1,2025-01-17T11:05:50+09:00,"이재용이 똥볼계속차면 가능함
삼전4만원 하닉30만원 ㅋㅋㅋ",005930
양평동발발이,2025-01-17T11:05:19+09:00,10% 손실중인데... 그냥 팔고 하이닉스 가고 싶다...,005930
멜뤼온,2025-01-17T11:05:14+09:00,얘만 말썽이네,005930
미라클둰,2025-01-17T11:05:11+09:00,향후 가능성,005930
흐흐이,2025-01-17T11:02:55+09:00,#4만가자,005930
peterleem,2025-01-17T11:02:03+09:00,잘보고 판단하세요,005930
AVALACH,2025-01-17T11:00:59+09:00,"어차피 5,7500 ~ 52000 박스권 단타인건 알지만 이런식 투자 노답이네 국장에서 투자를 논하는 것도 넌센지만 ㅋㅋ",005930
내오스,2025-01-17T11:00:45+09:00,오늘 종가 53000원 예상,005930
박스피담당일진,2025-01-17T11:00:31+09:00,대만한테 붙어서 똥꼬나 빠는게 주주들한테 더 좋다,005930
2000912,2025-01-17T10:59:30+09:00,전자,005930
내돈슬퍼,2025-01-17T10:59:27+09:00,어느 정도일까요,005930
시드머니100억,2025-01-17T10:59:23+09:00,53000원 빨리와줘 기다리고있어,005930
고딩의우주우주,2025-01-17T10:59:02+09:00,아 코브라 뭔데,005930
내가만들어간다,2025-01-17T10:58:37+09:00,역시는 너는 53전자구나 항상 제자리 대단하다,005930
푸르른른,2025-01-17T10:58:29+09:00,1,005930
무적용님,2025-01-17T10:58:11+09:00,상승 좀 했다고 2억 넣고 6천 마이너스인 거 공개하면서 이렇게 돈 버는 거라던 사람 마이너스 9천 쯤 되었으려나,005930
란랸라,2025-01-17T10:57:59+09:00,다시들어왔어요!,005930
불장굿,2025-01-17T10:57:46+09:00,이게맞나,005930
아리용사,2025-01-17T10:57:32+09:00,"뭐가 없는데 버거형들이 오것슈? 짝사랑이지 ㅠ ㅠ
울와이프 내가 그리 삼전사지 말라고 말렸는데
십만전자 갈꺼라고 … 손해보고 팔았는데 테슬라로 번돈으로 내가 매꿔줌 ㅡ ㅡ ;;;
의문의1패",005930
투자마스타,2025-01-17T10:57:23+09:00,날은 쌀쌀한데 왜 이렇게 아이스크림 녹듯 질질 녹아 없어질까? 오늘도 거래창 그만 볼란다ㅠㅠ,005930
마르티,2025-01-17T10:57:12+09:00,"삼성 좋은시절 다간듯
예전 삼성이 아님… 재용이가 다말아먹네
회장자리에서 내려가라 제발 ㅡㅡ",005930
노고단정상,2025-01-17T10:56:15+09:00,4만전자 빨리 가즈아,005930
핀발이,2025-01-17T10:55:54+09:00,진짜 잡주,005930
더도말고백억만벌자,2025-01-17T10:55:54+09:00,"계속떨어져봐
하루종일 일도손에 안잡히고 휴대폰 보면서 신세 한탄하면 그만이야",005930
지용상생,2025-01-17T10:55:46+09:00,삼전은 이제 완전히 동네북이네,005930
INDEXNASDAQ,2025-01-17T10:55:37+09:00,"해외 스마트폰 점유율 이미 중국에게 뺏김
얼마전 아직1위라고 뉴스 떴는데, 그거 한국 빼고 집계하면 1위 아님.

국내도 샤오미 + 단통법 폐지로 입지가 불안해지는중. 사오미가 플래그쉽 제품 공짜폰으로 뿌릴게 뻔한데 삼성은 그거 따라가자니 적자고 안하자니 그돈씨 아이폰 됨

메모리 제외한 모든 반도체 사업 미래없음.
HBM은 처음부터 다시해야하는 설계실패
파운더리는 대기업 고객 하나도 없음
엑시노스는 TSMC가 니들은 돈줘도 같이 일안함 ㅇㅇ 박음(갑질과 기술 도둑질 심해서 국제 왕따임)

심지어 메모리도 비싼건 미국발 중국 수출 규제 당하기 직전임",005930
오이랑나,2025-01-17T10:55:15+09:00,아놔 삼성 왜이러니,005930
장투황태자,2025-01-17T10:55:06+09:00,!개 잡 주!,005930
꾸준히1억만들기,2025-01-17T10:54:08+09:00,욕나오네 ㅋㅋㅋㅋㅋㅋㅋㅋ,005930
개브럴티,2025-01-17T10:53:58+09:00,2월전에 발표나올거 같지 않을까요?,005930
창한철,2025-01-17T10:53:08+09:00,제 자리에 있지 않다면 다이아몬드는 그저 석탄 같은 탄소 화합물에 불과하다,005930
냥냥e2,2025-01-17T10:53:00+09:00,아오오오오오,005930
냐냐파더,2025-01-17T10:52:51+09:00,"계속 떨어져봐
응 계속 사면 그만이야~~~",005930
삼전가자1,2025-01-17T10:52:35+09:00,"삼전외넘 1000억매도 하닉외넘 1000억매수
어쩌면 시총1위 바꿜수도",005930
김치디텍터,2025-01-17T10:51:47+09:00,사자마자 물림 ㅋㅋ,005930
냐냐파더,2025-01-17T10:51:46+09:00,아휴 이런 물가상승률보다 못한...,005930
오로라스야리스카이민,2025-01-17T10:51:33+09:00,삼전은 안망하지 ㅋㅋ,005930
Gentle0,2025-01-17T10:51:26+09:00,돌아오십시요 모간형님! 돌아오십시요 골드만형님!!,005930
성투합시다빠샤,2025-01-17T10:51:19+09:00,방황이 드릅게 기네 ㅠㅠ,005930
아이묭이최고,2025-01-17T10:50:06+09:00,오랫만에 왓는데 여긴 여전 하네요,005930
TM1115,2025-01-17T10:50:05+09:00,아직까지 바닦에서 그러고 있네,005930
미역국아니죠,2025-01-17T10:48:58+09:00,"이젠 땅속에 묻어 두고
내년에 함 봐야겠어요",005930
올라가야죠,2025-01-17T10:48:32+09:00,음...정해둔 손절기준이네...하...,005930
체나더,2025-01-17T10:47:16+09:00,바닥권 이어서,005930
단타충이당,2025-01-17T10:47:05+09:00,왜 와이,005930
쇠질군,2025-01-17T10:46:58+09:00,다시 주워야 하나. . .,005930
자산50억목표,2025-01-17T10:46:48+09:00,삼전에 투자한 내 손모가지를 잘라야,005930
반드시제1원칙을,2025-01-17T10:46:47+09:00,자사주 소각정도로는 날 구출하지 못하는구나,005930
체나더,2025-01-17T10:46:46+09:00,막차다,005930
개미심리상태감지기,2025-01-17T10:46:33+09:00,그떄까지 쳐다도 보지마슈,005930
체나더,2025-01-17T10:46:18+09:00,마지막 세일 중,005930
아주느리게,2025-01-17T10:45:55+09:00,대단하네ㅋㅋㅋ,005930
바름초이,2025-01-17T10:45:16+09:00,어처구니가 없구먼!!,005930
죽백나무,2025-01-17T10:45:05+09:00,오를때까지 적금넣다 생각하고 6개월. 1년.2년짜리 이자 기다려봅니당,005930
블루판다,2025-01-17T10:44:42+09:00,TSMC한테 밀렸으면 떨어지는거 당연한거아닌감?,005930
원래버핏후손,2025-01-17T10:44:32+09:00,"얌마 . 내가 일케까지는 광분않을랬는데
6만원이 그리어렵냐?",005930
반드시제1원칙을,2025-01-17T10:43:54+09:00,차트가 진짜 고양이같이 생기긴 했다,005930
peterleem,2025-01-17T10:43:41+09:00,MBC 는 언제나 옳아요,005930
푸르른른,2025-01-17T10:43:01+09:00,"ㅋㅋㅋㅋㅋ 연봉 종가 0%.ㅋㅋㅋㅋㅋㅋ
음봉 직전",005930
나는신신,2025-01-17T10:42:52+09:00,빨리들 도망가세요 비전없어요,005930
따라하면망함,2025-01-17T10:42:44+09:00,"이런 주식을 왜사는걸까
5년전보다도 주가가 낮은주식
미래가 없다 국장도 잘찾으면
보석같은 주식이 있다
시간낭비 하지맙시다",005930
고민시귀요미,2025-01-17T10:42:31+09:00,음,005930
반드시제1원칙을,2025-01-17T10:42:14+09:00,오늘은 금요일 하락 맞는날,005930
띵땡뚱가즈아,2025-01-17T10:42:03+09:00,삼전 개똥주래요(소근소근),005930
판다팔아버린다,2025-01-17T10:40:49+09:00,"국장은 나같은 등구나 하는 거다
아니면 거늬처럼 주작으로 벌던가",005930
PEEDA,2025-01-17T10:40:03+09:00,거의 다 왔다.,005930
고민시귀요미,2025-01-17T10:39:39+09:00,사야징 ...존버,005930
감과촉으로매매,2025-01-17T10:39:37+09:00,떨어지는 이유라도 알고싶네요 외국인 기관들 왜 파는걸까요?아래에 지하가 있다고 생각하는건가…,005930
내꿈은나,2025-01-17T10:38:43+09:00,고양이가 막 누르더니 사졌어요ㅠㅠㅠㅠㅠ 환불 안되나요 😭😿😿😿😿,005930
국주보다는미주,2025-01-17T10:38:38+09:00,단타하러 언제 들어가지.. 흠,005930
반드시제1원칙을,2025-01-17T10:38:15+09:00,제발 제 삼성전자를 6만원에 사주세요.,005930
없는돈이다생각해,2025-01-17T10:38:10+09:00,이야 쩐다 ㅋㅋㅋㅋㅋ,005930
은돌짱,2025-01-17T10:37:49+09:00,뭐야.,005930
우우야최고,2025-01-17T10:37:47+09:00,고만 내려가랏ㅜㅜ,005930
제네신,2025-01-17T10:37:20+09:00,"어제가 저점이라 생각해서 샀거늘…
더 파고들어가네
강제 존버다
1달이면 5.7은 찍겠지",005930
주식대식구,2025-01-17T10:37:12+09:00,이재용은모하나 그냥바지회장ㅋ,005930
나만사면다이브,2025-01-17T10:36:48+09:00,120 월선마저 깨지네요,005930
개브럴티,2025-01-17T10:35:35+09:00,3일동안 공매도물량 80만물량 때문에 일부러 떨어뜨리는거임?,005930
곧휴장,2025-01-17T10:35:09+09:00,개잡주 ㅋㅋ,005930
고민시귀요미,2025-01-17T10:35:05+09:00,주식은 우량주만,005930
남보초식추,2025-01-17T10:34:59+09:00,부탁이다,005930
타이칸터보GT,2025-01-17T10:34:39+09:00,"작년부터 내말듣고 미국주식삿으면

계좌양전하고도남았겠다

환율이비싸다고 ? 나는오늘월급도 싹다환전함",005930
그라주식쿤,2025-01-17T10:33:00+09:00,임종 전 마지막 심박도 보는거 같네 웃음도 안나온다,005930
와카야마라멘,2025-01-17T10:31:33+09:00,오늘 53000찍고 막판에 또 방어 들어갈듯… 요라인 뚫리면 회장님들 증거금 더 넣어야된다던디,005930
돌멩아,2025-01-17T10:30:19+09:00,"삼전 하락한 이유
김민희 홍상수 때문인가요?",005930
장투황태자,2025-01-17T10:29:41+09:00,상폐해라 그게 답이다.,005930
peterleem,2025-01-17T10:28:45+09:00,"아직임?
사만전자되면 알려주세요",005930
쿠즈아,2025-01-17T10:27:47+09:00,외국인 기관 다 팔고있네,005930
등대남,2025-01-17T10:27:23+09:00,또 추매 해야하는겨?나한테 왜 그러니 정말......실망이야 삼전!!!,005930
01년생,2025-01-17T10:27:18+09:00,삼전은 답이 없다🚨,005930
anasi,2025-01-17T10:27:05+09:00,사망전자 이재용 바지사장이 있는 한 회생 불능 ㄷ,005930
이편한여사,2025-01-17T10:26:46+09:00,크크크 진짜 아이고,005930
가즈아쿠쿠,2025-01-17T10:25:34+09:00,큰일이다삼전,005930
신의한모,2025-01-17T10:25:21+09:00,삼전은 이제 끝인건가요? 우울하네요,005930
파란모자,2025-01-17T10:25:04+09:00,회생불가,005930
