닉네임,날짜,내용,종목
돈다마,2025-01-17T22:56:22+09:00,외국인 엄두나서 삼전 사겠나....5만전자 개미탕인데...3만 보일때 몰빵 추매 들어갑니다.,005930
hsho,2025-01-17T22:52:42+09:00,삼성 직원1명 채용,005930
한방만좀,2025-01-17T22:29:08+09:00,떨어지면 사면됨! 간단하눙,005930
돈벌면닭가슴살산다,2025-01-17T21:47:21+09:00,닭가슴살 사먹게,005930
행복한규늬,2025-01-17T21:37:10+09:00,"당분간 오르긴 힘들듯 하네요
차트도 그렇고 기술력도 그렇고
크게는 환율도 그렇고
계속 바닥 다진다는 생각으로
떨어지면 줍줍한다 생각하시고
가는게 편할듯
Hbm4올해안에 성공하길 바래야지요",005930
오임1230,2025-01-17T21:35:17+09:00,그래 하루에 200원씩 오르자 영-차,005930
와니허니,2025-01-17T21:30:25+09:00,언제쯤...해뜰까?,005930
소규모투자,2025-01-17T21:25:24+09:00,"그래도 삼성인데 하는 마음으로 언젠간 오르겠지 잡고 있습니다. 미장에서 수익나는걸보면 이거팔고 넘어가면 이정도 손해는 금방 복구하겠다 싶으면서도 우리나라 기업이 잘 되어야지 하는 얄팍한 애국심으로 버티고 있네요.
매일매일 던지고 도망가고 싶은 마음입니다.",005930
라이온롤링킹,2025-01-17T21:09:50+09:00,4만원대를 향하여 진격하라!!,005930
초코파이엔몽쉘,2025-01-17T20:53:38+09:00,지루하게 하지말구 좀 오르자..ㅠ,005930
군밤돌이,2025-01-17T20:50:32+09:00,ㄹㅇ 떠나자,005930
테나솔까,2025-01-17T20:42:57+09:00,"삼송은 HBM4 로 승부 봐야지.

그게 메모리, 파운드리 모두 살길임.

HBM2,3 는 이미 지나간일이고,
HBM4를 tsmc 와 협력한다는 개소리 하지말고, 베이스다이 까지 모두 다 하는걸로 밀어 붙여.",005930
사천남1,2025-01-17T20:41:57+09:00,저가매수,005930
늘푸르다람쥐,2025-01-17T20:38:40+09:00,이밑으로는 절대 빠지지않는다는것을 확인한 날 주가가 바닥에 와있다는것인데 흠 다음주가 관건 상방이든 하방이든 방향성을 정할건데 아무래도 상방이지 찍어누르기만하는 주식이 어디있는가? 그게 가능할리가없지 특히나 삼성같이 거대기업을 외국인자본이 자꾸 찍어누른다? 이제 올릴건데 달라붙은 개미들이 거추장스럽다는 말이다,005930
자100억,2025-01-17T20:26:56+09:00,"대한삼성이 어쩌다 이리됐노!!!!
으으~~~~~",005930
초록송이,2025-01-17T20:09:47+09:00,월요일은 오르겠군,005930
ru레디,2025-01-17T19:47:34+09:00,"투자한 이유를 자꾸 알려달라는데
손가락이 움직였어요
날라갈지 애지중지할지 ㅎ",005930
MCTHEMAX,2025-01-17T19:41:53+09:00,메롱CITY권 진입,005930
오징어만세다,2025-01-17T19:36:32+09:00,박스권에 갖혀서 답도 안보인다,005930
삼성저점,2025-01-17T19:33:08+09:00,삼전으로 찍먹 3번 모두 익절하고 또 들어가서 바닥 잡는다 부먹보다는 삼성은 찍먹이다,005930
카카우리,2025-01-17T19:24:31+09:00,바닥인가?,005930
한달300만벌자,2025-01-17T19:20:28+09:00,이제는 널놓아줄게 미련때문에 널잡고있었지만 미련이 오기가되어 오기가 증오로 남을까 놓아주려한다 더솔직히 말하면 널버리는거야,005930
우리가와,2025-01-17T19:10:26+09:00,"삼전이 바닥이다
앞으로 기대 된다",005930
쩜하맞으면주식접음,2025-01-17T18:44:09+09:00,삼전 커뮤에 이렇게 글 없는거 처음 본다 4달을 5만원대에서 노니까 나갈놈들 다 나갔구나,005930
호호녀녀,2025-01-17T18:41:33+09:00,하.. 진짜꺼져라,005930
진또백이,2025-01-17T18:41:24+09:00,ㅠㅠ,005930
나무관샘보살,2025-01-17T18:19:34+09:00,"이래서 현재는 장투를 하면 수익보다가 오래두면
마이너스 오래전에 묵혀둔거 아니면 좋은주식은 중기로 스윙이딱",005930
꺄갸갸갹,2025-01-17T18:18:13+09:00,오늘 20주 입성했는데 잘한걸까요?,005930
가격파괴,2025-01-17T18:08:12+09:00,이건희 회장님 살아 계셨으면 임원들 연병장 줄 세워놓고 줄빠따 쳤음,005930
삼성전자평단7층,2025-01-17T17:55:00+09:00,정리하고 비트코인으로 간다,005930
슈랭슈랭,2025-01-17T17:51:11+09:00,"농협 통장에 돈이 빵원인데 새 해 선물이 왔어요.
8일날 만기된거 다 빼서 오피사고 돈이 10원도 없는데 잡곡이와서 받기 너무 민망하네요 ㅡ.ㅡ;;.미안해서라도 예금 넣어야할듯 ㅋ",005930
해햏자,2025-01-17T17:49:06+09:00,"4만원 초중반까지는 떯어질껀데 아직도 진입하는 사람들이 있나?
반도체는 한번밀리면 답없어 천천히 계속 실적나올때마다 계단식으로 떯어질껀데
말라죽을셈으로 걸어들어가네
Sk하이닉스가21만원인데 삼성은 분할했잖아 아직도 2배가 넘어",005930
빵애에용,2025-01-17T17:48:53+09:00,삼쪽아 나는 믿는다,005930
초보주린이5,2025-01-17T17:42:47+09:00,담주에 좀 올라보자,005930
짜호룽,2025-01-17T17:40:49+09:00,하아..,005930
캔들마법사,2025-01-17T17:33:39+09:00,"첨단 공정 기술 개발
게이트올어라운드(GAA) 공정 전환: 삼성전자는 3나노미터(㎚) 공정에 GAA 트랜지스터 구조를 도입하여 반도체 미세화의 한계를 극복하고자 함. 이를 통해 고성능·저전력 반도체 구현이 가능해질 것으로 기대
1.4나노 공정 로드맵: 삼성전자는 2027년까지 1.4나노 공정의 양산을 목표로 기술 개발을 진행 중. 이는 파운드리 시장에서의 경쟁력을 강화하기 위한 전략의 일환",005930
보일러댁에아버님놔드려야겠어,2025-01-17T17:19:08+09:00,삼전 오늘 마감은?,005930
ORIGOGI,2025-01-17T17:17:04+09:00,"또 그 옛날 그랬던 것 처럼
국민들한테 고맙다고 인사하고 감동을 주리라 믿음 그러니까 그만좀 쳐박아...
믿는다 삼성
요 아래 2007년에 했던거 마냥 고맙습니다 캠페인도 좀 해...
https://naver.me/IgNyAL13",005930
단타를노린다,2025-01-17T17:13:51+09:00,하.. 그냥 저번에 조금 올랐을때 팔껄.. ㅜㅠ,005930
난호재왕,2025-01-17T17:07:06+09:00,담주 더떨어질거 이미나왔네,005930
콜록homes,2025-01-17T16:53:43+09:00,토스 렉 버벅거림 저만 심하나요?,005930
하늘맑은,2025-01-17T16:41:20+09:00,"재용회장님이 팔지말라고 저를보고 말씀 하신지 두달이 넘었어요
몰빵을하고 기다리고 있으나 꿈을 잘못 꾼거 같아요
그후 약간의 곗돈을타고 월급을타서
리풀이라는 가상자산을 매입했어요
이익이 80프로가 넘고있어요
지금은 삼성전자를 안 판걸 후회하고있어요
저에겐 큰돈이라 손실이 커서 또한 팔면 오를까봐 기다렀는데 오프로 손해일때 팔걸 후회되요",005930
빼기전까지손해아님,2025-01-17T16:36:18+09:00,삼전 선물거래 할수있으면 좋겠다 숏치면 무조건 먹는건데 걍 아묻닥 숏임 ㅋㅋㅋ 어차피 안오름 삼전,005930
맥똥날똥에선겨란후라이가5억원,2025-01-17T16:27:56+09:00,아 삼전때문에 연초부터 혈압오르네 새해복 많이 받으라는데 삼전때문에 복이 사라지네,005930
버티고홀딩하는샤미코,2025-01-17T16:18:36+09:00,100원 차이 까비..,005930
더도말고백억만벌자,2025-01-17T16:15:06+09:00,https://youtube.com/shorts/ZnKDCoOFc2M?si=0U2KY8PEeaP5h8a6,005930
냥냥e2,2025-01-17T16:11:22+09:00,언제 탈출 가능할런지..ㅠ,005930
쉽쉽이,2025-01-17T16:07:47+09:00,삼전 미래,005930
코호둥웅,2025-01-17T16:02:47+09:00,🔥,005930
후아으암,2025-01-17T16:01:47+09:00,"뭐 예상은 했지만 너무 빠른것 같아 씁쓸하네요.
에혀 줄을 잘못섰어 ㅜㅜ",005930
푸바푸바오,2025-01-17T15:56:40+09:00,줍줍,005930
RSI분할매수,2025-01-17T15:54:48+09:00,진입,005930
초보쥬린봉,2025-01-17T15:54:04+09:00,우선익절 ^^. 종가매수 시외 오르면 털기^^,005930
부자71,2025-01-17T15:50:00+09:00,"현실입니다. 대통령이 체포당하니
경찰의 모습 어떻게 생각하십니까?
https://youtube.com/shorts/DZS1j2SFsiE?si=-Oi0WMIy2gLn9ZNk",005930
SKY72,2025-01-17T15:49:29+09:00,입성요,005930
가격파괴,2025-01-17T15:46:51+09:00,지독하다 지독해,005930
그지왕초,2025-01-17T15:36:26+09:00,-,005930
그지왕초,2025-01-17T15:32:58+09:00,-,005930
데이트비좀벌자,2025-01-17T15:32:46+09:00,미국 조정오면 4만원갈거같은데 ㅋㅋ,005930
그지왕초,2025-01-17T15:31:13+09:00,-,005930
그지왕초,2025-01-17T15:28:29+09:00,-,005930
스윙황제,2025-01-17T15:28:06+09:00,400은 월요일날 ~ 주주님들 즐건 주말 보내세요 ~,005930
그지왕초,2025-01-17T15:27:26+09:00,-,005930
죤나게버핏,2025-01-17T15:27:19+09:00,이제 사장단 실시간으로 월급 내려가게 생겼노,005930
봉수카,2025-01-17T15:27:16+09:00,드가자~,005930
딩둥당,2025-01-17T15:26:45+09:00,"지지확실한데
진입 고민이 되네 💸",005930
장투황태자,2025-01-17T15:25:39+09:00,다음주 월요일에는 49800원까지 가보자!,005930
고민시귀요미,2025-01-17T15:24:55+09:00,끝까지,005930
급등주설거지1타강사,2025-01-17T15:24:43+09:00,외인들 지분율 유지 지독하게 한다 ㅋㅋㅋ,005930
그지왕초,2025-01-17T15:23:27+09:00,-,005930
그지왕초,2025-01-17T15:22:27+09:00,-,005930
AnduinWrynn,2025-01-17T15:22:11+09:00,"10조 자사주 매입중에 3조는 매입하고 소각한다고 했고 나머지 7조는 매입후 직원 성과급으로 나눠 줄라나보네요
7조 어떻게 할지 궁금했는데 소각을 안해버리면

주주는 가치상승 ×
임직원 현금대신 주식 의무보유기간동안 현금화 불가 주가하락 리스크 발생

누굴위한 결정인가?",005930
금딱이,2025-01-17T15:20:20+09:00,삼만와바 전재산 넣게,005930
재벌막내아들,2025-01-17T15:20:09+09:00,ㅜ,005930
삽든쥐,2025-01-17T15:16:44+09:00,올해 삼성 사고 팔고 다 손해만 봤는데 내가 왜 이걸 또 들어왔을까 바보같이,005930
