Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
051900,LG생활건강,KOSPI,,333500,1,2500,0.76,336000,342500,332000,47922,16144599500,5208668699500,15618197,STK,기타 화학제품 제조업,"화장품,생활용품 제조,도매",2001-04-25,12월,이정애,http://www.lghnh.com,서울특별시
088980,맥쿼리인프라,KOSPI,,10860,1,130,1.21,10730,10880,10720,988127,10707119040,5201092843980,478921993,STK,신탁업 및 집합투자업,증권투자회사,2006-03-15,12월,맥쿼리자산운용(주),http://www.macquarie.com/kr/kr/mkif/index.html,서울특별시
047810,한국항공우주,KOSPI,,53100,1,1200,2.31,52400,53500,50900,890821,46617742800,5175928181700,97475107,STK,"항공기,우주선 및 부품 제조업","정부방산 및 완제기 수출(T-50계열, KUH계열, KT-1계열 등), 기체부품",2011-06-30,12월,강구영,http://www.koreaaero.com,경상남도
180640,한진칼,KOSPI,,76800,1,700,0.92,76800,77200,75800,27118,2076360700,5127343027200,66762279,STK,기타 금융업,"지주사업, 경영자문 및 컨설팅",2013-09-16,12월,"조원태, 류경표",http://www.hanjinkal.co.kr,서울특별시
021240,코웨이,KOSPI,,69400,2,-2900,-4.01,73200,73300,68900,147554,10331812900,5121693558600,73799619,STK,그외 기타 개인 서비스업,"렌탈 서비스(정수기,비데, 필터교환 등), 가정용기기 도매,판매,제조,폐기물처리설비,수출(정수기,청정기)",2001-08-07,12월,서장원,http://company.coway.com,충청남도
003230,삼양식품,KOSPI,,670000,1,72000,12.04,599000,678000,598000,154560,101017167000,5047120050000,7533015,STK,기타 식품 제조업,"라면,스낵,유제품,장유,식용유,사료,향신료,건강음료(루이보스 티) 제조,도매",1975-06-30,12월,"김정수, 김동찬",http://www.samyangfoods.com,서울특별시
006800,미래에셋증권,KOSPI,,8460,1,350,4.32,8240,8490,8230,416084,3486684420,5036376811680,595316408,STK,금융 지원 서비스업,"유가증권매매,유가증권위탁매매,유가증권인수",1975-09-30,12월,"김미섭, 허선호",http://securities.miraeasset.com,서울특별시
064350,현대로템,KOSPI,,45750,1,1300,2.92,44800,46200,43650,1859051,83742512650,4993259904750,109142293,STK,철도장비 제조업,"철도차량, 특수중기, 산업기계",2013-10-30,12월,이용배,http://www.hyundai-rotem.co.kr,경상남도
010620,HD현대미포,KOSPI,,122400,1,7200,6.25,116300,123900,115900,251455,30487069600,4888919037600,39942149,STK,선박 및 보트 건조업,"선박수리,선박개조,선박신조",1983-12-20,12월,김형관,http://www.hd-hmd.com,울산광역시
161390,한국타이어앤테크놀로지,KOSPI,,38950,1,1750,4.7,37250,39000,37250,288692,11059672500,4824933937550,123875069,STK,고무제품 제조업,타이어 제조,2012-10-04,12월,이수일,http://www.hankooktire.com,경기도
032640,LG유플러스,KOSPI,,10820,1,60,0.56,10860,10910,10680,836229,9016640050,4724134926020,436611361,STK,전기 통신업,"개인휴대통신서비스,음성서비스,데이터서비스,부가통신/단말기 도소매/프로그램 개발,자료제공",2008-04-21,12월,황현식,http://www.uplus.co.kr,서울특별시
251270,넷마블,KOSPI,,54300,1,900,1.69,53900,54400,53300,53747,2890890800,4667275158600,85953502,STK,소프트웨어 개발 및 공급업,온라인·모바일 게임 소프트웨어 개발 및 공급,2017-05-12,12월,"권영식, 김병규 (각자 대표이사)",http://company.netmarble.com,서울특별시
029780,삼성카드,KOSPI,,40050,2,-600,-1.48,41200,41200,40000,63393,2549305650,4640148584550,115858891,STK,기타 금융업,"신용카드업,상품신용판매,현금서비스,카드론,리스,기업대출,여행업무,통신판매",2007-06-27,12월,김대환,http://www.samsungcard.co.kr,서울특별시
034220,LG디스플레이,KOSPI,,9040,1,150,1.69,8940,9160,8870,961969,8708432390,4520000000000,500000000,STK,전자부품 제조업,액정표시장치(TFT-LCD) 제조,2004-07-23,12월,정철동,http://www.lgdisplay.com,서울특별시
005940,NH투자증권,KOSPI,,13660,1,200,1.49,13600,13710,13490,393219,5347092120,4473544804340,327492299,STK,금융 지원 서비스업,"증권업,종합금융",1975-09-30,12월,윤병운,http://www.nhqv.com,서울특별시
010120,LS ELECTRIC,KOSPI,,148600,1,5000,3.48,143600,150400,142400,183843,27004529900,4458000000000,30000000,STK,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","고압기기,저압기기,변압기,배전반,PLC,인버터,빌딩설비,공조기,건축배관,자동화기기 제조,동가공",1994-07-11,12월,"구자균, 김동현",http://www.ls-electric.com,경기도
241560,두산밥캣,KOSPI,,42850,1,350,0.82,43100,44750,42050,689033,29739536850,4295676763100,100249166,STK,특수 목적용 기계 제조업,"Compact Equipment, Heavy Equipment, Portable Power",2016-11-18,12월,"스캇성철박, 조덕제",http://www.doosanbobcat.com,경기도
036570,엔씨소프트,KOSPI,,191700,1,1700,0.89,190300,195300,190300,71766,13838736500,4208586017400,21954022,STK,소프트웨어 개발 및 공급업,"인터넷머그게임(리니지),그룹웨어,인터넷커뮤니티 개발,유지,공급",2003-05-22,12월,"김택진, 박병무 (공동대표이사)",http://www.ncsoft.net,서울특별시
271560,오리온,KOSPI,,105000,1,4000,3.96,102000,105000,101500,115282,12005356600,4151293860000,39536132,STK,기타 식품 제조업,스낵 등 과자류,2017-07-07,12월,이승준,http://www.orionworld.com,서울특별시
071050,한국금융지주,KOSPI,,74300,1,1000,1.36,74400,74600,73200,74742,5516920900,4140441205600,55725992,STK,기타 금융업,금융지주회사,2003-07-21,12월,김남구,http://www.koreaholdings.com,서울특별시
377300,카카오페이,KOSPI,,30500,2,-100,-0.33,30900,32600,30000,2521338,79041247100,4105988049500,134622559,STK,금융 지원 서비스업,"간편결제, 간편송금 및 기타 금융서비스",2021-11-03,12월,신원근,http://www.kakaopay.com,경기도
016360,삼성증권,KOSPI,,45900,1,850,1.89,45400,45950,44900,300736,13714670200,4098870000000,89300000,STK,금융 지원 서비스업,"유가증권의 매매,위탁매매,인수주선",1988-03-28,12월,박종문,http://www.samsungpop.com,서울특별시
141080,리가켐바이오,KOSDAQ GLOBAL,기술성장기업부,111700,1,12700,12.83,102200,111700,101900,981164,106168724500,4089374754600,36610338,KSQ,자연과학 및 공학 연구개발업,신약후보물질 발굴을 통한 License-Out,2013-05-10,12월,김용주,http://www.legochembio.com,대전광역시
079550,LIG넥스원,KOSPI,,182600,1,11500,6.72,172700,184100,168800,267188,47449900100,4017200000000,22000000,STK,무기 및 총포탄 제조업,정밀유도무기 등,2015-10-02,12월,신익현,http://www.lignex1.com,경기도
298040,효성중공업,KOSPI,,428500,1,11500,2.76,415500,436000,413000,49526,21096592000,3995568818000,9324548,STK,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",-,2018-07-13,12월,우태희,http://www.hyosungheavyindustries.com,서울특별시
