Code,Name,Volatility,TotalReturn,AvgReturn
005930,삼성전자,1.53,-0.37,-0.007515460230886317
000660,SK하이닉스,2.32,3.82,0.40242646272824867
373220,LG에너지솔루션,2.4,-12.85,-0.5889798103675054
207940,삼성바이오로직스,1.39,-3.41,-0.1848539552954498
005380,현대차,2.12,-1.4,-0.08421332914014756
000270,기아,2.51,3.67,0.4084074304681507
068270,셀트리온,2.45,1.01,0.140312340103011
005935,삼성전자우,1.69,-1.97,-0.0859471773045789
105560,KB금융,3.23,-17.59,-0.6706317995837113
035420,NAVER,2.45,-7.27,-0.21530215142516518
329180,HD현대중공업,3.17,35.68,1.631565008699844
055550,신한지주,2.65,-15.34,-0.5702113174514607
012330,현대모비스,2.23,2.89,0.0939246938366323
005490,POSCO홀딩스,2.25,-9.26,-0.5501767389770157
028260,삼성물산,1.57,-8.78,-0.33702193754168047
138040,메리츠금융지주,2.13,-1.51,0.0843622630105767
010130,고려아연,9.11,-37.94,-1.5314458705065146
032830,삼성생명,2.7,-16.06,-0.7260239463436369
051910,LG화학,3.14,-14.16,-0.7141163324654025
000810,삼성화재,3.17,-18.28,-0.5100672064221883
096770,SK이노베이션,2.89,-5.61,-0.07244192652562043
035720,카카오,3.58,-12.81,-0.5292558669586571
012450,한화에어로스페이스,4.61,7.39,0.723247946356474
006400,삼성SDI,2.99,-8.24,-0.3479546789845561
009540,HD한국조선해양,3.03,17.14,0.8801073961202615
086790,하나금융지주,2.87,-13.94,-0.531974660713071
011200,HMM,1.8,-2.48,0.02953414207405136
259960,크래프톤,2.48,-3.65,-0.14174924635176173
267260,HD현대일렉트릭,3.04,14.65,1.0216662849555451
066570,LG전자,2.03,-5.62,-0.22432852856333066
033780,KT&G,1.44,-12.86,-0.5942586636740244
015760,한국전력,2.34,-17.82,-1.0112596560823046
017670,SK텔레콤,1.19,-6.5,-0.4028956886478907
042660,한화오션,3.61,9.57,0.7124010661377206
034020,두산에너빌리티,3.25,-14.61,-0.6280750788534883
024110,기업은행,1.75,-5.21,-0.1728832076042236
003550,LG,1.88,-6.36,-0.19315465791272243
316140,우리금융지주,2.04,-11.1,-0.4940396348046054
030200,KT,1.9,-9.66,-0.5251603079692058
003670,포스코퓨처엠,3.44,-19.73,-1.1556028101949123
402340,SK스퀘어,2.71,2.75,0.41179193705889894
010140,삼성중공업,2.74,3.51,0.294679008428715
086280,현대글로비스,3.68,9.94,0.4381891381809416
323410,카카오뱅크,3.02,-10.66,-0.4972968248514559
018260,삼성에스디에스,2.22,-9.78,-0.8569488628809392
034730,SK,2.4,-5.58,-0.12192605329556627
000100,유한양행,3.69,-1.58,0.08872088646756873
009150,삼성전기,3.05,11.99,0.7080204066010225
003490,대한항공,2.3,-8.19,-0.401042165198146
326030,SK바이오팜,3.12,3.82,0.32524294513021695
042700,한미반도체,4.55,16.29,1.0298448168049579
352820,하이브,2.67,-1.51,0.20188204343052737
005830,DB손해보험,2.89,-9.76,-0.27575011435267643
047050,포스코인터내셔널,3.97,-13.48,-0.5898980395864805
443060,HD현대마린솔루션,3.44,16.64,0.9208234720513679
267250,HD현대,2.49,7.4,0.5595248935499402
010950,S-Oil,1.83,-4.86,-0.2071584219482891
090430,아모레퍼시픽,2.78,-5.57,0.04076747416630559
064350,현대로템,3.53,-2.8,0.24522850049040149
005387,현대차2우B,1.7,-1.56,-0.042985586977739576
079550,LIG넥스원,5.38,24.82,1.399940849050203
003230,삼양식품,3.75,26.98,1.5337127088230385
047810,한국항공우주,2.58,-8.52,-0.2968177562495273
010620,HD현대미포,3.14,8.64,0.6296811467309339
010120,LS ELECTRIC,3.22,11.08,0.9360649165699286
088980,맥쿼리인프라,1.35,-5.1,-0.2573507309013051
021240,코웨이,1.99,-3.46,-0.21425424801817697
180640,한진칼,2.73,-10.53,-0.2791233555030398
051900,LG생활건강,1.57,-6.41,-0.14070933632894356
161390,한국타이어앤테크놀로지,2.26,-0.78,-0.04101274360205467
006800,미래에셋증권,2.84,-11.76,-0.40176347417765595
005940,NH투자증권,1.95,-3.72,0.07898731726579622
032640,LG유플러스,1.6,-9.9,-0.5074101888044685
029780,삼성카드,1.75,-9.91,-0.4073850103125537
034220,LG디스플레이,2.52,-7.55,-0.2383126599249918
272210,한화시스템,4.51,3.46,0.3512056917741824
000150,두산,4.18,25.0,1.6280503663188086
251270,넷마블,2.42,-11.54,-0.5128370783941499
454910,두산로보틱스,7.15,2.76,0.40471175939652737
450080,에코프로머티,3.25,-23.7,-1.4072660548937497
241560,두산밥캣,3.45,-1.61,0.3642365424845145
011790,SKC,5.08,6.4,0.6709714042456296
271560,오리온,1.91,-0.87,-0.002176797058504043
036570,엔씨소프트,4.07,-23.85,-1.3819881521347515
071050,한국금융지주,2.55,-12.5,-0.36275252521339835
016360,삼성증권,3.14,-15.09,-0.44857528485669873
298040,효성중공업,3.88,-4.24,0.33000406901504736
302440,SK바이오사이언스,5.82,-3.22,0.24725514977595447
011070,LG이노텍,2.7,-4.55,-0.14006300118183934
097950,CJ제일제당,2.39,-8.84,-0.28578243436157114
307950,현대오토에버,2.74,0.6,0.10583324769989075
005385,현대차우,1.75,-1.78,-0.04026346017016293
078930,GS,1.64,-8.92,-0.376857925159757
462870,시프트업,3.96,3.03,0.16307734931089063
128940,한미약품,2.53,-0.54,0.09407302638965995
377300,카카오페이,7.22,-2.97,0.10334144476185592
035250,강원랜드,2.11,-11.79,-0.47815128736662055
138930,BNK금융지주,2.83,-11.53,-0.15402426594690216
028050,삼성E&A,2.26,-8.25,-0.29778719205216914
036460,한국가스공사,5.29,-16.42,-0.6562731117396037
006260,LS,3.36,2.1,0.44451993631261405
175330,JB금융지주,2.44,-22.74,-1.002802287600486
022100,포스코DX,3.7,-8.53,-0.30919124748887244
039490,키움증권,3.64,-14.85,-0.6105254153752792
001040,CJ,3.43,-2.11,0.19068245810545728
000720,현대건설,2.37,-8.45,-0.3414509828275575
066970,엘앤에프,3.23,-20.35,-1.1275322218344428
004020,현대제철,4.03,-4.36,0.03740970338881604
009830,한화솔루션,3.91,-6.43,-0.0014996018486364004
026960,동서,3.47,-10.1,-0.21716115334867228
011170,롯데케미칼,3.73,-10.25,-0.31739945656629853
011780,금호석유,3.4,-9.55,-0.2040171701286936
081660,휠라홀딩스,1.86,-2.09,0.0415184356936793
004370,농심,2.24,12.7,0.6906784971090657
001450,현대해상,2.58,-8.42,-0.2590179341728094
004990,롯데지주,3.64,-1.18,0.18239162575803047
001440,대한전선,3.85,2.64,0.35976341320887006
383220,F&F,3.7,7.05,0.5787659928276746
012750,에스원,2.11,-8.56,-0.4253360531767053
018880,한온시스템,2.69,-1.47,0.17995720320153347
020560,아시아나항공,2.13,-0.48,0.21295908703125863
088350,한화생명,2.26,-9.94,-0.3678080977838949
062040,산일전기,4.49,8.81,1.105335248180421
052690,한전기술,4.57,-21.61,-1.0307991133460732
000880,한화,2.64,-8.15,-0.441294761251776
002380,KCC,3.18,-6.37,-0.12433722291333549
006280,녹십자,3.68,11.73,0.8399026529805409
009420,한올바이오파마,5.21,3.22,0.5236578407117447
017800,현대엘리베이,4.15,-0.78,0.0016402587669611002
008930,한미사이언스,2.48,-10.57,-0.46595195116278953
051600,한전KPS,3.11,-9.26,-0.32315301680313824
204320,HL만도,2.42,8.62,0.4679015155648075
030000,제일기획,2.24,-7.36,-0.28105821653152396
018670,SK가스,1.63,-0.94,0.01265086425512929
278470,에이피알,3.87,-2.85,0.2855416244196484
000120,CJ대한통운,2.3,-0.36,0.1513002893006737
012510,더존비즈온,3.15,-7.66,-0.34314606505875417
111770,영원무역,2.53,-2.41,0.257453241667992
112610,씨에스윈드,2.83,4.17,0.32977720564280827
028670,팬오션,1.95,-5.05,-0.18297110024599825
282330,BGF리테일,2.07,-7.05,-0.2337644438982184
007660,이수페타시스,8.74,2.62,1.6674716091432618
139480,이마트,4.41,-7.04,0.05319290042411049
002790,아모레G,2.23,-9.19,-0.3025613277703948
005070,코스모신소재,3.65,-20.38,-0.9185020765467398
000240,한국앤컴퍼니,4.33,-3.22,-0.0002518911773079724
489790,한화인더스트리얼솔루션즈,5.14,-9.21,-0.10413430263717101
192820,코스맥스,4.59,-1.68,0.4816031251686933
361610,SK아이이테크놀로지,3.53,-16.76,-0.8072748569027958
