Code,Name,Volatility,TotalReturn,Sector,Volume,Amount,Marcap,Risk
001820,삼화콘덴서,3.25,-16.41,전기제품,35634,1063802400,309251250000,3
002310,아세아제지,1.55,-12.08,포장재,77703,563362540,309745372400,1
000520,삼일제약,4.44,-15.5,제약,196003,2773006220,306722207540,3
033270,유나이티드제약,1.78,-10.0,제약,11029,206631760,305605809620,2
009290,광동제약,1.73,-0.17,제약,20806,119934910,301944101760,2
900140,엘브이엠씨홀딩스,3.0,-27.3,자동차,180404,315904668,300622896072,2
015360,예스코홀딩스,2.3,7.07,가스유틸리티,4263,209912800,295800000000,2
004430,송원산업,2.98,-5.68,화학,71533,872626720,294960000000,2
072710,농심홀딩스,0.98,-4.96,식품,1449,91459700,294035886000,1
002320,한진,1.39,2.19,항공화물운송과물류,5027,98251010,292076651120,1
00088K,한화3우B,0.97,-1.64,복합기업,11762,175854910,290096392950,1
108670,LX하우시스,1.71,-23.01,건축자재,20869,675138200,290552508000,2
322000,HD현대에너지솔루션,4.1,11.97,에너지장비및서비스,1067658,27882213650,290640000000,3
001270,부국증권,1.38,-4.86,증권,450,12335700,284134876400,1
051905,LG생활건강우,1.19,-11.01,화장품,2426,327510400,283459095000,1
126720,수산인더스트리,3.11,-3.97,에너지장비및서비스,35680,711267660,283005660000,2
009680,모토닉,0.92,-3.98,자동차부품,5188,43864140,278520000000,1
007690,국도화학,2.06,-6.11,화학,10709,330853900,276175380400,2
035150,백산,1.88,-8.33,"섬유,의류,신발,호화품",39798,503478200,272405000000,2
033240,자화전자,3.2,-28.68,통신장비,43934,534348260,269858496600,2
377190,디앤디플랫폼리츠,1.87,-8.26,부동산,119820,358896745,267410000000,2
088260,이리츠코크렙,1.85,-18.0,부동산,12676,53036310,265401262100,2
000480,CR홀딩스,0.79,-1.23,비철금속,4467,25060630,264931268500,1
122900,아이마켓코리아,0.81,-5.95,상업서비스와공급품,11808,93430350,264422124400,1
006390,한일현대시멘트,1.36,-1.09,건축자재,1859,25350560,264015999520,1
001390,KG케미칼,2.42,-8.21,자동차,57248,219786925,263948149200,2
006220,제주은행,2.4,-4.99,은행,165464,1361481200,263134659060,2
298690,에어부산,1.76,-7.41,항공사,105020,236446220,263023200000,2
000490,대동,4.24,18.34,기계,303728,3084827750,262305261240,3
010690,화신,3.2,-25.82,자동차부품,328556,2472097850,261903075000,2
102460,이연제약,2.86,1.01,제약,19755,274288800,259286013450,2
012030,DB,2.83,-14.91,IT서비스,152867,195260354,258709677838,2
006060,화승인더,1.65,20.83,"섬유,의류,신발,호화품",148029,686963255,257791200000,2
011930,신성이엔지,2.73,-22.42,반도체와반도체장비,418064,520924144,256898492448,2
035510,신세계 I&C,5.76,70.97,IT서비스,1411263,23569258460,254679247200,3
009160,SIMPAC,2.45,-7.61,비철금속,6792,26441890,254193669660,2
034830,한국토지신탁,0.88,-6.88,부동산,50665,50687914,252741719230,1
011760,현대코퍼레이션,2.18,4.95,무역회사와판매업체,30171,572287720,253599278220,2
037270,YG PLUS,7.98,47.09,방송과엔터테인먼트,1017233,3991360860,256889110500,3
226320,잇츠한불,2.1,-2.21,화장품,18252,210442210,252406415650,2
009470,삼화전기,4.55,-17.05,전자장비와기기,150494,5715754000,250663778000,3
017390,서울가스,0.82,-6.5,가스유틸리티,3884,192597100,248000000000,1
001200,유진투자증권,3.29,-38.9,증권,254643,640049865,247009365900,3
272550,삼양패키징,1.0,-8.58,포장재,5478,85464690,246145380890,1
