Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector
226330,KR7226330009,신테카바이오,KOSDAQ,기술성장기업부,5130,2,-230,-4.29,5330,5350,5040,82408,425553770,78275976750,15258475,KSQ,건강관리업체및서비스
052790,KR7052790003,액토즈소프트,KOSDAQ,우량기업부,6900,2,-10,-0.14,6910,6950,6700,27356,187831480,78181402200,11330638,KSQ,게임엔터테인먼트
080580,KR7080580004,오킨스전자,KOSDAQ,우량기업부,4420,1,35,0.8,4450,4535,4375,49827,220902770,78142497160,17679298,KSQ,반도체와반도체장비
232680,KR7232680009,라온테크,KOSDAQ,기술성장기업부,6220,2,-140,-2.2,6400,6400,6170,6548,40867090,77962935480,12534234,KSQ,반도체와반도체장비
024940,KR7024940009,PN풍년,KOSDAQ,벤처기업부,7790,2,-500,-6.03,8040,8070,7660,597689,4710398090,77900000000,10000000,KSQ,가정용기기와용품
239890,KR7239890007,피엔에이치테크,KOSDAQ,기술성장기업부,7840,1,300,3.98,7400,7950,7400,35627,275400370,77896319200,9935755,KSQ,디스플레이장비및부품
045340,KR7045340007,토탈소프트,KOSDAQ,벤처기업부,9100,1,60,0.66,9090,9390,8680,216536,1957019530,77878164000,8558040,KSQ,운송인프라
136410,KR7136410008,아셈스,KOSDAQ,벤처기업부,7050,3,0,0.0,7050,7090,6910,34808,243022190,77684697300,11019106,KSQ,화학
408900,KR7408900009,스튜디오미르,KOSDAQ,벤처기업부,2375,2,-60,-2.46,2400,2430,2315,172154,407558610,77677068250,32706134,KSQ,방송과엔터테인먼트
053450,KR7053450003,세코닉스,KOSDAQ,우량기업부,5250,2,-140,-2.6,5390,5390,5230,27958,147862730,77662215750,14792803,KSQ,전자장비와기기
241690,KR7241690007,유니테크노,KOSDAQ,우량기업부,3160,1,95,3.1,2975,3190,2975,71772,223346005,77327430960,24470706,KSQ,자동차부품
012790,KR7012790002,신일제약,KOSDAQ,우량기업부,6450,2,-70,-1.07,6500,6500,6220,18850,119443820,77312376750,11986415,KSQ,제약
163730,KR7163730005,핑거,KOSDAQ,벤처기업부,8250,2,-150,-1.79,8240,8550,8180,107706,903724530,77266266000,9365608,KSQ,IT서비스
382150,KR7382150001,온코크로스,KOSDAQ,기술성장기업부,6500,2,-720,-9.97,7090,7450,6500,933869,6578921710,77076590500,11857937,KSQ,생명과학도구및서비스
