Code,Name,Volatility,TotalReturn,Sector,Volume,Amount,Marcap,Risk
352480,씨앤씨인터내셔널,4.98,-48.28,화장품,71237,3065512350,436607827600,3
179900,유티아이,4.1,15.1,핸드셋,74899,1944952150,427530993750,2
372320,큐로셀,4.9,-2.28,생물공학,110596,3343255400,425268825350,3
358570,지아이이노베이션,4.4,-29.4,생물공학,519269,4995556090,423553878440,2
445090,에이직랜드,7.55,41.97,반도체와반도체장비,423496,16297332600,420634338300,3
079370,제우스,3.62,5.03,반도체와반도체장비,472910,6309361040,419659874700,2
095660,네오위즈,1.87,-9.02,게임엔터테인먼트,34174,650368320,417465185600,1
050890,쏠리드,3.22,48.68,통신장비,6631073,46248826500,414836618490,2
091700,파트론,1.25,-0.14,핸드셋,129551,908645370,414195044420,1
215000,골프존,1.98,-4.2,"호텔,레스토랑,레저",24776,1650614400,414177390000,1
015750,성우하이텍,2.33,-22.34,자동차부품,221559,1137385230,412800000000,2
393890,더블유씨피,4.05,-39.31,전기제품,137253,1657955390,410517336720,2
189300,인텔리안테크,3.67,-31.07,통신장비,69487,2623100550,407866692000,2
206640,바디텍메드,3.36,18.02,생명과학도구및서비스,126726,2201018350,402794504000,2
334970,프레스티지바이오로직스,4.37,-12.16,제약,68021,351133910,398700830550,2
278280,천보,3.88,-37.62,전기제품,33167,1310713950,398500000000,2
034950,한국기업평가,0.63,4.43,상업서비스와공급품,1577,137946000,396840923600,1
082800,비보존 제약,8.85,93.41,제약,896572,6996018230,397330001380,3
036810,에프에스티,3.73,-9.58,반도체와반도체장비,536035,9490878910,394885720350,2
222800,심텍,3.24,-31.02,전자장비와기기,226199,2734747930,394991373200,2
024850,HLB이노베이션,4.95,-6.03,반도체와반도체장비,749731,2038926975,392507214560,3
099430,바이오플러스,4.3,31.31,건강관리장비와용품,2058081,14106122460,391178459430,2
388720,유일로보틱스,4.11,-12.11,기계,111604,3800141250,389989427700,2
144510,지씨셀,3.31,-22.57,건강관리업체및서비스,56818,1417962600,390268496800,2
