Code,Name,Volatility,TotalReturn,Sector,Volume,Amount,Marcap,Risk
196170,알테오젠,3.2,0.49,생물공학,265524,81585553500,16342220782000,2
247540,에코프로비엠,4.39,-7.47,전기제품,667695,81862761600,11912203699200,3
028300,HLB,2.72,8.1,건강관리장비와용품,545903,43722441900,10524133383300,2
086520,에코프로,3.73,-10.97,화학,560795,35570014200,8414343088000,2
277810,레인보우로보틱스,7.92,75.61,기계,343341,80058779000,4432867553000,3
141080,리가켐바이오,4.02,10.65,제약,601959,73647554500,4407884695200,2
000250,삼천당제약,7.83,64.18,제약,413314,67273731400,3760232761600,3
214150,클래시스,2.99,16.61,건강관리장비와용품,150426,7984994700,3412844833900,2
145020,휴젤,2.75,-2.24,생물공학,30035,7848277500,3302256646000,2
348370,엔켐,4.45,2.16,전기제품,132940,19568416500,3090536940000,3
058470,리노공업,2.92,20.74,반도체와반도체장비,39983,8050836500,3046949763000,2
214450,파마리서치,2.73,5.82,건강관리장비와용품,91461,22343904500,2574852000000,2
065350,신성델타테크,8.29,-1.38,가정용기기와용품,337128,31533109100,2545013584800,3
035900,JYP Ent.,3.15,1.4,방송과엔터테인먼트,424793,29894348900,2551232925600,2
403870,HPSP,3.09,9.83,반도체와반도체장비,342620,9803575250,2384109062400,2
068760,셀트리온제약,3.05,11.97,제약,76773,4392035900,2375564817700,2
950160,코오롱티슈진,6.45,17.61,생물공학,360606,10508733400,2319219036750,3
087010,펩트론,7.24,18.9,생물공학,201840,19766766200,2264502420000,3
039030,이오테크닉스,5.08,24.62,반도체와반도체장비,96046,15824649100,2013014470000,3
257720,실리콘투,3.65,13.01,인터넷과카탈로그소매,623667,20180889700,1954030811400,2
328130,루닛,4.69,-10.9,건강관리기술,476280,32282983700,1936280010000,3
237690,에스티팜,2.94,13.97,제약,69076,6425771400,1874218584000,2
089030,테크윙,5.11,58.6,반도체와반도체장비,812410,40546428250,1867682250000,3
263750,펄어비스,3.84,-20.5,게임엔터테인먼트,107974,3108090800,1859975402250,2
140860,파크시스템스,2.91,21.85,전자장비와기기,21140,5032033000,1663043326000,2
214370,케어젠,3.98,22.52,건강관리업체및서비스,108642,3314822700,1616821500000,2
041510,에스엠,2.69,-10.7,방송과엔터테인먼트,167446,11433100900,1613735625700,2
036930,주성엔지니어링,2.76,17.92,반도체와반도체장비,305235,10057966750,1552764344850,2
095340,ISC,4.51,27.32,반도체와반도체장비,196974,14274090500,1515589647000,3
298380,에이비엘바이오,3.54,3.86,생물공학,653621,20401916650,1484669716500,2
310210,보로노이,4.96,7.96,제약,163386,12730115400,1440992472000,3
293490,카카오게임즈,5.05,-5.04,게임엔터테인먼트,183666,3083441530,1388012819750,3
096530,씨젠,4.06,14.94,생명과학도구및서비스,529171,14221793950,1389211440400,3
178320,서진시스템,3.48,-14.19,전기제품,522128,12604256050,1375262475300,2
357780,솔브레인,2.81,1.8,반도체와반도체장비,10097,1785918500,1363582619800,2
007390,네이처셀,3.32,0.73,생물공학,318386,6544102950,1325757413600,2
067630,HLB생명과학,2.21,6.6,제약,225646,2414421550,1299281105460,2
018290,브이티,2.85,-14.24,화장품,1740946,63779202900,1306627255500,2
112040,위메이드,3.19,-1.27,게임엔터테인먼트,111336,4260760150,1307016595500,2
204270,제이앤티씨,4.96,19.34,핸드셋,975065,21971936200,1284235945200,3
078600,대주전자재료,3.24,-2.52,전자장비와기기,74038,6006494100,1255476092300,2
