Code,Name,Volatility,TotalReturn,AvgReturn,Sector,Volume,Amount,Marcap
463690,KODEX 미국S&P500커뮤니케이션,1.05,18.59,0.27544263533584046,해외주식,851,13,130
459790,히어로즈 미국성장기업30액티브,1.36,14.26,0.22037990057157397,해외주식,3248,49,130
223190,KODEX 200가치저변동,1.13,-3.65,-0.06686682929318823,국내 업종/테마,11246,121,130
465670,TIGER 미국캐시카우100,1.02,7.5,0.11267319929840482,해외주식,5389,69,129
245350,TIGER 유로스탁스배당30,0.61,0.95,0.029738488560266767,해외주식,2580,31,129
482870,HANARO 주주가치성장코리아액티브,1.15,-4.9,-0.08439064631510121,국내 업종/테마,1428,14,129
451670,RISE 국채30년레버리지(합성),1.29,9.54,0.17293387994558854,채권,4205,106,126
217780,TIGER 차이나CSI300인버스(합성),1.21,0.41,0.03550562577533853,해외주식,3810,28,126
225130,ACE 골드선물 레버리지(합성 H),1.94,-1.03,0.0006031983249174866,해외주식,10998,273,125
269370,TIGER S&P글로벌인프라(합성),0.88,5.15,0.08352582697229585,해외주식,4346,64,124
487950,KODEX 대만테크고배당다우존스,1.73,4.09,0.08128633497035985,해외주식,2572,24,124
496770,PLUS 글로벌방산,1.25,-6.03,-0.17282247549148633,해외주식,9532,90,124
461900,PLUS 미국테크TOP10,1.3,24.53,0.35651216748988585,해외주식,2644,49,123
400590,SOL 글로벌탄소배출권선물ICE(합성),1.26,10.99,0.17783633437652954,해외주식,4347,53,123
433500,ACE 원자력테마딥서치,1.95,4.3,0.07408209706600574,국내 업종/테마,5471,94,121
395280,HANARO Fn K-게임,1.84,-8.7,-0.12913467832509243,국내 업종/테마,2645,10,121
417450,RISE 글로벌수소경제,1.98,6.96,0.1411045902305532,해외주식,5683,41,120
471290,HANARO CD금리액티브(합성),0.01,0.77,0.013110344654683748,채권,776,80,120
140950,파워 코스피100,1.14,-5.33,-0.09466815967687389,국내 시장지수,303,7,119
300610,TIGER K게임,1.71,-8.85,-0.12793911625021118,국내 업종/테마,20737,144,119
239660,PLUS 우량회사채50,0.04,1.08,0.01818492325762126,채권,1796,213,119
422260,VITA MZ소비액티브,1.6,1.47,-0.006326485503294613,국내 업종/테마,32101,252,119
182490,TIGER 단기선진하이일드(합성 H),0.43,-0.03,-0.0008799426889368375,채권,419,5,118
453630,KODEX 미국S&P500필수소비재,0.87,6.48,0.09340335096476896,해외주식,3267,40,118
195920,TIGER 일본TOPIX(합성 H),0.91,2.39,0.022609848069705125,해외주식,161,3,118
275300,KODEX MSCI퀄리티,1.13,-4.66,-0.08070070621139962,국내 업종/테마,4,0,117
453060,HANARO KOFR금리액티브(합성),0.01,0.76,0.01302820173325725,채권,302,32,117
460660,RISE 미국S&P배당킹,0.87,2.61,0.03758619344943112,해외주식,11424,127,117
138910,KODEX 구리선물(H),1.12,-9.68,-0.20976527319615654,원자재,57280,391,117
306950,KODEX KRX300레버리지,2.28,-14.14,-0.24001132024290922,국내파생,10598,121,115
449690,TIGER 한중반도체(합성),2.07,7.75,0.20333489584982392,해외주식,8,0,115
266410,KODEX 필수소비재,1.34,-1.47,-0.049072577479947393,국내 업종/테마,3143,19,115
105780,RISE 5대그룹주,1.34,-9.97,-0.17125681912578666,국내 업종/테마,331,1,115
428560,KODEX 미국ETF산업Top10 Indxx,1.03,12.52,0.1844321016553324,해외주식,8169,143,114
430500,KOSEF 물가채KIS,0.26,2.04,0.031745220967368905,기타,501,57,114
474390,SOL 국고채30년액티브,0.65,5.36,0.09667162602203201,채권,324,18,112
475300,SOL 반도체전공정,2.03,-12.22,-0.2268990212409929,국내 업종/테마,9046,63,111
489290,WON 미국빌리어네어,1.34,25.53,0.36611621629115665,해외주식,89093,1158,111
419650,PLUS 글로벌수소&차세대연료전지,2.33,4.38,0.12098315337641109,해외주식,13642,51,110
291130,ACE 멕시코MSCI(합성),1.32,-4.67,-0.09109375333211413,해외주식,3030,37,110
276000,TIGER 글로벌자원생산기업(합성 H),1.21,-12.03,-0.21044270012432528,해외주식,1192,16,109
479850,HANARO K-뷰티,2.26,-7.54,-0.16765580881855127,국내 업종/테마,1939,21,109
