닉네임,날짜,내용,종목
단타를노린다,2025-01-10T12:42:05+09:00,제바알…. 좀 올라라 ㅠㅠㅠㅠㅠ,005930
아르네슬롯,2025-01-10T12:41:48+09:00,한 달 기다려서 4만원 힘들었네요,005930
두두다14,2025-01-10T12:41:35+09:00,가니깐,005930
오늘은내가고점판독기,2025-01-10T12:41:12+09:00,"미장만 하던 주린이는 삼전 들어오니 그저 놀랍습니다
여기서 다들 무슨 인내를 쌓고 계신겁니까…
차트가 침대축구 마냥 편안하네 ㅋㅋ;; 오르질 않아 ~",005930
주식작전사령부,2025-01-10T12:40:12+09:00,꾸준매 미라클 가즈아!,005930
리차드DG,2025-01-10T12:39:50+09:00,"아 몰랑
가즈아",005930
섬노예,2025-01-10T12:39:16+09:00,"삼성자동차부활ㅋㅋㅋ
삼성전기자동차
배터리 sdi
계기판(QLED)갤럭시 시리즈와 연동가능
인포메이션화면(갤럭시탭)
뒷자석모니터(갤럭시탭)
스피커 (하만카돈)
차체(삼성중공업)
모터(아~몰랑 그냥만들어봐)
기본가격 4천만원
실구매가격 국가보조금받고 지자체보조금받고 3천중후반
삼전 주주 5%할인
이상 이상한 상상하는 주주1인 ㅋ",005930
까피민,2025-01-10T12:39:15+09:00,"개뿔 이지만 ㅌㅋㅋㅋ
제발 7만",005930
사랑꾸,2025-01-10T12:38:25+09:00,올해 7만전자 가나요?,005930
투도터즈빠,2025-01-10T12:34:56+09:00,"57500원 빨강왔을때 팔걸 닝길
다시 또 파랑이네 몇달째 파랑을 버텼는데 본전오면 걍팔아야겠다",005930
여백l,2025-01-10T12:33:50+09:00,53000 오면 다시 사껭,005930
보일러댁에아버님놔드려야겠어,2025-01-10T12:31:36+09:00,젠슨황이 삼전보고 HBM 다시 설계하라고 발언했는데 주가가 올라갈 이유가,005930
퐈이어fire,2025-01-10T12:18:54+09:00,더 떨어져라 더 줍게,005930
동동파다,2025-01-10T12:12:40+09:00,약속의 점심시간,005930
계란프라이,2025-01-10T12:09:42+09:00,어휴 어제팔길다행이지,005930
삼전뢍,2025-01-10T12:07:22+09:00,"방금 젠슨황 기사 떴어요
삼성꺼 탑재한다고 떴습니다 ㅅㅅ",005930
IIlIllIlll,2025-01-10T12:07:07+09:00,한국 개미들 독하다 독해 ㅋㅋ,005930
아시비김길윤단타로10억드가자,2025-01-10T12:04:46+09:00,그냥 없는 돈 넣어둠,005930
우오앙,2025-01-10T12:01:36+09:00,"여기 단타 맛집인가요
57000대 찍으면 귀신같이 떨어지네",005930
삼성상승,2025-01-10T11:58:52+09:00,분위기 괜찮았는데 아쉽네요,005930
개미51,2025-01-10T11:52:43+09:00,젠슨황 섬성왔을대 찬밥대우해준거 복수중인거같다 ^^,005930
우주천마,2025-01-10T11:51:25+09:00,현대도 sk도 오르는데..,005930
신자얍,2025-01-10T11:49:51+09:00,또 줍줍해야하나요,005930
웅룽웅,2025-01-10T11:47:05+09:00,"삼전단타. 52500-56000

한달에 한번 옵션만기때 탈출가능.",005930
아빠는강해져야한다,2025-01-10T11:42:08+09:00,여러분 안팔면 오릅니다! 힘내세요! 아빠들 화이팅!,005930
김치전감자전삼전,2025-01-10T11:37:51+09:00,공포와 조롱에 사라 .,005930
구부랑길고양이,2025-01-10T11:32:47+09:00,진짜 앞자리 6을 못보네,005930
부자71,2025-01-10T11:31:00+09:00,"세상 상황을 아는것도 주식과 연결되듯이
중국은 내정간섭중입니다.
정치인과 결탁되어 국민은 모르는체 당할수있으니
정신바짝차리세요.
https://naver.me/xyTMiqKd",005930
슈랭슈랭,2025-01-10T11:30:20+09:00,"울 삼전이는 시간이 약이네요.스트레스 지지~
어제 뉴스에 댓글에 댓글보고 혼자 빵터짐요 ㅋ.
행복한 하루 되세요. ~♡",005930
공동우승,2025-01-10T11:30:16+09:00,4만 가즈아~~~,005930
쓉거지키우기,2025-01-10T11:30:16+09:00,얘네 뭐하냐,005930
올려줘요슈퍼파월,2025-01-10T11:26:53+09:00,젠승황이 거의 따시키는 느낌인데요,005930
효효쟝,2025-01-10T11:26:45+09:00,장난치지말고 10만원 가라,005930
호호녀녀,2025-01-10T11:24:21+09:00,하 삼전 진짜 망하나,005930
불장가재,2025-01-10T11:23:44+09:00,버거형들 자러갈시간이다 이제 오르겠네 ㅋㅋ,005930
칠공주호랑이,2025-01-10T11:23:31+09:00,삼성전자 팬,005930
NOMADIAN,2025-01-10T11:20:25+09:00,"삼전을 왜사는데 여직원수 많더만
여직원 많은 기업은 그냥 망하게 되어있다",005930
존버하짘,2025-01-10T11:20:20+09:00,"중국에 기술 유출이 되는데 법적으로 처벌이 약하다.
참수형까지 시켜야합니다.
언제까지 쌔쌔정치 그만!",005930
리드엘,2025-01-10T11:19:41+09:00,"미국채 고금리 + 미증시 강세
유동성 씨가 마르고 있는게 느껴지네
중국이 진짜 버틸 수 있을까?
소련이 무너진 이유가 다 있었구나",005930
한숨두숨,2025-01-10T11:19:09+09:00,진짜 뭐같은 주식이네,005930
익절바다,2025-01-10T11:19:06+09:00,오후에 오르겠어여~ 외인 기관 팔만큼 팔았네여,005930
반박시니말이맞아요,2025-01-10T11:18:57+09:00,그래도 6만전자는 한번 봐야지~,005930
기맹밍,2025-01-10T11:18:12+09:00,다시는 추매 안할게요 내보내주세요 제발요,005930
짹찌기,2025-01-10T11:16:57+09:00,"야금야금 모아서 400주 딱 만들었슴댜
단타맛집된 삼쪽이는 내년에 보도록할게여",005930
어끄제맞낀몸빼바지,2025-01-10T11:16:35+09:00,삼성전자의 마법 5년넘게 5만원대유지 불가능을 가능케 하는 최첨단삼성 굿,005930
초보주돌이,2025-01-10T11:16:21+09:00,어이가 없다,005930
아빠는강해져야한다,2025-01-10T11:16:21+09:00,8 만원까지 가주세요!,005930
1초당10억,2025-01-10T11:15:25+09:00,월요일 상태 보고 진입..,005930
삼전가자1,2025-01-10T11:13:34+09:00,기관한테 당한겨 ㅋㅋㅋㅋ,005930
ETF지박령,2025-01-10T11:12:53+09:00,49000원대 매수대기,005930
떡상시그널,2025-01-10T11:10:04+09:00,정찰,005930
무적용님,2025-01-10T11:08:53+09:00,6만원 넘으면 매수 그전에는 좀 올랐다고 신나서 인증하는 건 조심,005930
알타비스타,2025-01-10T11:08:00+09:00,하이닉스가 시가총액1위가될거라는말이 실현될지,005930
즐거운마음,2025-01-10T11:07:39+09:00,미끄럼 타고 흐르네.,005930
Designseok,2025-01-10T11:07:26+09:00,오늘은 자사주 매입 안하는가베?,005930
CvKing,2025-01-10T11:07:26+09:00,태초마을 지겹다 좀 올라봐라,005930
Rvi,2025-01-10T11:07:25+09:00,"님들.. 삼전은 이미 망함... 재무만봐도 알잖슴..
실적 낼라고 마케팅 투자에 올인 그저 지붕 뚫린 집이
보수공사 밖에 안됨.. 계속 비는 내릴 것이고
기술력은 딸리고
이미 끝남..
이건희 회장님 때가 좋았지
ㄹㅇ 이녀석은 이제 마누라 자식빼고 싹 다 바꾸는거 아니면 오를수가 없다
8한번 찍고 다시 5로 감 .
이 글은 성지가 되길",005930
왜냐고구마,2025-01-10T11:07:06+09:00,지금이 살 타이밍 근데 더 떨어지진않겠지..?,005930
삼전가자1,2025-01-10T11:06:50+09:00,오르는건 어렵지만 내리는건 쉬워,005930
주식고수인데,2025-01-10T11:06:41+09:00,개쓰레ㄱ잡주진짜,005930
꽃보다햇살,2025-01-10T11:06:08+09:00,72에 시작해서 이제 겨우 평단 58... 야금야금 사는중...,005930
투자마스타,2025-01-10T11:05:35+09:00,자사주라도 매입해라이,005930
러블리소울,2025-01-10T11:04:11+09:00,아 단가 겁나좋내 사고싶어 그러나 전재산 물려있내 역시 리스크 관리차 돈을좀 냄겨놧어야 했내ㅜ 꾸준히 우상향할줄 알앗던 나를 책망해,005930
이지베이션,2025-01-10T11:03:27+09:00,"내릴때 사고 오를때 팔아야지
왜 반대로 오늘때 사고 내릴때 파십니까?",005930
조용히하고,2025-01-10T11:03:03+09:00,장기,005930
수상스키,2025-01-10T11:00:58+09:00,징징거리는사람이 많을때 사기,005930
도시천사,2025-01-10T10:59:55+09:00,3개월 묶여 있는데 이제 그만 버려야할듯 이거 버리고 딴데 투자하면 몇일안에 원복 가능,005930
Smileyyy,2025-01-10T10:58:40+09:00,하이닉스가 낫지 않나요,005930
코로나마스터,2025-01-10T10:57:53+09:00,ㅋㅋ 이게 우리나라 1등 기업 클라스?,005930
쪽박찬인생,2025-01-10T10:57:48+09:00,삼전아 도대체 미끄럼틀 언제까지 탈래 ...일 좀해라 일~~~~^^,005930
킹갓투가,2025-01-10T10:56:53+09:00,4만전자로 다시 뵈요~,005930
노태산0303,2025-01-10T10:56:18+09:00,ㅠㅠ,005930
한노동,2025-01-10T10:56:14+09:00,다시 매입구간들어오면 저점 공략,005930
개브럴티,2025-01-10T10:55:50+09:00,신내림,005930
리차드DG,2025-01-10T10:55:48+09:00,외인 매수 들어오면 추매 예정,005930
뽀시래기3,2025-01-10T10:55:41+09:00,"젠슨황 한마디면 천국과 지옥 왔다갔다하는 촛불신세 삼전 이젠 안녕.
존심도 뚝심도 실력도 미래도 없는 삼전...",005930
경남노박멸,2025-01-10T10:52:26+09:00,내이랄줄알았다,005930
가즈아아아읕,2025-01-10T10:51:39+09:00,삼전이삼전햇노 ㅋㅋㅋㅋ,005930
leaven,2025-01-10T10:49:44+09:00,ㅋ_ㅋ,005930
둥글둥글살자,2025-01-10T10:47:20+09:00,이회사 웃김 호재에 네리면 나가란소리?요기도 세력이 운전하나?,005930
Designseok,2025-01-10T10:47:01+09:00,5만9천원 인가?,005930
오메이징버거,2025-01-10T10:45:14+09:00,"4만전자 찍히기전까지 더 매수안할예정
어처피한동안 52000~6000뺑이.
장투목적이니.. 언젠가 6만전자는 가것지.",005930
호라이존,2025-01-10T10:44:48+09:00,5만!5천!5백원 별이 다섯개!,005930
기술배움,2025-01-10T10:44:08+09:00,의이구,005930
똥에사서금에판다,2025-01-10T10:43:38+09:00,성토후 다지기 무한반복,005930
맘대로하렴,2025-01-10T10:43:00+09:00,"적당이해야지 ~
꼴베기 싫으네~~",005930
추팝츄스,2025-01-10T10:42:15+09:00,"이재용 딸도
아이폰쓴다",005930
대한사나이,2025-01-10T10:41:52+09:00,다시 이겨낼수 있어~ 삼성은!!,005930
마곡동꾀꼬리,2025-01-10T10:41:46+09:00,대단하다 삼전 .. 이제 놀이감 주식이 되어버렸네..,005930
삼성매앤앵,2025-01-10T10:41:10+09:00,차라리 하닉을 넣으세여....,005930
괴괴기괴,2025-01-10T10:40:44+09:00,에휴,005930
땡땡땡동,2025-01-10T10:40:43+09:00,너무 저점인디 삼송,005930
푸르른른,2025-01-10T10:40:04+09:00,금요일마다 이러니까 주말내내 기분 잡치네 진짜 어지간히 해라 공매도 치는 놈들,005930
쓰루볼,2025-01-10T10:39:05+09:00,징글징글,005930
불타는만두장,2025-01-10T10:38:34+09:00,삼성때문에 기분이 엉망이구만ㅋ,005930
장투황태자,2025-01-10T10:37:46+09:00,"자사주 넣어서 5만전자지 자사주라도 없었으면 진즉에 4만전자다.
기술도 딸리고 마지막 발악하는거같은데, 여기 주주들 평단 탈출기회라도 줘야지. 이걸 국민주라고 믿고 투자를 했으니 평단 탈출하면 국장에서 제일 무능한 사만전자는 다신 돈 넣을 일 없다.",005930
봤냐맨이야,2025-01-10T10:37:37+09:00,"몇해동안 봤는데 삼전은 미장무새들이나 뭐 기타등등 떨거지들이
와서 왱알앵알 거려도 은젠간 원금 터치는 합니다.. 원금이 6.5 이상이면 쫌 그렇긴한데.. 일단 6아래분들은 그냥 계셔보세요",005930
왜그러냐,2025-01-10T10:37:30+09:00,"토닥토닥 괜찮아
주말 잘들 보내자구~~!!",005930
간담상조,2025-01-10T10:37:28+09:00,"아..그냥 개같이 떨어져라 물타서 도망가게
지긋지긋 하다",005930
단타집막내아들,2025-01-10T10:36:16+09:00,역시 삼전은 100원이라고 먹은면빼야되 ㅋ,005930
개브럴티,2025-01-10T10:36:10+09:00,이걸 주워 담는 개인이 있네 훌러덩 내려가야하는데 .. 개인이 많이 주워 담네..ces 라스베가스에 황사장이 내논 피지컬로봇ai는 혁신적이지 ai황제 답다.. 큰일이다..로봇이라고 내논것도 초보단계고 집사로봇보니 한숨이 나온다..,005930
죽죽죽올라라,2025-01-10T10:36:05+09:00,왜이러냐,005930
주식은T처럼,2025-01-10T10:36:02+09:00,굿,005930
킹받쮸,2025-01-10T10:35:46+09:00,아니 얘는 맨날 와라가리여 ㅋㅋㅋㅋ,005930
sseolHS,2025-01-10T10:35:19+09:00,"55000원깨지면 기관들 자동매도구간 진입이지 않나?
그러면 방어도 힘들고 쭉쭉빠질건데 자사주매입도 한계가있지 좀 심각하네 작년후반기 잠깐 80000원대 찍더니 계속 폭락해 반토막 갈지도모르겠단 불안이드네",005930
Djj2,2025-01-10T10:34:27+09:00,하이고..,005930
뿌꾸두치,2025-01-10T10:34:14+09:00,삼전 산게 내 인생 가장 안좋은 선택,005930
유튀키아,2025-01-10T10:34:13+09:00,언제까지 떨어질 래.,005930
핑크쏘세지,2025-01-10T10:32:30+09:00,"덕분에 토스증권 알람껏어
중학교때 나한테 돈뺏은 언니들보다
너가 더 나빠",005930
제이투룬,2025-01-10T10:30:58+09:00,"삼전이 지금 사람들의 조롱을 가슴으로 기억하고
이후에 반드시 복수해주겠다는
마음으로 칼을 갈았으면 하는 마음입니다.
잃어버린 30년의 시작일듯 하지만
저력을 믿고 장투하며 기다립니다.",005930
가져갈게불만없지,2025-01-10T10:30:10+09:00,"일봉으로 쭉 땡겨서 보면 58000부근에서 뾰족 산처럼 나온 부분이있습니다 그부분이 많을 수록 가격이 그 아래있으면 저항이라고하고 그 위에있으면 지지구간이라고 합니다 삼성전자의 현재의 가장 가까운 저항구간은 58000이고 지지받는 구간은 대략 55000정도 겠네요 그럼 이득 보는 법 설명갑니다
55000 풀매수 한사람은 58000 70프로를 매도 치고 59000가면 다시 매수를 한다 저항구간이 뚫렸으면 불타기해도 좋습니다.
일단은 지금은 매수해도 ㄱㅊ은 가격같네요 풀매수는 추천안함 55000선 뚫리고 하방나오면 다시 5만원 초반때 가는거니깐요 여기까지입니다 ㅂㅂ",005930
세아유라아빠,2025-01-10T10:29:21+09:00,개인도팔고 기관도팔고 외쿡인도 팔고... 어찌쓰까...,005930
플레인요거,2025-01-10T10:28:04+09:00,자사주 매입... 지금 하고 있는 거죠?,005930
기다리는거잘함멘탈잡자,2025-01-10T10:27:41+09:00,봄까지만 올라라^^,005930
진돌맘,2025-01-10T10:26:31+09:00,어제 삼전 기획팀에 처발리더니ㅋㅋ,005930
청산의아픔,2025-01-10T10:26:08+09:00,갈듯말듯 밀당 왤캐하는거야 시원하게 가자,005930
개미는오늘도한주,2025-01-10T10:26:01+09:00,ㅋㅋㅋㅋ,005930
개구리눈알,2025-01-10T10:24:14+09:00,아진짜.어제팔껄,005930
시련달,2025-01-10T10:24:10+09:00,삼전ㅋㅋㅋㅋㅋㅋㅋㅌ,005930
로리찡,2025-01-10T10:21:04+09:00,아직도 이가격이서 요로고 있네 ㅋㅋㅋ,005930
내가무루,2025-01-10T10:20:35+09:00,결국 물타게 만드네 ㅆ삼성,005930
땡땡땡동,2025-01-10T10:19:53+09:00,건희행님이 가기전에 뭐 안적어줬나..,005930
걸그룹소녀감성매매법,2025-01-10T10:18:36+09:00,또적립,005930
우우파,2025-01-10T10:18:01+09:00,또 줬다 뺐네 음..,005930
화무십일홍석천,2025-01-10T10:16:27+09:00,시계 풀어??,005930
빼기전까지손해아님,2025-01-10T10:15:42+09:00,"현차 엔비디아 콜라보 ㅋㅋㅋㅋ
하이닉스 HBM
옆 동네 기업들 다 발 빠르게 이 시국 대처 하는데 삼전은 빈둥빈둥 뭐하노 에휴 언제적 한국 1등 기업이냐 옆동네 대기업한테 타이틀 준지 오래다",005930
2030년미래에서왔다,2025-01-10T10:15:06+09:00,갤럭시s25 출시전에 던져라,005930
진고물수집가,2025-01-10T10:14:23+09:00,주봉 상승 다이버전스 아닌가요?,005930
모션모션,2025-01-10T10:13:48+09:00,가자,005930
멓렁이,2025-01-10T10:12:11+09:00,너는 도대체 왜..,005930
코로나마스터,2025-01-10T10:11:55+09:00,이건희 부활하면 화병으로 다시 관짝행일듯,005930
이건꼭올라야해,2025-01-10T10:10:29+09:00,;;,005930
머니크,2025-01-10T10:09:41+09:00,쪼매 좀올라가자~~,005930
행복한규늬,2025-01-10T10:07:59+09:00,"55000원은 절대 깨면 안될듯한대
무너지면 당분간은 정말 힘들듯 하네요
55000원위에서 저점 다지면서
올라가길 기대해 봅니다",005930
뛰뽀따,2025-01-10T10:07:56+09:00,진짜 넌 언제오르냐..,005930
펄업업,2025-01-10T10:05:43+09:00,밑도끝도없이 미친듯이 올라가라는소리는 안할테니 쪼금식이라도좀 올라라..ㅠㅠ,005930
인내가힘들어,2025-01-10T10:05:15+09:00,"삼성 분발좀 해라
다들 호주머니만 챙기고 딴짓 하닌까 삼성이 이렇게 개판 되는거야
똑바로 일안하는 사람 다 교체해라
정상으로 돌아갈려면 ᆢ",005930
주린이배고픈데,2025-01-10T10:04:18+09:00,국장에서 하염없이 마이너스가,005930
기부me,2025-01-10T10:04:03+09:00,나갈래옹,005930
핑크쏘세지,2025-01-10T10:03:54+09:00,기관 뿌셔,005930
Jinace,2025-01-10T10:03:14+09:00,"선구안이고 나발이고
강제 장투ㅋㅋㅋ",005930
쫄보주식초보자,2025-01-10T10:02:48+09:00,그거로 그나마 이만큼 버티는거 아입니까..?,005930
김치전감자전삼전,2025-01-10T10:02:45+09:00,외인은 결국 사게되있음,005930
뭐지망한듯,2025-01-10T10:02:09+09:00,아몰랑 소량이지만 추매해본다..일단 간부터 다 봐야겠다 ㅠ,005930
핑크쏘세지,2025-01-10T10:02:00+09:00,기관은 외인보다 더혀 ^^,005930
펄업업,2025-01-10T10:01:41+09:00,올라가는건 힘들고 내려 가는건 쉽고...,005930
김뗜뗜,2025-01-10T10:01:36+09:00,다들 몇층이세요..?ᩚ😢,005930
수익좀내자1,2025-01-10T10:01:35+09:00,6만원을 못가네...,005930
리드엘,2025-01-10T10:01:02+09:00,"단타를 제외한 순매수 물량이 너무 적음
현재로써는 자사주 매입이 대부분 인듯..

코스피가 단기적 조정을 받는다면 따라갈 수 밖에..

다음 주 수요일까지 6만원 회복 못할 듯..
한은 기준금이 동결이 되고 연준 기준금리가 인하되야 6만원 회복할 듯..

관전 포인트 1은 다음 주 목요일",005930
한장군2,2025-01-10T10:00:36+09:00,조금씩 용트림하네,005930
콩지배자,2025-01-10T10:00:21+09:00,임마는 평단 낮추고 파는거 말고 답이 없을듯,005930
또르교,2025-01-10T09:58:57+09:00,이걸 내가 왜 사갖고ㅋㅋㅋ,005930
호오고우,2025-01-10T09:58:53+09:00,ㅋㅋㅋㅋ 와이러냐 진짜,005930
펄업업,2025-01-10T09:58:02+09:00,이게맞나,005930
핑크쏘세지,2025-01-10T09:56:57+09:00,자사주 매입이나 쉬지말고 해라 양심이 있으면,005930
K429,2025-01-10T09:56:37+09:00,삼성이 그냥 좋아서 투자~~^^,005930
바늘구멍뚫기,2025-01-10T09:56:11+09:00,5만8천을 못가네,005930
사랑스런바비인형,2025-01-10T09:53:50+09:00,똥을싸네 진짜,005930
장투그만,2025-01-10T09:53:21+09:00,엔비디아랑 뭐 있다메!!!,005930
천쓰다,2025-01-10T09:53:18+09:00,넌 답은 없다 이제 쓸쓸 버릴때가 왓더 !!,005930
맛있는여행,2025-01-10T09:52:50+09:00,떨어지면 사는거지~!!,005930
길가다국밥먹자,2025-01-10T09:52:37+09:00,"삼전은 장투,,,, 1년이상은 기달려봐야할듯",005930
댄다고,2025-01-10T09:52:28+09:00,530,005930
튀슬라,2025-01-10T09:52:15+09:00,뭔데,005930
핑크쏘세지,2025-01-10T09:51:56+09:00,사기만하면 내돈 뺏네,005930
아리샬,2025-01-10T09:51:51+09:00,줍,005930
New질랜드,2025-01-10T09:51:23+09:00,언팩 직후에 오를까요?,005930
개브럴티,2025-01-10T09:51:22+09:00,내가 뭐랬노...초장에 떨어진다 했잔아.... 54000갈끼다 아마.. 월요일도 호재없으면 외인들 주워먹었던거 다 토해 낼끼다.,005930
반드시제1원칙을,2025-01-10T09:51:03+09:00,젠장 삼전 난 이제 니가 싫다,005930
주식초보133,2025-01-10T09:50:55+09:00,불금인데 이러지 말자ㅠㅠ 올라가자!!,005930
Society,2025-01-10T09:50:11+09:00,두달안에 6만 옵니다. 기달,005930
이름모를,2025-01-10T09:49:43+09:00,영차 영차~,005930
마꼬빵,2025-01-10T09:49:13+09:00,어찌나 미련을 못버리는지,005930
더럽네,2025-01-10T09:48:54+09:00,🐕 같은소리,005930
무인도왕자,2025-01-10T09:48:53+09:00,힘들 내십쇼,005930
반드시제1원칙을,2025-01-10T09:48:16+09:00,본전만 어떻게 안 되겠습니까 제발,005930
Halluci,2025-01-10T09:47:57+09:00,6개월 지켜보면 되겠지 뭐,005930
말라뮤틍,2025-01-10T09:47:02+09:00,와~ 닉스는 투심이 살아있는데 이곳은 내가 넣긴 했어도 2%가 모자르다,005930
동동파다,2025-01-10T09:46:52+09:00,쏜다!!!!! 어디로????!!!,005930
다이소매매,2025-01-10T09:46:34+09:00,"반민주주의 윤썩열 언제 머리채잡혀끌려나오냐.. 지겹다진짜
일본총독부짓언제까지 봐줘야함",005930
꼭사야했니,2025-01-10T09:45:47+09:00,재용이 집권하고 개잡주 됐어,005930
초보쥬린봉,2025-01-10T09:45:41+09:00,단타익절 #,005930
보건교사아는형,2025-01-10T09:45:19+09:00,윤통 저지경이기 때문에 경제가 더더욱 죽쑤는 거 아님?,005930
오링5링,2025-01-10T09:44:07+09:00,"그러기엔 다른반도체 주식은 잘만가니깐 머리가 띵하지?

그냥 장투하라고 징징거리지말고 다들 ㅋㅋ",005930
판다팔아버린다,2025-01-10T09:44:00+09:00,이 개잡주… 그냥 손절액 적을 때 손절했어야 했는데…,005930
아프리카장님개미,2025-01-10T09:43:56+09:00,특별한 악재가 없는데다 아직 저평가 상태인데도 조금 올랐다고 조정을 맞는 대 삼 성,005930
불꽃남자3,2025-01-10T09:43:32+09:00,와 아침에 느낌쎄하더만 역시나,005930
웅이오빠,2025-01-10T09:43:32+09:00,"삼성.. 이제라도 정신 차려라..
니가 쓰러지면 한국 큰일난다..",005930
노예1호,2025-01-10T09:42:51+09:00,도망갈 타이밍을 안주는구만,005930
주린이예욧,2025-01-10T09:42:31+09:00,와 내리 꽂는구만,005930
외게인인가,2025-01-10T09:41:37+09:00,이걸 왜 사가지구~~,005930
탐욕스님,2025-01-10T09:41:36+09:00,오른거 다 토하네,005930
박현명,2025-01-10T09:41:06+09:00,최소 6개월보고 들어가야할듯,005930
개브럴티,2025-01-10T09:40:48+09:00,추락하는 것은 날개가 없다,005930
콩21,2025-01-10T09:40:04+09:00,200주 물타기하면 5만6천원대인데,005930
재로재로,2025-01-10T09:39:21+09:00,왜 오른거임 도대체 이럴꺼면? ㅋㅋㅋ 진짜 가치투자가 아니라 그냥 단타 숏 주식 다된건가 ㅋㅋㅋ,005930
주식프로씨,2025-01-10T09:38:59+09:00,답이없다,005930
테니스나달,2025-01-10T09:38:56+09:00,외인들 삼전 빼고 하닉가네요,005930
재벌천사,2025-01-10T09:38:42+09:00,오늘 무조건 고고고,005930
손해전문,2025-01-10T09:38:12+09:00,몇날몇일 팔던 외인들 또 떨궜다가 오후 막차때 또들오려나?,005930
뿌니걸,2025-01-10T09:37:55+09:00,잡주가 맞네요,005930
보일러댁에아버님놔드려야겠어,2025-01-10T09:37:30+09:00,4만전자각 확실,005930
빨파뭣이중한디,2025-01-10T09:37:27+09:00,"다른건 다 수익보는데 삼성으로는 항상 존버네.
주린이는 웁니다.",005930
테니스나달,2025-01-10T09:37:25+09:00,외인들..다나간다,005930
Jinace,2025-01-10T09:37:22+09:00,사야되나요 ?,005930
콩21,2025-01-10T09:37:02+09:00,사여?,005930
강남동,2025-01-10T09:36:17+09:00,삼전으로 수익낸거는 삼전으로 다시 반납..,005930
쬬꼬비,2025-01-10T09:35:48+09:00,사만전자 가까이오면 애개뤼 쩌어어억 하면서 받아먹고 다시 6만 가면 팔면됨,005930
Yanogod,2025-01-10T09:35:38+09:00,55800 눌림목 깔고 매수중이네요,005930
조팝3끼도노,2025-01-10T09:35:33+09:00,그래도 1주전에 5.4박스권에서 놀더니 이제 5.6에서 왔다갔다 하네,005930
존버하는거야,2025-01-10T09:35:00+09:00,탈출할수있게 올해안에 7층만 와다오 비나이다비나이다,005930
개브럴티,2025-01-10T09:34:05+09:00,지옥불 온다..돔황쳐,005930
하이닉스3,2025-01-10T09:33:06+09:00,지금은 51 52 에 사서 56 57000에. 팔아야 한다.,005930
장투그만,2025-01-10T09:32:55+09:00,오늘은 오를줄...,005930
검자무적,2025-01-10T09:32:46+09:00,"진짜 이젠 기대도 없네ㅠㅠ
6층에 물린 내주식은 우짤꼬 ㅠㅠ",005930
쏭쏭빠르,2025-01-10T09:32:22+09:00,"젠슨황...한마디에 주식들이 춤을추는데
재드래곤형님 젠슨황하고 만나서 콜라보한번해주세요~~",005930
하힝히,2025-01-10T09:32:04+09:00,어제랑 같은상황이네 마감 55500원 본다,005930
Yanogod,2025-01-10T09:31:58+09:00,"외인들 다 나갔네요 :(
혹은 단타 친다거나",005930
보리탱구리,2025-01-10T09:30:08+09:00,"그냥 럿웃음만나네요
ㅋㅋㅋㅋㅋ",005930
존버하는거야,2025-01-10T09:29:57+09:00,"응원하는 마음으로 1주 추매
평단100원 내려가네 ㅋㅋ",005930
화무십일홍석천,2025-01-10T09:29:53+09:00,선발대지만 어이가 없네,005930
내돈내놔라이놈들아,2025-01-10T09:29:36+09:00,.,005930
Yanogod,2025-01-10T09:28:54+09:00,외인도 단타치는것 같은데요...?,005930
머스크형믿어요,2025-01-10T09:28:47+09:00,장투로 보면 진짜 괜찮은데.. 좀 더 떨어지면 다시 사야겠네,005930
양평동발발이,2025-01-10T09:27:23+09:00,삼전 하락에 기뻐서 둘어와 -5%를 몇달째 가지고 있네 ㅜㅜ,005930
인튜장기체류자,2025-01-10T09:26:41+09:00,오늘부터 조금씩 사볼까나~ ㅋ,005930
바뉘당군,2025-01-10T09:25:36+09:00,앞으로 삼전,005930
뿌꾸두치,2025-01-10T09:25:02+09:00,레전드,005930
초보투자러욕심노노,2025-01-10T09:24:17+09:00,걍 추매.. 한개 ㅋㅋㅋ 매달 한개씩 추매 예정,005930
페니니,2025-01-10T09:22:49+09:00,왜 내림 ㅋㅋㅋㅋ아 죄송합니다 제가 사버려서,005930
횡단보도그사람,2025-01-10T09:22:23+09:00,삼전은 기술력으로 이제 정말 답이 없다.,005930
무인도왕자,2025-01-10T09:21:53+09:00,미국 정리하고 왔어요~~,005930
