Code,Name,Volatility,TotalReturn,AvgReturn,Sector,Volume,Amount,Marcap,Risk
109740,디에스케이,1.76,-4.62,-0.4979987155365548,전자장비와기기,8795,39097490,114025579650,1
362320,청담글로벌,3.68,20.43,0.7121549974902904,인터넷과카탈로그소매,316899,1747145910,113854146600,2
092070,디엔에프,4.08,27.88,1.0012759401409488,반도체와반도체장비,59978,582017210,113057052660,2
018120,진로발효,1.39,5.44,0.12781614296736793,음료,1378,23461920,112956307200,1
206400,베노티앤알,3.8,-10.18,-0.7690070439820426,건축제품,540505,1639843505,112530474000,2
100700,세운메디칼,2.35,13.25,0.4542190361752674,건강관리장비와용품,92510,232978530,112347000000,1
417790,트루엔,1.72,13.62,0.49948330558510473,전자장비와기기,27768,282413500,111976437000,1
361390,제노코,4.77,23.63,0.6933783259839107,우주항공과국방,86384,1290367960,111836763990,3
382800,지앤비에스 에코,4.06,41.48,1.7027235185353473,반도체와반도체장비,116430,412680735,111657574730,2
348150,고바이오랩,3.99,20.88,0.5088638531385956,생물공학,93591,534745810,111593376000,2
009300,삼아제약,2.59,12.32,0.43024293547095854,제약,23740,413528890,111538700000,2
067900,와이엔텍,2.04,9.09,0.2232238585824843,해운사,51829,316550390,111381913080,1
138080,오이솔루션,2.14,14.05,0.4356169381274342,통신장비,36781,381641730,111234274650,1
061250,화일약품,4.34,31.34,1.2436691539196916,제약,430957,569299856,111134909673,2
208370,셀바스헬스케어,3.87,8.96,0.057968448559080815,건강관리장비와용품,355409,1535767050,111070533660,2
452200,민테크,4.28,19.81,0.5280414641222357,전기제품,81147,404582015,110589877000,2
021080,에이티넘인베스트,4.88,10.31,0.23192048189825673,창업투자,238800,544384060,110400000000,3
357230,에이치피오,2.57,9.62,0.05357972267088293,식품,25601,65744080,110274455940,2
322180,티라유텍,4.69,16.08,0.48228045996360536,IT서비스,146335,775055320,110179779330,2
040350,크레오에스지,3.32,15.26,0.5665476808744376,IT서비스,165034,95207436,109910535247,2
011560,세보엠이씨,4.64,7.09,0.3735488986512012,건설,42555,440805330,109722600000,2
035610,솔본,1.99,11.25,0.3996545049700553,건강관리기술,37661,151772795,109520717985,1
173130,오파스넷,7.77,-15.85,-0.7326612202018374,IT서비스,592123,5076360440,109459908470,3
191420,테고사이언스,4.92,8.71,0.7133529591315851,생물공학,2973,40183630,109307082320,3
060560,홈센타홀딩스,3.88,21.28,0.8016715415562826,건축자재,0,0,109157443875,2
058400,KNN,4.0,-7.13,0.24601049582621798,방송과엔터테인먼트,354166,292695417,108724800120,2
162300,신스틸,3.75,26.46,0.8348224019500176,철강,82025,216215100,108032950110,2
091440,한울소재과학,8.07,84.75,3.269411146981073,통신장비,359467,2661302630,107943298690,3
065710,서호전기,1.67,-4.34,-0.3577493363820196,운송인프라,4356,89901350,107892500000,1
048910,대원미디어,2.98,22.43,0.9131189833236735,방송과엔터테인먼트,42252,360839580,107801567220,2
407400,꿈비,5.22,14.9,1.3571759546383104,가구,241994,2154363040,107760776460,3
217330,싸이토젠,9.45,17.25,1.1784179973170206,생물공학,72158,342588165,107668041285,3
012700,리드코프,2.18,5.17,-0.018138952408726833,석유와가스,23681,96476305,107635769450,1
027830,대성창투,8.81,52.34,2.324729564648502,창업투자,2101033,4149620750,107190000000,3
056090,시지메드텍,3.04,7.01,0.04886414868280959,건강관리장비와용품,161362,167814247,107182879368,2
050960,수산아이앤티,12.63,-0.13,2.167905970704039,소프트웨어,110340,1802490120,106935840000,3
256940,케이피에스,2.95,34.59,1.2705123583864337,비철금속,35369,202269570,106867350600,2
234300,에스트래픽,2.8,14.97,0.4972524045717975,IT서비스,65250,249504885,106789816320,2
224110,에이텍모빌리티,8.75,-26.28,-0.1439055805213022,컴퓨터와주변기기,106806,2127535490,106479600000,3
091580,상신이디피,4.06,20.95,0.64864108047579,전기제품,74530,589300280,106217212290,2
066700,테라젠이텍스,2.52,10.34,0.419517062879506,제약,59155,190557215,105704285925,2
012860,모베이스전자,2.44,9.4,0.30057919379068615,자동차부품,83749,119305772,105675878451,1
000440,중앙에너비스,3.12,12.57,0.28107550330276154,석유와가스,19994,338432000,105425310900,2
160980,싸이맥스,3.39,28.67,1.1014735738443102,반도체와반도체장비,69600,664205510,105418944950,2
023440,제이스코홀딩스,3.61,-2.76,-0.6087253148210532,철강,171460,286521056,105296222520,2
111710,남화산업,1.86,-1.54,-0.2486290315261128,"호텔,레스토랑,레저",582,2968470,105204680000,1
060310,3S,3.85,19.65,0.5368359181613953,기계,297017,584205748,105003840160,2
019590,엠벤처투자,0.0,0.0,0.0,창업투자,0,0,104963185182,1
054620,APS,3.14,3.14,-0.29018198344690954,반도체와반도체장비,15017,78624670,104643602460,2
300080,플리토,5.54,21.02,0.7746096205855493,양방향미디어와서비스,49958,956684000,104534523000,3
095190,이엠코리아,3.34,45.24,1.878958202627145,기계,168676,383183400,104462074460,2
084730,팅크웨어,3.13,18.58,0.5690136213328584,전자제품,26392,246177450,104206397120,2
058630,엠게임,2.93,4.92,0.02949782841167936,게임엔터테인먼트,77110,411187770,104168864410,2
142210,유니트론텍,4.2,29.5,0.9713430948537821,반도체와반도체장비,309741,1660793780,103928896800,2
041590,플래스크,0.0,0.0,0.0,건설,0,0,103917099150,1
277880,티에스아이,3.31,14.57,0.3233812363318692,전자장비와기기,30324,155935810,103828284800,2
255440,야스,2.83,-4.45,-0.5868434627652087,디스플레이장비및부품,7224,57221860,103811100000,2
228850,레이언스,2.52,8.33,0.004239149935432889,건강관리장비와용품,10043,61796270,103527927360,2
109960,AP헬스케어,6.55,14.99,1.2448006355722931,제약,533934,272625338,103205684266,3
071200,인피니트헬스케어,2.47,6.42,0.0026689342176866335,건강관리기술,47185,198157930,103197017340,1
228670,레이,4.64,30.39,1.1904522677086986,건강관리장비와용품,38043,250712880,103161802450,2
102370,케이옥션,4.46,19.43,0.4751036879897364,판매업체,160067,593077660,102926413800,2
093920,서원인텍,1.38,1.84,-0.040943849998800436,핸드셋,11800,65208650,102858000000,1
125210,아모그린텍,3.96,26.42,0.8014436279187667,화학,49135,304719580,102610033800,2
053050,지에스이,3.65,17.56,0.4510468710532856,가스유틸리티,816578,2740097615,102407643755,2
065510,휴비츠,3.22,24.26,1.065826400806232,건강관리장비와용품,28692,238390080,102138716400,2
175140,휴먼테크놀로지,4.5,5.8,-0.2392222028937604,전자제품,62811,301479765,102090060540,2
131030,옵투스제약,8.59,27.14,1.2614140804361234,제약,141418,881169720,101764920600,3
382150,온코크로스,9.57,0.35,-0.03978332921323968,생명과학도구및서비스,12908724,109497121340,101741099460,3
089850,유비벨록스,1.64,8.5,0.3626649487224076,전자제품,120450,825913380,101491071110,1
451250,삐아,5.11,25.47,0.6748094423025208,화장품,557120,5767242640,101403263850,3
115440,우리넷,6.19,60.85,2.3808089904743412,통신장비,3624524,35622212880,101197388990,3
365590,하이딥,4.59,26.58,0.5436989235349873,반도체와반도체장비,150406,105789387,101113116300,2
084180,수성웹툰,2.54,15.94,0.8544011503108029,기계,30574,179426130,100990075470,2
053700,삼보모터스,3.42,-5.87,0.285203713365804,자동차부품,78140,343594270,100888407900,2
207760,미스터블루,4.41,20.68,0.5901485194964677,양방향미디어와서비스,150836,181589554,100858856562,2
419050,삼기이브이,4.25,12.65,0.09262150780197406,자동차부품,94656,166384702,100836971120,2
376190,LB루셈,3.34,24.7,0.8587175564876985,반도체와반도체장비,11388,46416345,100614000000,2
226440,한송네오텍,0.0,0.0,0.0,전기제품,0,0,100580954580,1
200470,에이팩트,5.45,36.71,1.4738143906464696,반도체와반도체장비,240092,578501840,100186349945,3
432470,케이엔에스,4.37,15.33,0.3471039898152001,전기제품,23036,263166040,99844139560,2
037070,파세코,3.33,12.39,0.2621077169223236,가정용기기와용품,14762,73596010,99800000000,2
066410,버킷스튜디오,0.0,0.0,0.0,IT서비스,0,0,99670679144,1
009780,엠에스씨,2.39,10.98,0.35078279533535134,식품,89335,498798800,99616000000,1
014470,부방,4.57,-7.48,-0.6704690602494006,가정용기기와용품,265012,440814785,99566647080,2
019010,베뉴지,2.09,-1.9,-0.292925137860866,백화점과일반상점,7229,14885670,99533000000,1
445180,퓨릿,4.33,27.53,0.8656561489341026,반도체와반도체장비,30822,181350620,99441284840,2
260930,씨티케이,4.06,-0.39,-0.05211099227066892,화장품,85253,434112610,99415777740,2
