Code,Name,Volatility,TotalReturn,Sector,Volume,Amount,Marcap,Risk
196170,알테오젠,5.28,-19.82,생물공학,266380,81847979500,16342220782000,3
247540,에코프로비엠,3.98,-32.84,전기제품,672937,82502226800,11921983833600,2
028300,HLB,4.54,10.33,건강관리장비와용품,549304,43994867300,10524133383300,3
086520,에코프로,3.47,-27.16,화학,564867,35827732300,8427656922000,2
277810,레인보우로보틱스,5.44,69.12,기계,350398,81670156000,4432867553000,3
141080,리가켐바이오,4.38,-0.81,제약,611819,74836903700,4415206762800,2
000250,삼천당제약,5.77,10.12,제약,415313,67594283300,3767270003200,3
214150,클래시스,3.67,-10.75,건강관리장비와용품,151521,8042142400,3419395399800,2
145020,휴젤,3.69,2.35,생물공학,30266,7908690000,3289652613000,2
348370,엔켐,5.03,-28.44,전기제품,133824,19697790800,3094758985000,3
058470,리노공업,3.02,0.81,반도체와반도체장비,40336,8121379300,3045425526000,2
214450,파마리서치,3.45,16.04,건강관리장비와용품,92905,22698112500,2574852000000,2
035900,JYP Ent.,3.22,42.57,방송과엔터테인먼트,439885,30980372200,2561892673200,2
065350,신성델타테크,6.5,97.44,가정용기기와용품,339335,31737428100,2539516795200,3
403870,HPSP,3.9,-13.86,반도체와반도체장비,356430,10197713900,2371626816000,2
068760,셀트리온제약,3.1,-11.61,제약,77227,4417959300,2375564817700,2
950160,코오롱티슈진,5.2,71.79,생물공학,361046,10521534650,2315240959500,3
087010,펩트론,7.77,30.42,생물공학,212189,20770550000,2257513215000,3
039030,이오테크닉스,4.86,-8.13,반도체와반도체장비,97490,16060252200,2006854695000,3
257720,실리콘투,5.41,-21.68,인터넷과카탈로그소매,628384,20332230650,1954030811400,3
328130,루닛,6.55,65.64,건강관리기술,479364,32489323000,1939174300000,3
237690,에스티팜,3.46,-14.43,제약,69327,6449127800,1874218584000,2
089030,테크윙,5.08,37.33,반도체와반도체장비,820188,40934529950,1863946885500,3
263750,펄어비스,3.21,-24.54,게임엔터테인먼트,108392,3120174650,1856763009500,2
140860,파크시스템스,3.52,30.77,전자장비와기기,21422,5099086500,1663043326000,2
214370,케어젠,4.11,74.57,건강관리업체및서비스,111599,3403704000,1622193000000,2
041510,에스엠,2.85,5.97,방송과엔터테인먼트,169371,11566218100,1618406351100,2
036930,주성엔지니어링,3.74,21.18,반도체와반도체장비,306524,10100319300,1555127760900,2
095340,ISC,4.33,20.33,반도체와반도체장비,198824,14406198800,1511350235400,2
298380,에이비엘바이오,4.63,-22.72,생물공학,657865,20532534450,1489497910700,3
310210,보로노이,5.52,-27.26,제약,163947,12774162300,1442828131200,3
096530,씨젠,3.14,10.65,생명과학도구및서비스,533552,14338220150,1389211440400,2
293490,카카오게임즈,3.73,-1.12,게임엔터테인먼트,184507,3097529100,1388012819750,2
178320,서진시스템,3.53,-16.41,전기제품,528040,12748661650,1372450077600,2
357780,솔브레인,2.54,-19.21,반도체와반도체장비,10419,1842426000,1362804763200,2
007390,네이처셀,8.36,112.24,생물공학,318704,6550643950,1322539555800,3
112040,위메이드,3.89,9.72,게임엔터테인먼트,113668,4350595750,1310411443800,2
018290,브이티,5.65,6.29,화장품,1760703,64499409100,1303047454800,3
067630,HLB생명과학,4.74,14.1,제약,226889,2427666420,1299281105460,3
204270,제이앤티씨,5.05,-4.32,핸드셋,978750,22053645500,1281343521900,3
078600,대주전자재료,3.8,-31.21,전자장비와기기,74545,6047606600,1253928033000,2
253450,스튜디오드래곤,2.75,7.02,방송과엔터테인먼트,76218,3057273000,1208351619600,2
035760,CJ ENM,2.79,-13.56,방송과엔터테인먼트,69748,3834734000,1190753062200,2
005290,동진쎄미켐,3.2,-20.14,반도체와반도체장비,238067,5524806700,1182533362000,2
240810,원익IPS,2.6,-29.32,반도체와반도체장비,127071,3040569700,1155925868550,2
115450,HLB테라퓨틱스,4.89,71.96,제약,400871,5592298810,1119554864010,3
031980,피에스케이홀딩스,5.17,4.87,반도체와반도체장비,409503,20842708050,1088900947500,3
067160,SOOP,2.57,-1.56,양방향미디어와서비스,34766,3311686700,1086255481500,2
195940,HK이노엔,2.5,-21.21,제약,242613,9303670400,1076535858000,2
039200,오스코텍,3.3,-34.67,생물공학,262823,6898929000,990614808400,2
232140,와이씨,4.75,-13.12,반도체와반도체장비,1515686,18314334530,969776037000,3
137400,피엔티,3.14,-31.93,전기제품,102863,4065994200,939039051300,2
042000,카페24,4.36,23.16,IT서비스,240620,9281440350,932529926300,2
086900,메디톡스,3.74,-33.37,생물공학,39578,4883988300,909392726200,2
140410,메지온,3.36,3.77,식품,50808,1547052050,909387277950,2
078130,국일제지,0.0,0.0,종이와목재,0,0,901924696800,1
225570,넥슨게임즈,2.35,-10.93,게임엔터테인먼트,139673,1866719450,885160738560,2
051980,중앙첨단소재,4.44,-41.09,통신장비,521931,4623983880,880656436430,2
122870,와이지엔터테인먼트,2.77,24.83,방송과엔터테인먼트,158022,7120721350,870068330950,2
084370,유진테크,3.28,-0.79,반도체와반도체장비,89885,3366123300,857059970800,2
064760,티씨케이,2.33,-20.02,반도체와반도체장비,14946,1093382700,849940000000,2
417200,LS머트리얼즈,3.21,-28.34,전기제품,208700,2621425880,848364343860,2
058970,엠로,3.88,43.4,소프트웨어,87373,5795433200,813223689000,2
047920,HLB제약,4.86,17.28,제약,181957,4604570600,806510097900,3
036830,솔브레인홀딩스,3.53,-32.64,전기제품,25736,986255500,809212561600,2
213420,덕산네오룩스,3.53,11.21,디스플레이장비및부품,81921,2644375000,798322404850,2
121600,나노신소재,3.62,-30.3,화학,48704,3166442600,792745070000,2
033100,제룡전기,4.37,-17.28,전기장비,269928,13379904300,791073643250,2
281740,레이크머티리얼즈,3.51,-26.95,화학,116249,1383687820,788109270520,2
053800,안랩,4.52,35.14,소프트웨어,70008,4917761200,776630118800,3
376300,디어유,5.85,55.26,양방향미디어와서비스,196398,6111401750,759628992000,3
440110,파두,4.11,-10.45,반도체와반도체장비,60975,916286280,744380106080,2
323280,태성,6.92,-23.0,전자장비와기기,280167,8049134000,734002195500,3
317330,덕산테코피아,4.59,-21.59,반도체와반도체장비,733499,25745016050,725894902800,3
067310,하나마이크론,3.76,-9.5,반도체와반도체장비,503201,5542057030,727003280530,2
014620,성광벤드,4.1,92.73,기계,523538,13336082300,727538649350,2
086450,동국제약,2.06,-10.24,제약,83197,1324636700,705580200000,1
056190,에스에프에이,2.89,-13.44,기계,47195,911074400,697348119200,2
082270,젬백스,6.85,-16.24,반도체와반도체장비,280626,4833751550,685900084100,3
160190,하이젠알앤엠,8.09,136.42,기계,2251975,48558659250,674902800000,3
383310,에코프로에이치엔,3.71,-38.01,상업서비스와공급품,92366,2973030650,673295317200,2
053030,바이넥스,4.44,-17.94,제약,720058,14849301950,660220597600,2
041190,우리기술투자,4.74,12.46,창업투자,623779,4816397200,653520000000,3
085660,차바이오텍,4.35,-32.56,건강관리업체및서비스,200524,2337526660,651558105510,2
460930,현대힘스,6.21,69.73,조선,18450333,319675689590,637414800710,3
101490,에스앤에스텍,3.48,18.51,반도체와반도체장비,103119,3012934250,630672541800,2
052020,에스티큐브,6.72,63.05,전자장비와기기,370679,3467927610,629525274660,3
348210,넥스틴,3.12,7.91,반도체와반도체장비,32559,1978502600,626389275000,2
058610,에스피지,4.57,20.13,전기제품,1805508,51648144500,624292684000,3
003380,하림지주,1.73,4.71,식품,200167,1091618900,621631196550,1
098460,고영,2.82,-14.26,전자장비와기기,512452,4598639230,611713867050,2
290650,엘앤씨바이오,3.23,38.26,건강관리장비와용품,51339,1381219150,607955078800,2
048410,현대바이오,3.55,-12.74,화장품,243991,3658237770,600908064720,2
222080,씨아이에스,5.01,-11.21,전기제품,180545,1400600400,599631752250,3
251970,펌텍코리아,3.32,27.63,포장재,56975,2691855500,587760000000,2
347850,디앤디파마텍,5.77,24.19,생물공학,220345,12024940000,569618919100,3
161580,필옵틱스,5.02,23.75,전자장비와기기,2071388,52062219950,566684464000,3
082920,비츠로셀,2.41,24.68,전기제품,45855,1135216950,567230882400,2
009520,포스코엠텍,2.74,-22.41,철강,2891949,42352729260,562176490500,2
078340,컴투스,2.96,7.06,게임엔터테인먼트,93201,4093226700,561734995500,2
036540,SFA반도체,2.61,-9.36,반도체와반도체장비,326283,1082517535,550119713535,2
319660,피에스케이,3.01,-16.78,반도체와반도체장비,210170,4026135180,547760561740,2
241710,코스메카코리아,3.73,-34.75,화장품,112500,5741979200,544680000000,2
340570,티앤엘,2.88,-1.91,건강관리장비와용품,39916,2654898500,542137600000,2
060370,LS마린솔루션,3.83,-2.41,건설,1297048,21876505460,540016156620,2
084110,휴온스글로벌,5.15,21.66,제약,67770,2856391600,534537486000,3
166090,하나머티리얼즈,3.05,-14.54,반도체와반도체장비,102385,2736908750,525097244700,2
030520,한글과컴퓨터,4.03,24.78,소프트웨어,322518,6976900200,525909432000,2
074600,원익QnC,3.29,-20.28,반도체와반도체장비,153390,3075367230,521028160000,2
131970,두산테스나,3.71,-12.21,반도체와반도체장비,47880,1293902900,519902702200,2
025320,시노펙스,3.89,-7.96,핸드셋,338108,2075285380,514642127040,2
399720,가온칩스,4.27,0.8,반도체와반도체장비,92509,4099381950,513181410000,2
023160,태광,3.48,44.81,기계,814314,15456397190,512775000000,2
228760,지노믹트리,5.87,30.96,건강관리장비와용품,85207,1778923200,509172759700,3
083650,비에이치아이,6.27,106.38,에너지장비및서비스,7524864,124348394800,509034968750,3
064550,바이오니아,2.79,-24.19,생물공학,71157,1388434820,503816880320,2
272290,이녹스첨단소재,2.9,-2.94,디스플레이장비및부품,372359,9112654600,496589003900,2
025980,아난티,3.85,14.14,"호텔,레스토랑,레저",245614,1349873000,492779897680,2
033500,동성화인텍,2.87,46.69,화학,295303,4821044520,491827701600,2
365340,성일하이텍,2.95,-31.07,전기제품,21480,866978250,486527400000,2
336570,원텍,3.62,-13.79,건강관리장비와용품,266061,1450513080,486906373550,2
