Code,Name,Volatility,TotalReturn,Sector,Volume,Amount,Marcap,Risk
196170,알테오젠,4.09,0.31,생물공학,74936,24017337000,17062024960000,2
247540,에코프로비엠,3.39,-11.83,전기제품,52600,6113647200,11413416844800,2
028300,HLB,2.8,5.99,건강관리장비와용품,120206,9396550500,10248219774000,2
086520,에코프로,3.67,-13.13,화학,117330,7307996100,8334460084000,2
277810,레인보우로보틱스,7.89,84.88,기계,186164,44252175000,4685065707000,3
141080,리가켐바이오,4.86,10.52,제약,83793,10408775400,4543342945800,3
000250,삼천당제약,7.95,65.71,제약,38316,6134622800,3781344486400,3
145020,휴젤,3.19,1.32,생물공학,3436,927644500,3421994959500,2
214150,클래시스,3.29,17.88,건강관리장비와용품,7834,402693900,3393193136200,2
058470,리노공업,2.84,30.62,반도체와반도체장비,15290,3095409800,3132307035000,2
348370,엔켐,4.43,-0.55,전기제품,22376,3251242100,3069426715000,3
065350,신성델타테크,8.19,34.42,가정용기기와용품,97487,10503076600,2960021199600,3
214450,파마리서치,4.06,5.42,건강관리장비와용품,5265,1344274000,2685202800000,2
035900,JYP Ent.,3.37,0.56,방송과엔터테인먼트,69290,5008340500,2554786174800,2
068760,셀트리온제약,3.32,14.12,제약,28759,1648455500,2388045893800,2
087010,펩트론,7.46,21.25,생물공학,44746,4551037800,2369340495000,3
403870,HPSP,3.11,12.52,반도체와반도체장비,110180,3112766600,2388269811200,2
950160,코오롱티슈진,6.53,35.31,생물공학,105308,3009515600,2299328650500,3
039030,이오테크닉스,5.09,27.64,반도체와반도체장비,36540,5972582600,2067220490000,3
257720,실리콘투,4.45,25.19,인터넷과카탈로그소매,163602,5480179950,2045340662400,3
328130,루닛,6.56,-11.15,건강관리기술,94590,6489763300,1994165810000,3
237690,에스티팜,3.01,11.58,제약,21456,1978037800,1854065696000,2
263750,펄어비스,4.03,-19.09,게임엔터테인먼트,11848,335510800,1827851474750,2
089030,테크윙,5.55,38.88,반도체와반도체장비,139893,6459442950,1761224361750,3
214370,케어젠,4.02,30.91,건강관리업체및서비스,16862,533122600,1724251500000,2
041510,에스엠,2.78,-8.73,방송과엔터테인먼트,10575,740112400,1630083164600,2
140860,파크시스템스,3.01,18.58,전자장비와기기,3125,727501000,1631599229500,2
298380,에이비엘바이오,3.87,6.08,생물공학,134455,4262597050,1535365755600,2
310210,보로노이,5.03,8.95,제약,41193,3457639100,1534611091200,3
095340,ISC,4.44,32.9,반도체와반도체장비,26939,1937516800,1547385234000,3
036930,주성엔지니어링,2.64,16.55,반도체와반도체장비,58736,1868919000,1531493600400,2
096530,씨젠,4.31,23.3,생명과학도구및서비스,1247024,35571847900,1480606929900,3
293490,카카오게임즈,5.12,-4.23,게임엔터테인먼트,19665,329927760,1396299463450,3
018290,브이티,6.21,-10.34,화장품,110644,4197838000,1371063668100,3
357780,솔브레인,2.86,5.66,반도체와반도체장비,1649,288612000,1372139042400,2
178320,서진시스템,3.62,-14.87,전기제품,198436,4687417100,1330264112100,2
007390,네이처셀,3.69,-1.21,생물공학,59352,1213191950,1316103840200,2
067630,HLB생명과학,2.27,6.34,제약,40476,430240550,1295624592030,2
112040,위메이드,3.09,-6.9,게임엔터테인먼트,25245,933919600,1267975840050,2
078600,대주전자재료,3.44,-3.59,전자장비와기기,14004,1129009900,1255476092300,2
204270,제이앤티씨,4.96,19.7,핸드셋,335711,7144949800,1263988982100,3
