Code,Name,Volatility,TotalReturn,AvgReturn,Sector,Volume,Amount,Marcap
005930,삼성전자,1.5439945666495167,-1.6791044776119404,-0.07330493391509649,반도체와반도체장비,9295242,489788712600,314010562130000
000660,SK하이닉스,2.3410136346325747,3.395997574287447,0.38229995324003735,반도체와반도체장비,1318077,224949851100,124124403232500
373220,LG에너지솔루션,2.4001470989310634,-13.350125944584383,-0.6177154425514131,전기제품,72672,25241597000,80964000000000
207940,삼성바이오로직스,1.4402317073687634,-4.1365046535677354,-0.22173488258733612,제약,32971,30901115000,66049472000000
005380,현대차,2.119021568283486,-1.6317016317016315,-0.09600578197033638,자동차,243190,51712979500,44186816301000
000270,기아,2.5062157479376177,2.9591836734693877,0.37365072738969946,자동차,401062,40561247500,40164935832000
068270,셀트리온,2.417811505667789,1.3971519164621917,0.15897900676967783,제약,347201,63504784700,39334633984800
005935,삼성전자우,1.6670229093674127,-3.179824561403509,-0.14816437187471443,반도체와반도체장비,379779,16767897350,36371592140000
105560,KB금융,3.2382420856033947,-17.193675889328063,-0.6465063472314798,은행,395061,33298316700,33017034689700
035420,NAVER,2.457881489326062,-7.4162679425837315,-0.22284362955487858,양방향미디어와서비스,474549,92700522900,30641717347200
329180,HD현대중공업,3.1728321476547547,35.44600938967136,1.622869356525931,조선,169341,49101269000,25566657408000
055550,신한지주,2.65246384322373,-15.159574468085108,-0.5597181380180922,은행,373253,17954368550,24165375600000
012330,현대모비스,2.278416344186606,3.3057851239669422,0.11506634288525833,자동차부품,177797,44109128500,23295271047000
005490,POSCO홀딩스,2.264132430933616,-9.618874773139746,-0.5699006048547278,철강,149734,37459739500,20614782061500
010130,고려아연,9.082013567357711,-36.51102464332036,-1.4221019341248045,비철금속,20617,20474899000,20330623906000
028260,삼성물산,1.5858495351923703,-9.178743961352657,-0.35879894102600113,복합기업,88894,10111172200,20107382501700
138040,메리츠금융지주,2.1332116790846967,-1.606805293005671,0.07955457070288441,증권,134681,14053622500,19853963867400
032830,삼성생명,2.6616298525587,-15.412844036697248,-0.6891041151200084,생명보험,185813,17210513000,18480000000000
051910,LG화학,3.1521483923630838,-14.513274336283185,-0.7341163324654026,화학,111151,27163102500,17083347006000
000810,삼성화재,3.1685975705610123,-17.81609195402299,-0.48217320363278793,손해보험,27917,10009980500,16936504227500
096770,SK이노베이션,2.886763234327257,-5.5272108843537415,-0.06797764081133473,석유와가스,64708,7243815400,16825274046400
035720,카카오,3.594470568715681,-13.38766006984866,-0.5619783800476623,양방향미디어와서비스,927030,34921768100,16567096015350
006400,삼성SDI,3.0033830202243936,-8.42911877394636,-0.35805568908556634,전기제품,213226,51386358500,16434722670000
086790,하나금융지주,2.874104973127632,-13.636363636363635,-0.5143690269102535,은행,308335,17715711000,16372730160000
009540,HD한국조선해양,3.0397458858024096,17.647058823529413,0.9020372206816656,조선,121969,28191078500,16383976354000
012450,한화에어로스페이스,4.514900192020198,6.646971935007386,0.6849631071527991,우주항공과국방,401144,140862979000,16295265057500
011200,HMM,1.8048483683118188,-2.3140495867768593,0.03802791330847932,해운사,329486,5827844950,15585588684240
259960,크래프톤,2.493168432613706,-3.1963470319634704,-0.11774924635176105,게임엔터테인먼트,48838,15574031500,15234322332000
267260,HD현대일렉트릭,3.0700213234305904,14.929577464788732,1.0347552901911476,전기장비,230450,92398241000,14671183945000
066570,LG전자,2.017278367602591,-6.292134831460674,-0.2602566722759053,전자제품,126669,10539922000,13599133343400
033780,KT&G,1.4331908518446137,-13.262815296989421,-0.6176013340755182,담배,45049,4815060300,13363642180200
015760,한국전력,2.347072925723299,-18.067226890756302,-1.0262222495985136,전기유틸리티,1381584,27168655310,12524719142270
017670,SK텔레콤,1.1753602457597647,-6.666666666666667,-0.41195365966238295,무선통신서비스,231785,12900022300,12006763962700
042660,한화오션,3.6124643711769284,10.0,0.7324813874228614,조선,2829474,107630961750,11613067632600
034020,두산에너빌리티,3.2421754362227038,-14.75177304964539,-0.6366220874004969,기계,2207910,39765165240,11536506239460
024110,기업은행,1.7487195823330632,-5.273566249176005,-0.17637239113527714,은행,457499,6616367730,11459009737530
316140,우리금융지주,2.036178890821939,-10.988372093023257,-0.4875334539327773,은행,756126,11630287270,11376501795320
003550,LG,1.8802280590849145,-6.8741893644617384,-0.2209324356905001,복합기업,49052,3532943200,11309941396700
030200,KT,1.8975807912223608,-9.660842754367934,-0.5251603079692058,다각화된통신서비스,115476,5091886404,11076353055750
003670,포스코퓨처엠,3.4740914391246704,-20.48894062863795,-1.201345245099909,화학,217360,29989048600,10589222174000
402340,SK스퀘어,2.7342947972887033,2.091503267973856,0.3802660858609168,복합기업,84710,6629074200,10577871860000
010140,삼성중공업,2.747840964718446,3.6903690369036903,0.30352856595083866,조선,3070529,35341602790,10120000000000
086280,현대글로비스,3.778553412229969,10.435497124075596,0.4635913397050744,항공화물운송과물류,565771,73843603600,10072500000000
323410,카카오뱅크,3.02214180588055,-10.874200426439232,-0.509173309412026,은행,236927,4975846400,9992492945150
