Code,Name,Volatility,TotalReturn,AvgReturn
039340,한국경제TV,0.82,3.49,0.12529466822029434
110790,크리스에프앤씨,4.37,-1.61,-0.07236086030054985
092460,한라IMS,2.73,9.88,0.5876372153065651
079960,동양이엔피,1.45,-4.58,-0.21082697013526772
119850,지엔씨에너지,6.54,-8.36,0.04295602885782186
093520,매커스,3.73,8.92,0.5996742059246719
005860,한일사료,3.16,-5.87,-0.18224238675476845
412540,제일엠앤에스,4.0,-12.24,-0.3672254252189399
122990,와이솔,2.66,-8.9,-0.31449334384094857
205100,엑셈,3.49,6.5,0.4172548537194743
214260,라파스,4.37,2.26,0.488544472672613
068790,DMS,3.15,-1.88,0.17926365746967485
105550,엣지파운드리,7.67,-33.6,-1.4100787387508784
194700,노바렉스,2.34,-0.4,0.11374822185571229
156100,엘앤케이바이오,3.38,6.37,0.5578415846982226
006620,동구바이오제약,2.98,-2.97,0.11389554320353265
225190,LK삼양,4.49,-17.07,-0.767097911785638
443250,레뷰코퍼레이션,4.92,13.73,0.7044715081303531
092190,서울바이오시스,2.8,-4.27,-0.08420082836348328
298540,더네이쳐홀딩스,2.22,-3.78,0.0391417968008956
037460,삼지전자,1.61,0.35,0.07754124366844531
048550,SM C&C,4.35,-12.18,-0.4547286210099937
064290,인텍플러스,3.78,14.9,1.0249537365896766
950140,잉글우드랩,4.06,-8.32,0.13570979975061565
060570,드림어스컴퍼니,4.27,12.36,0.7884814636783138
417010,나노팀,5.7,-23.15,-1.0719014287592254
104460,디와이피엔에프,3.42,9.02,0.6574989776877049
112290,와이씨켐,4.28,4.46,0.349731064777094
102120,어보브반도체,3.87,-0.52,0.11653659069410294
432720,퀄리타스반도체,7.02,39.77,2.244583387706359
226400,오스테오닉,3.09,28.99,1.344667144976901
049960,쎌바이오텍,1.77,4.16,0.32087329614789273
166480,코아스템켐온,13.36,-63.22,-3.9067935367277036
066620,국보디자인,0.91,7.54,0.3800328363836919
039560,다산네트웍스,4.09,-6.66,-0.2389739161061582
333430,일승,4.51,2.91,0.45548266518834807
274090,켄코아에어로스페이스,4.57,-8.78,-0.42296466339087396
456010,아이씨티케이,9.15,67.32,3.0098375109863866
234340,헥토파이낸셜,3.65,-0.56,0.037946868832850436
453450,그리드위즈,4.71,2.53,0.42741634270867584
457550,우진엔텍,5.14,-20.67,-0.9375627852963946
008830,대동기어,7.38,-1.83,0.7290793484796761
439580,블루엠텍,5.07,-11.4,-0.29815959208096665
052260,현대바이오랜드,3.93,2.4,0.49621166511034487
289220,자이언트스텝,5.44,-5.0,-0.02007246960229474
085670,뉴프렉스,4.94,17.9,1.1354386361942055
029480,광무,4.46,-16.01,-0.5123884678136109
122450,KX,2.8,-9.76,-0.5414775865226362
040300,YTN,8.89,7.59,0.7666637549916688
088800,에이스테크,3.9,-7.68,-0.2827471682215322
311690,CJ 바이오사이언스,4.28,-11.12,-0.5416662239555114
019550,SBI인베스트먼트,5.8,-6.94,0.7523068688856545
269620,시스웍,0.0,0.0,0.0
047820,초록뱀미디어,0.0,0.0,0.0
220260,켐트로스,6.63,40.99,1.9935412151643028
023600,삼보판지,1.31,-5.79,-0.25485517117514456
052330,코텍,1.41,4.76,0.2885744375816707
018000,유니슨,8.8,7.46,0.9672941712274403
039240,경남스틸,10.15,71.86,3.234766983048528
293580,나우IB,10.93,57.31,2.855166582909914
054210,이랜텍,3.86,6.63,0.44412101737665405
065650,하이퍼코퍼레이션,3.55,-5.79,-0.3147751745372357
330860,네패스아크,4.48,5.02,0.4450885460477426
078350,한양디지텍,3.28,3.16,0.33586483658015964
356860,티엘비,3.53,7.54,0.5398530265437633
027710,팜스토리,2.98,-0.43,0.15170164456197288
044990,에이치엔에스하이텍,2.81,-3.61,-0.1812663011482895
315640,딥노이드,4.9,-16.57,-0.6836327305024236
067990,도이치모터스,2.96,-11.28,-0.45247935922616944
082850,우리바이오,3.9,-11.98,-0.8597400915116783
007330,푸른저축은행,4.27,-4.07,-0.07317064882506441
072870,메가스터디,1.49,-5.89,-0.2792986299641098
297090,씨에스베어링,4.15,14.64,0.8492582472994114
006910,보성파워텍,3.67,-9.93,-0.39537622246854764
377480,마음AI,7.44,27.59,1.299742432339078
187420,HLB제넥스,3.13,7.25,0.4399488504457133
127120,디엔에이링크,3.53,34.61,1.6109545557019342
183490,엔지켐생명과학,5.81,20.44,1.1080176668846147
049180,셀루메드,7.62,7.51,0.7502839114881389
