닉네임,날짜,내용
호라이존,2025-01-10T10:44:48+09:00,5만!5천!5백원 별이 다섯개!
기술배움,2025-01-10T10:44:08+09:00,의이구
똥에사서금에판다,2025-01-10T10:43:38+09:00,성토후 다지기 무한반복
맘대로하렴,2025-01-10T10:43:00+09:00,"적당이해야지 ~
꼴베기 싫으네~~"
추팝츄스,2025-01-10T10:42:15+09:00,"이재용 딸도
아이폰쓴다"
대한사나이,2025-01-10T10:41:52+09:00,다시 이겨낼수 있어~ 삼성은!!
마곡동꾀꼬리,2025-01-10T10:41:46+09:00,대단하다 삼전 .. 이제 놀이감 주식이 되어버렸네..
삼성매앤앵,2025-01-10T10:41:10+09:00,차라리 하닉을 넣으세여....
괴괴기괴,2025-01-10T10:40:44+09:00,에휴
땡땡땡동,2025-01-10T10:40:43+09:00,너무 저점인디 삼송
푸르른른,2025-01-10T10:40:04+09:00,금요일마다 이러니까 주말내내 기분 잡치네 진짜 어지간히 해라 공매도 치는 놈들
쓰루볼,2025-01-10T10:39:05+09:00,징글징글
불타는만두장,2025-01-10T10:38:34+09:00,삼성때문에 기분이 엉망이구만ㅋ
장투황태자,2025-01-10T10:37:46+09:00,"자사주 넣어서 5만전자지 자사주라도 없었으면 진즉에 4만전자다.
기술도 딸리고 마지막 발악하는거같은데, 여기 주주들 평단 탈출기회라도 줘야지. 이걸 국민주라고 믿고 투자를 했으니 평단 탈출하면 국장에서 제일 무능한 사만전자는 다신 돈 넣을 일 없다."
봤냐맨이야,2025-01-10T10:37:37+09:00,"몇해동안 봤는데 삼전은 미장무새들이나 뭐 기타등등 떨거지들이
와서 왱알앵알 거려도 은젠간 원금 터치는 합니다.. 원금이 6.5 이상이면 쫌 그렇긴한데.. 일단 6아래분들은 그냥 계셔보세요"
왜그러냐,2025-01-10T10:37:30+09:00,"토닥토닥 괜찮아
주말 잘들 보내자구~~!!"
간담상조,2025-01-10T10:37:28+09:00,"아..그냥 개같이 떨어져라 물타서 도망가게
지긋지긋 하다"
단타집막내아들,2025-01-10T10:36:16+09:00,역시 삼전은 100원이라고 먹은면빼야되 ㅋ
개브럴티,2025-01-10T10:36:10+09:00,이걸 주워 담는 개인이 있네 훌러덩 내려가야하는데 .. 개인이 많이 주워 담네..ces 라스베가스에 황사장이 내논 피지컬로봇ai는 혁신적이지 ai황제 답다.. 큰일이다..로봇이라고 내논것도 초보단계고 집사로봇보니 한숨이 나온다..
죽죽죽올라라,2025-01-10T10:36:05+09:00,왜이러냐
주식은T처럼,2025-01-10T10:36:02+09:00,굿
킹받쮸,2025-01-10T10:35:46+09:00,아니 얘는 맨날 와라가리여 ㅋㅋㅋㅋ
sseolHS,2025-01-10T10:35:19+09:00,"55000원깨지면 기관들 자동매도구간 진입이지 않나?
그러면 방어도 힘들고 쭉쭉빠질건데 자사주매입도 한계가있지 좀 심각하네 작년후반기 잠깐 80000원대 찍더니 계속 폭락해 반토막 갈지도모르겠단 불안이드네"
Djj2,2025-01-10T10:34:27+09:00,하이고..
뿌꾸두치,2025-01-10T10:34:14+09:00,삼전 산게 내 인생 가장 안좋은 선택
유튀키아,2025-01-10T10:34:13+09:00,언제까지 떨어질 래.
핑크쏘세지,2025-01-10T10:32:30+09:00,"덕분에 토스증권 알람껏어
중학교때 나한테 돈뺏은 언니들보다
너가 더 나빠"
제이투룬,2025-01-10T10:30:58+09:00,"삼전이 지금 사람들의 조롱을 가슴으로 기억하고
이후에 반드시 복수해주겠다는
마음으로 칼을 갈았으면 하는 마음입니다.
잃어버린 30년의 시작일듯 하지만
저력을 믿고 장투하며 기다립니다."
가져갈게불만없지,2025-01-10T10:30:10+09:00,"일봉으로 쭉 땡겨서 보면 58000부근에서 뾰족 산처럼 나온 부분이있습니다 그부분이 많을 수록 가격이 그 아래있으면 저항이라고하고 그 위에있으면 지지구간이라고 합니다 삼성전자의 현재의 가장 가까운 저항구간은 58000이고 지지받는 구간은 대략 55000정도 겠네요 그럼 이득 보는 법 설명갑니다
55000 풀매수 한사람은 58000 70프로를 매도 치고 59000가면 다시 매수를 한다 저항구간이 뚫렸으면 불타기해도 좋습니다.
일단은 지금은 매수해도 ㄱㅊ은 가격같네요 풀매수는 추천안함 55000선 뚫리고 하방나오면 다시 5만원 초반때 가는거니깐요 여기까지입니다 ㅂㅂ"
세아유라아빠,2025-01-10T10:29:21+09:00,개인도팔고 기관도팔고 외쿡인도 팔고... 어찌쓰까...
플레인요거,2025-01-10T10:28:04+09:00,자사주 매입... 지금 하고 있는 거죠?
기다리는거잘함멘탈잡자,2025-01-10T10:27:41+09:00,봄까지만 올라라^^
진돌맘,2025-01-10T10:26:31+09:00,어제 삼전 기획팀에 처발리더니ㅋㅋ
청산의아픔,2025-01-10T10:26:08+09:00,갈듯말듯 밀당 왤캐하는거야 시원하게 가자
개미는오늘도한주,2025-01-10T10:26:01+09:00,ㅋㅋㅋㅋ
개구리눈알,2025-01-10T10:24:14+09:00,아진짜.어제팔껄
시련달,2025-01-10T10:24:10+09:00,삼전ㅋㅋㅋㅋㅋㅋㅋㅌ
로리찡,2025-01-10T10:21:04+09:00,아직도 이가격이서 요로고 있네 ㅋㅋㅋ
내가무루,2025-01-10T10:20:35+09:00,결국 물타게 만드네 ㅆ삼성
땡땡땡동,2025-01-10T10:19:53+09:00,건희행님이 가기전에 뭐 안적어줬나..
걸그룹소녀감성매매법,2025-01-10T10:18:36+09:00,또적립
우우파,2025-01-10T10:18:01+09:00,또 줬다 뺐네 음..
화무십일홍석천,2025-01-10T10:16:27+09:00,시계 풀어??
빼기전까지손해아님,2025-01-10T10:15:42+09:00,"현차 엔비디아 콜라보 ㅋㅋㅋㅋ
하이닉스 HBM
옆 동네 기업들 다 발 빠르게 이 시국 대처 하는데 삼전은 빈둥빈둥 뭐하노 에휴 언제적 한국 1등 기업이냐 옆동네 대기업한테 타이틀 준지 오래다"
2030년미래에서왔다,2025-01-10T10:15:06+09:00,갤럭시s25 출시전에 던져라
진고물수집가,2025-01-10T10:14:23+09:00,주봉 상승 다이버전스 아닌가요?
모션모션,2025-01-10T10:13:48+09:00,가자
멓렁이,2025-01-10T10:12:11+09:00,너는 도대체 왜..
코로나마스터,2025-01-10T10:11:55+09:00,이건희 부활하면 화병으로 다시 관짝행일듯
이건꼭올라야해,2025-01-10T10:10:29+09:00,;;
머니크,2025-01-10T10:09:41+09:00,쪼매 좀올라가자~~
행복한규늬,2025-01-10T10:07:59+09:00,"55000원은 절대 깨면 안될듯한대
무너지면 당분간은 정말 힘들듯 하네요
55000원위에서 저점 다지면서
올라가길 기대해 봅니다"
뛰뽀따,2025-01-10T10:07:56+09:00,진짜 넌 언제오르냐..
펄업업,2025-01-10T10:05:43+09:00,밑도끝도없이 미친듯이 올라가라는소리는 안할테니 쪼금식이라도좀 올라라..ㅠㅠ
인내가힘들어,2025-01-10T10:05:15+09:00,"삼성 분발좀 해라
다들 호주머니만 챙기고 딴짓 하닌까 삼성이 이렇게 개판 되는거야
똑바로 일안하는 사람 다 교체해라
정상으로 돌아갈려면 ᆢ"
주린이배고픈데,2025-01-10T10:04:18+09:00,국장에서 하염없이 마이너스가
기부me,2025-01-10T10:04:03+09:00,나갈래옹
핑크쏘세지,2025-01-10T10:03:54+09:00,기관 뿌셔
Jinace,2025-01-10T10:03:14+09:00,"선구안이고 나발이고
강제 장투ㅋㅋㅋ"
쫄보주식초보자,2025-01-10T10:02:48+09:00,그거로 그나마 이만큼 버티는거 아입니까..?
