닉네임,날짜,내용
참도깨비,2025-01-09T09:58:51+09:00,고고
1초당10억,2025-01-09T09:58:34+09:00,응원합니다.
서현진,2025-01-09T09:57:21+09:00,"확실한건 외국인 매수세로
완전히 방향이 바뀌었다는거.
오늘 옵션 만기일인데
방향성이 삼전 롱이 확실하고
물린분들은 그냥
현생 살면서 기다립시다."
성스러운투자,2025-01-09T09:57:20+09:00,외국인이 엄청 사는데도 개미가 팔아서 오르지 못하네..
MoonRings,2025-01-09T09:57:02+09:00,"미국에서 구경 왔습니다.
여기도 황 사장 원망이 그득하네요
파이팅입니다.
저희도 황 사장 때문에 밤 샜습니다."
시크릿첨,2025-01-09T09:56:52+09:00,본인이 보인자본사는거면 위기라는거다
라부뷰,2025-01-09T09:53:59+09:00,젠슨황 사람인가ㅋㅋㅋ 힘내세요 주주분들 뭐 이런애가 ceo를
LeeEunWha,2025-01-09T09:53:47+09:00,오늘은 힘이없네 에이
낙수공암,2025-01-09T09:53:10+09:00,"Hbm도기본적으로 메모리가 좋아야 al가 있지 삼성없이 세계
Al는 일보 전진없다,삼성은 조급 합 느끼지 마시고 하시는데로 하세요 2년뒤에 삼성시대 옵니다."
Hohoho호호,2025-01-09T09:53:08+09:00,오.
짤랑이123,2025-01-09T09:52:47+09:00,호들갑 레전드 널뛰기 죙일 뛰면서 주식 어케하냐 첨엔 웃겨서 구경했는데 맨날 같은 레파토리라 이제 좀 신기함
개브럴티,2025-01-09T09:52:45+09:00,외인 물량 800만 다털고 들어가도 늦지않아
미용잉,2025-01-09T09:52:42+09:00,좀 쳐올라라 아오 진짜
주린이예욧,2025-01-09T09:52:30+09:00,톼 개인은 얼마나 팔아재끼는거야.. 버거형들이 사는데도 못올라가네
PrettyCathy,2025-01-09T09:51:22+09:00,삼전은 지킵시다. 팔지말고 가지고 있으면 꼭 10만전자 가는 날이 오리라 믿습니다.
울라리짱,2025-01-09T09:51:02+09:00,살아야 해서..ㅠ
알마니염,2025-01-09T09:50:07+09:00,삼전 홧팅
주린이77777777,2025-01-09T09:48:59+09:00,"기업에 비해 주가가 너무 낮은거 아닌지

그냥 묵혀둡니다 ㅅㄱ요"
낙수공암,2025-01-09T09:48:26+09:00,"치아라 정난치나!삼성이 최고
기업이다,엔비디아 장난치지마라
삼성 한데 흡수된다."
오지마깡,2025-01-09T09:47:56+09:00,개미좀 털었으면 달릴때가 다가오는구나~
양치기앙마,2025-01-09T09:46:07+09:00,감사
부자왕이야,2025-01-09T09:46:04+09:00,장투생각하면 최저가인거 맞잖아? 왜들그러나
또또맘haha,2025-01-09T09:46:02+09:00,"빨간불 좋은말할때 나와라
아줌마 화났다 ㅎㅎㅎ"
다정한관찰자,2025-01-09T09:46:00+09:00,왜 또 내려온데유
빅파써블,2025-01-09T09:45:01+09:00,삼전이 나스닥을 버틸것인가
승리의V,2025-01-09T09:44:54+09:00,"ㅋㅋㅋ솔직히 살만한데 사기싫다 ㅋㅋ
내가 한국인만 아니였어도 쳐다도안볼텐데 ㅋㅋㅋㅋ.."
여기가맛집이라고들었습니다만,2025-01-09T09:44:54+09:00,내다짐 외국인이사몀 사고 외국인이팔면 나도 판다
뿌니걸,2025-01-09T09:44:50+09:00,왜~~~
부자왕이야,2025-01-09T09:44:37+09:00,으 개빡쳐
퓨뱌요,2025-01-09T09:44:16+09:00,? 엔비납품한다며
주리니입문,2025-01-09T09:43:37+09:00,"?ㅠㅠ
아 오늘도 고점에서 샀따"
세아유라아빠,2025-01-09T09:43:35+09:00,정찰중
서현진,2025-01-09T09:42:44+09:00,하이 닉스 인버스 레알인듯 ㅠㅠ
포도님이라규,2025-01-09T09:40:30+09:00,이러지마ㅠ 들어오자마자 ㅠ
힝구아비,2025-01-09T09:40:03+09:00,빨리 탈출해야지 돔황처
맞춤법틀리는멍청이보면짖는개,2025-01-09T09:39:48+09:00,"멍청이는 54200원에 손절친 삼성전자에 또 속으러 왔습니다
오늘부터 또 모으겠습니다"
보름낮달,2025-01-09T09:38:49+09:00,사팔 반복하다 2000원이나 올랐다.. 그냥 물리더라도 묻어놓고 없는돈이라 생각할게..
리트리버1010,2025-01-09T09:37:28+09:00,외인들이 사는데도 하도 물린 사람 많아서 개인이 겁나 팔아제끼네ㅋㅋㅋㅋㅋㅋㅋㅋ
투자대회참가자26686,2025-01-09T09:37:03+09:00,오늘 폭락장 되겠군
붱붱이,2025-01-09T09:36:53+09:00,가자
까근까근,2025-01-09T09:35:33+09:00,삼성전자 진입
이응교,2025-01-09T09:35:14+09:00,"삼성이 드뎌 해냈구먼
삼성이 엔비디어 초도공급"
성스러운투자,2025-01-09T09:34:35+09:00,앞으로 한해동안의 삼전의 미래를 예측해봐요
법인계좌로투자,2025-01-09T09:34:24+09:00,"hbm 수출 할거라는 믿음!
탈출 얼음!
나는 이 상승을 경험해 봤어요!
9만원!"
포천김갱,2025-01-09T09:33:56+09:00,https://n.news.naver.com/article/057/0001865550
Society,2025-01-09T09:32:46+09:00,지금이라도 진입해서 여기 묵혀둘까요? 아니면 그냥 미국 SPY ETF 들어가서 묵혀둘까요?
특징주알리미,2025-01-09T09:32:35+09:00,"삼성전자 소식을 가져왔어요.

8일 오전 9시 19분 현재 삼성전자는 전 거래일 대비 1.08% 오른 5만6000원에 거래되고 있다.

👇 토스증권에서 기사 보기


앞으로 의 주가는?"
와카야마라멘,2025-01-09T09:31:52+09:00,외인들은 사는데 누가 범인이야. 한국인인데 삼전 파는 매국노 없제?????
이응교,2025-01-09T09:31:51+09:00,"젠슨황 ""RTX50GDDR7,삼성이 초도공급"""
하하하하33,2025-01-09T09:30:45+09:00,오늘도 외인이 애국?
약속의장소,2025-01-09T09:30:37+09:00,돌고돌아 다시 또 돌아왔어
솔소소,2025-01-09T09:30:17+09:00,아직멀었어ㅠ
포비김,2025-01-09T09:29:41+09:00,이제 겨우 PBR에 도달했네요.. 힘내세요
경제신,2025-01-09T09:29:31+09:00,냠냠
천문가,2025-01-09T09:29:30+09:00,치킨 먹자 오늘
불꽃남자자,2025-01-09T09:27:47+09:00,치킨 시켜먹을게요
주식쩐,2025-01-09T09:27:41+09:00,얼른 7만 가즈아~
야옹이가주식함,2025-01-09T09:27:37+09:00,삼전이 10만까지 날아오르길
핑크쏘세지,2025-01-09T09:27:31+09:00,"제이피모건
Clsa
메릴린치
매수 굿"
캔들마법사,2025-01-09T09:26:54+09:00,"그래도
반등을 시작하니 한결 마음이 놓입니다.
삼성전자 응원합시다 ~~ 아자아자~~"
구관이,2025-01-09T09:26:43+09:00,가는건가요?
개브럴티,2025-01-09T09:26:40+09:00,애들아 물리면 알지 ㅋㅋ황사장이 hbm도 아니고 gpu란다..ㅋㅋ
뿌니걸,2025-01-09T09:26:15+09:00,오늘 59까지?
차베베,2025-01-09T09:25:23+09:00,근데 5만원일때 안사던 사람들이 지금 산다고??
미장으로외화벌이,2025-01-09T09:24:47+09:00,국장분위기가 좋아지네? 전에는 미장 폭등할때 찔끔오르고 미장 떨어지면 폭락하더니 이제 미장인버스된건가?
김치전감자전삼전,2025-01-09T09:24:37+09:00,개메 털고 상승
HDD,2025-01-09T09:23:23+09:00,젠슨황 CES이후로 뭔가 분위기가 달라졌는데?
리차드DG,2025-01-09T09:23:21+09:00,"개인들 물려있는 물량이 3억주 입니다...
3억주
아직 한참을 더 털어야 갈 수 있어요"
도파민으로경제적자유,2025-01-09T09:22:41+09:00,미장하면서 국장욕 많이 했는데.. 주주분들 화이팅입니다. 황사장 립서비스 굳
서현진,2025-01-09T09:21:36+09:00,가자 가자
주린이정현,2025-01-09T09:21:21+09:00,가주어
0do2,2025-01-09T09:20:30+09:00,개인들 호재에 파는겨?
한반도의맥,2025-01-09T09:20:19+09:00,"한번 500만주씩 들어오면

10일이상은 꾸준히 들어옵니다."
PEEDA,2025-01-09T09:20:09+09:00,아직 평단이 하늘위에 있으니 오르든 말든... ㅠㅜ
밤양걩,2025-01-09T09:20:05+09:00,물탄금액 회수
사이봇,2025-01-09T09:19:38+09:00,손절했다가 다시 들어오게되는..
KDJJ,2025-01-09T09:19:25+09:00,국장은 호재가 먹히질않네요.미장같았으면 폭등감인데.ㅠㅠ
하힝히,2025-01-09T09:18:30+09:00,6만오면 탈출할려고했는데 6만5천까진봐야하나?
차돌박이숙주볶음이,2025-01-09T09:18:19+09:00,하루라도 먼저 빠지는 사람이 승자
성스러운투자,2025-01-09T09:17:13+09:00,오늘 호재다
SeP9,2025-01-09T09:16:58+09:00,기아 날라가니 여기도 맛만보자
해병대사나이,2025-01-09T09:16:36+09:00,젠슨황이 샤라웃해줬으니 5%는 올라줘야지 !!
와카야마라멘,2025-01-09T09:16:20+09:00,하이닉스는 날아가는데 넌 왜…?
지구마불세계여행,2025-01-09T09:16:08+09:00,엔비디아에 메모리 납품 확정!!!
내가인간지표,2025-01-09T09:15:02+09:00,외인들 이렇게 들어오는데 개미들 물량 다 잡아먹고 올라가즈아~~
곰돌이우,2025-01-09T09:14:20+09:00,"'실언' 정정한 젠슨 황 ""RTX 50에 삼성 메모리 쓴다"" 마이크론x 삼성o
https://tossinvest.com/_ul/D4A9sD"
Ch헌,2025-01-09T09:13:58+09:00,7은 언제오나~~~
곰돌이우,2025-01-09T09:13:02+09:00,"젠슨 황 엔비디아 CEO ""차세대 PC용 GPU, 삼성전자 메모리도 탑재""
https://tossinvest.com/_ul/D4A9iD"
덕배님,2025-01-09T09:12:17+09:00,기사떳음
힝구아비,2025-01-09T09:12:14+09:00,떨어진다 ㅋ
하힝히,2025-01-09T09:11:37+09:00,외인 연속매수는 오랜만에봐서 신기하네
주린22221,2025-01-09T09:10:53+09:00,개미들 다 털고 가자!
일용직할양식,2025-01-09T09:10:16+09:00,6만부터 횡보
짤랑이123,2025-01-09T09:09:54+09:00,어제 장초에도 이러더니 개미 많이 빠졌음 좋겠다 시끄럽기만함
가즈아떡상코인,2025-01-09T09:09:37+09:00,줄때먹고 삼성은 횡보하다가 올라갈듯
밧줄가즈아,2025-01-09T09:09:22+09:00,왜 떨어지냐 얘는
야고신,2025-01-09T09:08:52+09:00,"삼전
분골쇄신 하라는 의미로 ᆢ
20주구매"
Analytics,2025-01-09T09:08:33+09:00,"근거는 환율 변동 이젠 좀 밴드형성 되었음
외인과 기관의 미장 리스크 관리 차,
삼전 같은 국장 저가 매수로 전략.. 끝.

P.S.
문제는 탈출 개미 구만. 어찌 말려. 아무도 못 말림.."
수민93,2025-01-09T09:08:26+09:00,이러니 개미들은 수익을 못내는 거야
김치전감자전삼전,2025-01-09T09:08:24+09:00,"추매 300주
평단 5.4"
주넌유령,2025-01-09T09:07:35+09:00,8주 더 구매
추리알,2025-01-09T09:07:04+09:00,언급이 된다면 오른다고 들었습니다
이긔야,2025-01-09T09:06:29+09:00,시총 1위의 위엄 콱씨
리차드DG,2025-01-09T09:06:18+09:00,5.7 매물대 터는 중
ORuby,2025-01-09T09:05:59+09:00,국장은 악재가 있으면 오르나요!!
바트매수법,2025-01-09T09:05:52+09:00,이게 시총1위?
김치전감자전삼전,2025-01-09T09:05:47+09:00,"개인 매도
외인 매수중
개미털기 굿"
흔해빠진주린이,2025-01-09T09:05:47+09:00,님과 나의 생각대로라면 이미 쮹! 하고 올라갔죠 그죠? 하지만 현실은.. ㅎㅎ 역시 우린 주싁하면 안되나 봅니다
VOOVOO젤라,2025-01-09T09:05:27+09:00,내렸다가 팡 올리려는 세력의 호가창 손질입니다
게으른투자자i,2025-01-09T09:05:12+09:00,기이한 종목
냥형사,2025-01-09T09:05:09+09:00,ㅋㅋㅋ이해가안가는데
풍류나그네,2025-01-09T09:05:08+09:00,이미 호재반영ㅋㅋㅋ
대한민지,2025-01-09T09:04:53+09:00,미주휴무니 오르겠지? ㅎㅎ
Han1987,2025-01-09T09:04:51+09:00,삼성공급인데 왜떨어지는겨
부자왕이야,2025-01-09T09:04:28+09:00,왜 떨구짘ㅋㅋ
수익좀내자1,2025-01-09T09:04:25+09:00,역시 ㅋㅋ 내 생각대로는 아무것도 안됨ㅋㅋㅋㅋㅋ
도달지,2025-01-09T09:03:56+09:00,ㅋㅋ
칭빙방붕,2025-01-09T09:03:24+09:00,어제요
리차드DG,2025-01-09T09:03:12+09:00,오늘은 닉스 날이네
불로소득좋아,2025-01-09T09:02:56+09:00,미지근하네
구미장수말발,2025-01-09T09:02:46+09:00,나가실려고 하는 님들 우리 다같이 진득하게 붙어 있다 크게 한 방에 나갑시다! 제발!!!!
꼬챠미남,2025-01-09T09:02:40+09:00,달려
손대면최고점,2025-01-09T09:02:30+09:00,https://n.news.naver.com/mnews/article/011/0004437531?sid=105
의왕불량주부,2025-01-09T09:02:29+09:00,외인 들어오네요~
가져갈게불만없지,2025-01-09T09:02:24+09:00,저항받고 떨어지면 한 3천원정도 빠질듯 하지만 최근에 58000저항받고 떨어진거보면 저점다지기 하면서 올라가는 중 인 것 같은데 ㅇㅈ하시나요?
내려가지만,2025-01-09T09:02:12+09:00,엔비 뭍었는데 가야지
껄무새등판,2025-01-09T09:02:07+09:00,힘내ㅠ
알라요,2025-01-09T09:01:49+09:00,영..시원찮네
지구마불세계여행,2025-01-09T09:01:45+09:00,어제랑은 좀 다르네요..
밥줘미,2025-01-09T09:01:19+09:00,오늘 정차역은 58000?
머니크,2025-01-09T09:01:07+09:00,고고~~
DevChimsil,2025-01-09T09:00:57+09:00,제발 6만전자 가자
얌얌쓰33,2025-01-09T09:00:28+09:00,문열어!!
쭈린이0123,2025-01-09T08:59:30+09:00,호가창 ㄹㅈㄷ
주린난장이,2025-01-09T08:59:25+09:00,시원하게 앞자리한번 바뀌자
VOOVOO젤라,2025-01-09T08:59:00+09:00,올렸다가 눌림목 나올때 들어갈게용 삼성 주주분들 화이팅!
리드엘,2025-01-09T08:58:18+09:00,6만원 찍먹하나요?
오늘도기쁜하루,2025-01-09T08:58:03+09:00,"황씨 아저씨 말 한마디에 흔들리는 내 마음이 참 불편했어요...
예전에 확 치솟아서 좋아했던 마음도 생각나고..
어제도 또 좋은말을 구걸하는 듯한 제 마음이 싫더군여...
삼성은 자신의 갈길을 묵묵히 걸을 테니까!!!
감사한마음이 생겼어요
여러분 감사합니다"
하힝히,2025-01-09T08:56:20+09:00,초반에 좀 떨어지다가 올라갈거같은데 이놈은 첨부터 올리면 나중에 떨어지더라
먹어보자투자맨,2025-01-09T08:55:17+09:00,삼성도 젠슨황이 깠는데 그떡없네 오히려오름
나현우,2025-01-09T08:54:06+09:00,인간 지표 떡상직전 팔아 오열중
오늘도기쁜하루,2025-01-09T08:54:05+09:00,"오늘 상 칠꺼같은....
이 느낌은 뭘까??"
젠틀젠틀맨,2025-01-09T08:53:36+09:00,오늘폭락할듯...어제 미장이 박살났음
먹어보자투자맨,2025-01-09T08:53:23+09:00,미장에서 1500날렸다 하루밤에 삼성은 안전하니 수익은 적어도 여기에 투자할껄
흔해빠진주린이,2025-01-09T08:52:49+09:00,오늘 무지막지한 사람들이 탈출할 것으로 예상됩니다 마치 아프간 공항 탈출 군중 때거지 마냥
현준이아빠,2025-01-09T08:52:45+09:00,기대중
야잇흣,2025-01-09T08:52:11+09:00,본전으로 가고있뇽
꼬맹상,2025-01-09T08:52:03+09:00,대호재같은데?
똑상가즈아,2025-01-09T08:51:54+09:00,ㅇ ㅏ 소리소문없이 올라가야지 호재다! 뉴스뜨면 올라가는척하면서 내려온다고 ..
폭풍핸들링,2025-01-09T08:50:58+09:00,두근두근두근
가보자잉맨,2025-01-09T08:48:56+09:00,떨어져라
YieldMaxETFs,2025-01-09T08:46:38+09:00,황사장 삼성 언급 굳굳
대나미,2025-01-09T08:45:24+09:00,주식은 코에걸면코걸이 귀에걸면귀걸이 ㅋㅋㅋ
콜라보펩시,2025-01-09T08:44:24+09:00,탈출각 나오겠군
아초코야,2025-01-09T08:43:02+09:00,오늘올라간다
한량인생,2025-01-09T08:42:26+09:00,"모건스탠리는 55000원 이하에선 삼전 매도의견내면서 수천억 매도 때리더니
지금은 비중확대 매수포지션으로 가네...
알다가도 모르겠군"
우째라고,2025-01-09T08:42:08+09:00,"젠슨 황 엔비디아 최고경영자(CEO)가 CES 2025에서 촉발한 그래픽메모리(GDDR)7 논란에 “삼성전자(005930)가 초도 공급을 맡는다”는 공식 입장을 내놨다. 발표 현장에서 마이크론이 공급한다 언급한 것이 ‘실언’이었던 셈이다.

8일(현지 시간) 황 CEO는 공식 성명을 통해 “지포스 RTX 50 시리즈는 여러 파트너가 제조한 GDDR7 메모리를 탑재했으며, 그 시작은 삼성”이라고 밝혔다. 앞서 황 CEO는 CES 2025 기조연설에서 신형 그래픽카드(GPU) RTX 50시리즈를 공개하며 “마이크론 GDDR을 사용했다”고 언급한 바 있다. 이어 다음날 진행된 기자간담회에서는 특별히 마이크론을 택한 이유가 있느냐는 서울경제의 질문에 “삼성전자와 SK하이닉스는 그래픽메모리를 안 하는 걸로 안다”고 답했다 급히 정정하기도 했다."
주린린린이이,2025-01-09T08:40:38+09:00,여튼 양키들 정보 하나는 ㅇㅈ이다 진짜
주린린린이이,2025-01-09T08:40:19+09:00,오늘 쏘겠는데 그래서 어제 양키들 들어왔나
땡깡쟁e,2025-01-09T08:37:35+09:00,https://naver.me/5mI5zZtJ
초보쥬린봉,2025-01-09T08:34:42+09:00,단타로
흔해빠진주린이,2025-01-09T08:31:27+09:00,상 쳐도 손실이네 에효
리드엘,2025-01-09T08:21:55+09:00,"1월8일 기준
총 3590만주
평단 54,718원
매입 총 금액 약 1조 9643억원"
주식의고자,2025-01-09T08:17:08+09:00,마이크론 거 쓴다고 했다가 삼성 쓴다고 번복했다는데
인생역적힝,2025-01-09T08:13:21+09:00,오늘 6층 갈수있으까.. 삼성아 힘내..♡
밀크찡,2025-01-09T08:08:50+09:00,오늘가나요?
반드시제1원칙을,2025-01-09T08:06:16+09:00,마 삼성 올라갈 준비 다 됐나
MarketNews,2025-01-09T07:49:04+09:00,"젠슨 황 엔비디아 CEO가 CES 2025에서 RTX 50 시리즈에 탑재될 GDDR7 메모리 초도 공급 업체로 삼성전자를 공식 발표했습니다. 이는 CES 기조연설에서 마이크론을 언급한 발언을 바로잡은 것입니다.

황 CEO는 성명을 통해 RTX 50 시리즈의 GDDR7 메모리가 다양한 파트너를 통해 제조되지만, 그 시작은 삼성전자라고 밝혔습니다. 이는 CES 발표 후 마이크론이 주요 공급처라고 언급한 것을 정정한 발언입니다. 이후 기자간담회에서는 ""삼성전자와 SK하이닉스는 그래픽 메모리를 제조하지 않는 것으로 알았다""고 발언하며 이를 즉각 수정하기도 했습니다.

이 사건은 CES 2025에서 그래픽 메모리 공급망에 대한 관심을 높이며, 삼성전자가 중요한 파트너로 부각되고 있음을 보여줍니다."
호살2,2025-01-09T07:47:11+09:00,"매수 1억 대기중.

시드가 커서 삼전 매수.
횡보 2주만 보고 들어가요.
적금이라 6개월 보유 예정"
동아둉아,2025-01-09T07:28:48+09:00,"보통 외인이 단타칠때는 80만정도로 침
400만주샀다는건 작정랬다는거임"
개미핥아요,2025-01-09T07:19:46+09:00,양자는 5년이면 충분하다. 내가 그걸 하겠다 하면 모르지
전삼2500출,2025-01-09T05:49:07+09:00,#삼성전자 시작부터 오를까요? 내릴까요?ㅠㅠ
넣다뺐다장인,2025-01-09T05:29:12+09:00,직장동료가 미장은 모르겠고 국장은 빼라고했는데 반대로 미장 익절하고 국장 놔뒀는데 든든스~
KDJJ,2025-01-09T04:17:51+09:00,한달넘게 애태우더니 조금씩오르네.믿었던 미장이 물가상승땜에 손실이 있으니까 삼전이 성투해주길바라겠다.천천히가자~^^
투자대회참가자31762,2025-01-09T02:59:10+09:00,난 엑슨모빌만 가지고있는데 삼성이 좋은건 아니지만 양자는 애초에..ㅋㅋ 뭔 말도안되는 소리같긴했음
인텔리한호구,2025-01-09T02:26:03+09:00,덕분에 미장 다 떨어진다 ㅋㅋㅋ
그걸알면일안하지,2025-01-09T01:41:36+09:00,얘는 아무리 올라도 미국주식하고 비교도 안되는 변동률이네
한국망한다에투자,2025-01-09T01:38:34+09:00,"삼성 스배러마
s24 gps 언제 고쳐줄래?"
텍스트스캔,2025-01-09T00:56:40+09:00,실시간 양자에서 개박살나시는 중 ㄷㄷ
일단매,2025-01-09T00:11:24+09:00,그냥 애국심이다
곰돌이우,2025-01-09T00:08:51+09:00,양자 미장 폭락하고 있고 중요 테마하나 나락가서 삼전에 좀 올꺼 같네요 ㅋㅋ
주식귀욤둥이,2025-01-08T23:54:21+09:00,나스닥 전체 하락장에다가 요새 제일 핫했던 양자가 핵폭탄을 맞아 먹거리가 사라지니 국내주식인 삼전입장에서는 호재인것같네요
개브럴티,2025-01-08T23:53:30+09:00,지옥불 맛볼라면 지금 들어가 아닐거면 넷플릭스 실컷보다가 도람프취임하고 어떻게 나오나 확인하고 들어가도 충분해
나는야명탐정,2025-01-08T23:39:55+09:00,와 양자 살벌하네…
PEEDA,2025-01-08T23:15:07+09:00,"오늘 하루 종일 생각해봤는데 말이야.
오늘 삼성전자가 왜 오른지 모르겠어..."
호이1004,2025-01-08T23:02:36+09:00,"삼성전자 올해 십만전자 찍는다 신고가 달성한다
왜냐하면.... 내 촉이 기가막히게 미치게 확 꽂혔음"
동동파다,2025-01-08T22:52:42+09:00,사과는 너무 이기적이고 자기만 알아 지네꺼만 쓰게하려고 사과 아닌 다른건 너무 배타적이고 그래도 그나마 삼전은 달라. 삼전은 착해 어찌보면 두루두루 다 같이 잘되자 월드피스 하고. 난 그래서 좋아 밉지만 너란 삼전 :D 국장이든 미장이든 개장이든 게장이든. 장은 숙성 될 수록 맛있자나 그치? 👍
K소심개미,2025-01-08T22:36:20+09:00,"실적이 나쁜건가?
무지랭이 눈에는 괜찮아보이는데"
삐약뺙팍,2025-01-08T22:31:34+09:00,"나도 모르게 내 주식 살리려는 무의식한테 조종당했나 ㅋㅋㅋㅋㅋㅋ
근데 너무 만족 중ㅋㅋㅋㅋㅋ"
주목이,2025-01-08T22:10:38+09:00,"으이구 개미들 그렇게 맘고생 하고
3~7퍼 먹고 튀면 어떡해"
사과다,2025-01-08T22:00:25+09:00,줍줍
삼하현직,2025-01-08T21:27:30+09:00,"보편적 관세를 위한 근거로...

https://edition.cnn.com/2025/01/08/economy/trump-national-economic-emergency-tariffs/index.html"
팡두두,2025-01-08T21:03:06+09:00,힘좀내봐!!
슈랭슈랭,2025-01-08T20:59:00+09:00,뉴스보니까 영업이익 적자임에도 불구하고 오르는건 선반영됐어서 외인이 들어온거라고 그럼 바닥 다지기 끝났나바요.
추팝츄스,2025-01-08T20:56:01+09:00,"필립스도 asml 버리고 삼성도 HBM 부서 파괴 하고
필립스는 면도기나 팔고 삼성은 생활가전이나"
해비뇽,2025-01-08T20:50:49+09:00,화이팅!!!!
목표는비엠,2025-01-08T20:43:38+09:00,그냥 팔고 미장으로 넘어갈까요?
58261언제올래,2025-01-08T20:39:19+09:00,딱1000원만 더 오리자 부탁해요
짜호룽,2025-01-08T20:23:55+09:00,8만전자 가면 무조건 판다 ㅠㅠ
추팝츄스,2025-01-08T20:09:39+09:00,필립스 꼴 날꺼같다
팍쉰김취,2025-01-08T20:07:29+09:00,7층있어요
GROK,2025-01-08T19:56:34+09:00,"- 삼성 HBM 성공 확신: 젠슨 황 CEO는 삼성전자의 HBM이 현재 테스트 중이며, 성공할 것이라고 확신한다고 밝혔습니다. 그는 ""원래 엔비디아가 사용한 첫 HBM 메모리는 삼성이 만든 것이었다""며 삼성이 다시 성공할 것이라고 강조했습니다.

- 테스트 장기화에 대한 해명: 삼성 HBM 테스트가 10개월 이상 지속되는 것에 대해 ""한국은 서둘러서 하려고 한다. 그건 좋은 것이다""라며 ""오래 걸리는 것이 아니다""라고 설명했습니다. 또한 새로운 설계가 필요하며 삼성은 매우 빠르게 헌신적으로 일하고 있다고 덧붙였습니다.

- 최태원 SK 회장과의 만남: 젠슨 황 CEO는 SK 최태원 회장을 조만간 만날 것이라고 밝혔습니다. 구체적인 일정은 공개하지 않았습니다.

- HBM의 중요성: HBM은 여러 개의 D램을 수직으로 쌓아 데이터 처리 속도를 혁신적으로 향상시킨 고성능 제품으로, 엔비디아의 AI 가속기에 필수적인 부품입니다. 현재 SK하이닉스는 엔비디아에 HBM을 납품하고 있으며, 삼성전자는 테스트를 진행 중입니다."
상승해라요,2025-01-08T19:55:35+09:00,미주 하고 있지만 삼전 무조건 10만원이상 갔으면 우리나라 자랑
한장군2,2025-01-08T19:51:35+09:00,"외인 + 기관 이 총매수 하는중인가 요 ?
30%올라갈수있는 힘이 있나요?"
30대후반시작,2025-01-08T19:50:23+09:00,위에 있으니깐 밑에서 올락말락 해도 감흥이 없네 ㅋㅋㅋㅋㅋㅋㅋㅋ
빌바인,2025-01-08T19:44:33+09:00,주주는 아니지만 그래도 우리나라의 최고의 삼전이 올라가고 있는 모습을 보니깐 흐믓하다. 빨리 6만원이상으로 올라가주길.
삼스헝,2025-01-08T19:37:55+09:00,젠승황에게 쿠사리나 먹으니 오를 리가 있나
아산두부,2025-01-08T19:27:01+09:00,개인이 593만이나 토했네...오를애인대 뉴스 체크안하나 상쳐도 이상하지 않았는대 엔비디아에서 400조 거래 새벽3시에 체결돗는대
재밌네용두철,2025-01-08T19:10:49+09:00,ㅠ
하따의마술사,2025-01-08T19:09:14+09:00,"삼성전자
엔비디아 젠슨황 CEO가 삼성전자를 언급했습니다.
HBM메모리를 테스트중이고 곧 생산도 할듯합니다.
삼성전자 주가는 연말까지 12만원 예상합니다.
앞으로 메모리 부분에서 큰폭의 성장이 기대됩니다."
미누쨩,2025-01-08T18:58:42+09:00,다음주에 삼전 물 탈까?
Hi07,2025-01-08T18:55:10+09:00,도람푸가 많은 캐나다인들이 미국의 51번째 주가 되기를 원한다고 도발 했었는데 한국 국민들의 생각은
7년차레드벨벳팬,2025-01-08T18:51:24+09:00,치킨먹어야지 오늘
힘빼라고라,2025-01-08T18:50:25+09:00,힘들어요 버티기 ㅠㅠ
낭랑잉,2025-01-08T18:46:18+09:00,와우…….. ㅜㅜㅜㅜ 아직도 평단 멀었는데… 다시 떨어질거같은 느낌
개미심장2,2025-01-08T18:44:20+09:00,성투하세요
Gentle0,2025-01-08T18:36:38+09:00,양자주에서 빠진 금액 들어오는거죠?
Hi07,2025-01-08T18:33:33+09:00,미국이 금리를 올리면
떡상이잉,2025-01-08T18:28:24+09:00,사랑해
따라리라,2025-01-08T18:27:26+09:00,한끼밥값 나이뜨
파이팅하자공,2025-01-08T18:22:00+09:00,루닛 인수좀
한걸음두걸음씩,2025-01-08T18:21:08+09:00,"#그냥봅니다
그동안 갇혀있던 주주들의 탈출러쉬
이해가 됩니다
본전만 주면 뒤도 안본고 간다고 했던 그맘 주식 해본 사람은 이해되죠
저도 탈출 했습니다
오늘 밤은 발쭉펴고 잘려구요
내일은 좀더 올라서 많은 주주에게
해방감주길~~~~~"
내가젤잘,2025-01-08T18:20:12+09:00,6만가자~~간다
뭐야여기,2025-01-08T18:18:44+09:00,캬악 퉤
양팅팅,2025-01-08T18:18:02+09:00,"여러분들 건강 잘 챙기세요.
무엇보다 중요한 게 건강이더라구요!
마음도 몸도 건강히💪"
반등전자,2025-01-08T18:16:06+09:00,ㄱㅈㅇ
올려줘요슈퍼파월,2025-01-08T18:14:59+09:00,젠슨황 삼성 아니여도 된다는 듯한발언인데
투기꾼서씨,2025-01-08T18:14:45+09:00,얼능 6만으로 넘어가자
한강다이버,2025-01-08T18:10:03+09:00,5만 전자 절대 지켜
삼스헝,2025-01-08T18:08:51+09:00,안 속아
흑우왔는가,2025-01-08T18:08:37+09:00,오른다 알지?
더본백종원,2025-01-08T18:05:41+09:00,“내가 사면 삼성도 망해“
콩꿍하하,2025-01-08T18:05:08+09:00,일단 손해는 벗어났네...
