Code,Name,Volatility,TotalReturn,AvgReturn,Sector,Volume,Amount,Marcap,Risk
473460,KODEX 미국서학개미,2.84,5.79,0.5400028789814579,해외주식,1320032,26230,1700,3
458210,히어로즈 CD금리액티브(합성),0.01,0.25,0.013934770577924324,기타,2689,284,1687,1
261260,KODEX 미국달러선물인버스2X,0.93,-4.5,-0.3896388666004656,기타,402117,2040,1680,2
143850,TIGER 미국S&P500선물(H),1.04,-2.68,-0.13477534390338164,해외주식,20653,1325,1639,2
472170,TIGER 미국테크TOP10채권혼합,0.77,1.55,0.12675982783010176,기타,339381,4424,1633,1
483230,RISE 25-06 은행채(AA+이상)액티브,0.02,0.25,0.015263808849196807,채권,161,8,1629,1
481180,SOL 미국AI소프트웨어,1.76,-4.98,-0.10786787531958694,해외주식,456172,6114,1628,2
192090,TIGER 차이나CSI300,1.47,-3.34,-0.1725438966295456,해외주식,244970,2436,1600,2
464930,TIGER 글로벌혁신블루칩TOP10,1.17,0.49,0.14134066827462913,해외주식,19320,313,1587,2
499660,TIGER CD금리플러스액티브(합성),0.01,0.17,0.015897131234988603,기타,103592,103711,1572,1
461490,RISE 글로벌자산배분액티브,0.45,0.31,0.0545251579748465,기타,174922,2277,1571,1
190620,ACE 단기통안채,0.01,0.24,0.01384695069841081,채권,3587,360,1565,1
435420,TIGER 미국나스닥100TR채권혼합Fn,0.54,-0.19,0.03560463130180115,기타,181638,2363,1510,1
479730,TIGER 인도빌리언컨슈머,0.85,-0.37,-0.017404903150934164,해외주식,107957,1164,1508,1
434060,KODEX TDF2050액티브,0.71,-0.82,0.0138539487498806,기타,197547,2869,1503,1
461460,PLUS 국고채10년액티브,0.45,-1.97,-0.07554660045084687,채권,529,29,1493,1
461270,ACE 26-06 회사채(AA-이상)액티브,0.06,0.37,0.015322173768919336,채권,21394,233,1491,1
305080,TIGER 미국채10년선물,0.51,-0.55,0.056103481890286876,채권,184135,2344,1488,1
363570,KODEX 장기종합채권(AA-이상)액티브,0.49,-1.32,-0.06303498378594785,채권,1470,148,1482,1
448540,ACE 엔비디아채권혼합블룸버그,0.89,1.99,0.1009643733766108,기타,140695,3200,1481,2
448600,RISE 25-11 회사채(AA-이상)액티브,0.03,0.27,0.014828038503349338,채권,7008,368,1476,1
244580,KODEX 바이오,2.95,17.01,0.5528552062306556,국내 업종/테마,378796,3097,1473,3
451530,TIGER 국고채30년스트립액티브,1.36,-5.23,-0.20427154202441208,채권,49756,2989,1470,2
480310,TIGER 글로벌온디바이스AI,1.5,2.6,0.24446079901696255,해외주식,102624,1133,1442,2
422420,RISE 2차전지액티브,2.56,0.6,-0.1607274803392893,국내 업종/테마,127327,846,1432,3
182480,TIGER 미국MSCI리츠(합성 H),1.35,-4.31,-0.242129977666712,기타,53744,686,1417,2
364960,TIGER BBIG,1.87,1.61,-0.09784177616191843,국내 업종/테마,40118,239,1410,3
483320,ACE 엔비디아밸류체인액티브,2.27,6.15,0.39897732462034763,해외주식,1338827,13980,1409,3
414780,TIGER 차이나과창판STAR50(합성),2.41,-4.97,-0.3124078647978201,해외주식,82724,634,1397,3
219480,KODEX 미국S&P500선물(H),1.07,-2.74,-0.13671624500012608,해외주식,6861,183,1393,2
481190,SOL 미국테크TOP10,1.55,4.51,0.38392482738716155,해외주식,179441,2492,1390,2
458260,TIGER 미국투자등급회사채액티브(H),0.38,-3.57,-0.19150653218750324,채권,32730,1577,1377,1
476800,KODEX 한국부동산리츠인프라,1.15,4.96,0.1274443344082098,기타,1032322,4775,1333,2
441640,KODEX 미국배당커버드콜액티브,0.81,-1.29,-0.012955870093997148,해외주식,355456,4308,1327,1
309230,ACE 미국WideMoat동일가중,0.92,-2.3,-0.04162075410466229,해외주식,38775,1080,1327,2
433330,SOL 미국S&P500,1.18,-0.74,0.08203064544156585,해외주식,68167,1238,1308,2
364970,TIGER 바이오TOP10,2.4,8.78,0.2720592632351378,국내 업종/테마,431224,3124,1279,3
480030,ACE 미국500데일리타겟커버드콜(합성),0.96,-0.52,0.061162864995409655,해외주식,580138,6508,1266,2
494300,KODEX 미국나스닥100데일리커버드콜OTM,1.31,-0.4,0.0989143696221384,해외주식,975915,10417,1260,2
492500,1Q 현대차그룹채권(A+이상)&국고통안,0.08,0.27,0.011046661725040553,기타,358,18,1248,1
326240,RISE IT플러스,1.9,6.45,0.23674548011762642,국내 업종/테마,6305,93,1227,3
462900,KoAct 바이오헬스케어액티브,3.1,13.11,0.394553169733941,국내 업종/테마,693149,9298,1225,3
455860,SOL 2차전지소부장Fn,3.04,-1.35,-0.3034981279215335,국내 업종/테마,238421,959,1215,3
461500,HANARO 종합채권(AA-이상)액티브,0.33,-0.62,-0.025248326206879963,채권,41522,4696,1215,1
490090,TIGER 미국AI빅테크10,1.38,4.45,0.3395653660465718,해외주식,231024,2846,1213,2
491230,PLUS 국공채머니마켓액티브,0.01,0.31,0.017581537898591564,채권,1688,85,1201,1
493810,TIGER 미국AI빅테크10타겟데일리커버드콜,1.38,4.43,0.3482803952856852,해외주식,470700,5444,1197,2
483290,KODEX 미국배당다우존스타겟커버드콜,0.64,0.24,0.04855341099799978,해외주식,230210,2479,1184,1
