Code,Name,Volatility,TotalReturn,Sector,Volume,Amount,Marcap,Risk
005930,삼성전자,2.32,-2.38,반도체와반도체장비,21767953,1231429203242,342665518370000,2
000660,SK하이닉스,3.1,4.45,반도체와반도체장비,3733567,726615924800,142324462357500,2
373220,LG에너지솔루션,3.01,-12.41,전기제품,325110,120749039500,87633000000000,2
207940,삼성바이오로직스,2.04,1.41,제약,91448,91862334000,71743392000000,2
005380,현대차,2.06,-12.8,자동차,523748,111552520000,44919772969500,2
000270,기아,2.14,0.3,자동차,853261,85682404600,40125168568800,2
068270,셀트리온,2.14,-0.36,제약,361322,67011762700,40094408923800,2
005935,삼성전자우,2.22,-2.9,반도체와반도체장비,1109747,51576711950,38634530565000,2
105560,KB금융,2.69,-4.67,은행,558988,47831546200,33764738693400,2
035420,NAVER,2.1,20.07,양방향미디어와서비스,437141,90747556000,32717242152000,2
329180,HD현대중공업,3.81,60.67,조선,404495,120344649000,26853867590000,3
055550,신한지주,2.39,-13.03,은행,656328,32317997650,24870199055000,2
012330,현대모비스,2.05,13.32,자동차부품,140384,35205999000,23434763688000,2
005490,POSCO홀딩스,2.76,-29.07,철강,387609,102018865000,21730211151000,2
028260,삼성물산,2.2,-8.47,복합기업,236122,28444424200,21529655357700,2
138040,메리츠금융지주,1.66,4.6,증권,139516,14684118500,19987467947200,2
032830,삼성생명,2.56,-2.16,생명보험,267261,25187058100,19080000000000,2
010130,고려아연,9.31,14.45,비철금속,42676,38543135000,18674361266000,3
096770,SK이노베이션,3.26,0.41,석유와가스,348905,42897696200,18622587880800,2
051910,LG화학,2.76,-27.91,화학,237331,61004304000,18177528322500,2
012450,한화에어로스페이스,3.82,9.27,우주항공과국방,230101,87588523000,17366422341000,3
006400,삼성SDI,3.17,-32.21,전기제품,454461,112814252000,17259897030000,2
000810,삼성화재,2.79,7.93,손해보험,40152,14392187500,17078628738500,2
035720,카카오,2.93,0.94,양방향미디어와서비스,1877413,71651746000,16788877755850,2
011200,HMM,2.25,13.34,해운사,1454605,27782149670,16810233583680,2
086790,하나금융지주,2.19,-5.86,은행,388681,22461304200,16631246952000,2
009540,HD한국조선해양,2.79,23.36,조선,248412,57837526500,16596295702000,2
259960,크래프톤,2.65,0.46,게임엔터테인먼트,142243,46459855500,15617575724000,2
267260,HD현대일렉트릭,3.29,26.47,전기장비,142687,57140621000,14310712595000,3
066570,LG전자,1.73,-10.6,전자제품,383865,33373686100,14220995036600,2
042660,한화오션,4.9,40.06,조선,9750561,420479170750,13512830675400,3
033780,KT&G,3.07,-8.9,담배,101842,10824021300,13300960931700,2
015760,한국전력,2.11,2.77,전기유틸리티,899257,18285664250,13096067170800,2
402340,SK스퀘어,3.7,12.13,복합기업,271082,25186372200,12747346216000,3
034020,두산에너빌리티,3.18,3.41,기계,3348183,62278982390,12048955156260,2
017670,SK텔레콤,1.3,1.27,무선통신서비스,323099,18098826800,12049721973300,1
003670,포스코퓨처엠,3.68,-39.53,화학,370867,56427085900,11898350592000,3
003550,LG,1.64,-2.98,복합기업,74106,5536030100,11781844375700,2
024110,기업은행,1.29,3.58,은행,781430,11305578270,11538752324430,1
316140,우리금융지주,1.72,-3.75,은행,1210354,18613828260,11428483200390,2
030200,KT,2.17,9.06,다각화된통신서비스,191399,8410021200,11076353055750,2
042700,한미반도체,4.28,3.25,반도체와반도체장비,2622865,282733568700,10936734118800,3
000100,유한양행,3.32,-15.94,제약,6332009,853549057500,10651763699200,3
010140,삼성중공업,2.7,17.68,조선,5827311,69348175010,10533600000000,2
