Code,Name,Volatility,TotalReturn,Sector,Volume,Amount,Marcap,Risk
095570,AJ네트웍스,1.83,-7.71,도로와철도운송,285,1217550,192776753340,2
006840,AK홀딩스,3.1,-8.63,화학,26,262590,133800366100,3
027410,BGF,1.41,1.46,화학,405,1412015,334051600590,1
282330,BGF리테일,1.61,4.49,백화점과일반상점,154,16046800,1800983005200,1
138930,BNK금융지주,1.62,-3.6,은행,6704,69644440,3338950695340,2
001460,BYC,1.32,5.84,"섬유,의류,신발,호화품",11,328900,186759885000,1
001465,BYC우,0.53,0.31,"섬유,의류,신발,호화품",0,0,27978511500,1
001040,CJ,3.05,5.25,복합기업,287,27810600,2833086505800,2
079160,CJ CGV,1.18,4.64,방송과엔터테인먼트,499,2683400,889164997380,1
00104K,CJ4우(전환),2.15,2.24,복합기업,24,1857600,327132028800,2
000120,CJ대한통운,2.18,4.38,항공화물운송과물류,325,27712100,1959580349600,2
011150,CJ씨푸드,3.9,7.22,식품,5749,17241670,107792319000,3
011155,CJ씨푸드1우,13.71,-0.93,식품,545,10431550,3830000000,3
001045,CJ우,1.02,3.96,복합기업,12,685200,129058733300,1
097950,CJ제일제당,2.06,-5.66,식품,607,149950500,3725911035000,2
097955,CJ제일제당 우,0.93,-1.7,식품,11,1387100,167389301300,1
000480,CR홀딩스,1.22,-1.56,비철금속,80,453360,265400173400,1
000590,CS홀딩스,1.64,0.74,철강,0,0,79082017000,2
012030,DB,3.75,-5.55,IT서비스,490,635389,260721417168,3
016610,DB금융투자,1.45,0.96,증권,19,99210,222843542250,1
005830,DB손해보험,2.27,-3.83,손해보험,1124,112641400,7094160000000,2
000990,DB하이텍,3.07,9.46,반도체와반도체장비,572,19220850,1496232415600,2
139130,DGB금융지주,1.71,-3.7,은행,3554,29337150,1402218955570,2
001530,DI동일,2.55,20.84,"섬유,의류,신발,호화품",24,1171200,1045946113600,2
000210,DL,2.75,-2.57,화학,247,7941050,680018435800,2
000215,DL우,1.78,-0.73,화학,8,162740,33503105050,2
375500,DL이앤씨,2.36,1.09,건설,816,26366150,1259477428650,2
37550L,DL이앤씨2우(전환),1.27,0.47,건설,0,0,44773361200,1
37550K,DL이앤씨우,1.63,-2.34,건설,13,205790,33462799550,2
007340,DN오토모티브,1.96,8.04,자동차부품,66,1252120,1120479459050,2
004840,DRB동일,2.38,6.62,자동차부품,82,351230,85300400000,2
155660,DSR,4.95,1.77,비철금속,18,72270,64240000000,3
069730,DSR제강,4.15,10.34,철강,169,637975,54360000000,3
017860,DS단석,6.61,-24.76,화학,27873,955768000,603138471600,3
017940,E1,1.38,-1.58,가스유틸리티,25,1722000,475398000000,1
365550,ESR켄달스퀘어리츠,2.49,-2.4,부동산,86,383600,950376940000,2
