닉네임,날짜,내용
트럼핑,2025-01-09T17:56:24+09:00,말실수가뭐야 ㅋㅋㅋㅋㅋ
엥사팔,2025-01-09T18:11:11+09:00,"말실수 정정한 젠슨황 ""RTX50에 삼성전자가 초도 공급""
https://tossinvest.com/_ul/D4A9sD"
맥카프리,2025-01-09T18:06:20+09:00,4만전자가나요?
놈주님,2025-01-09T18:05:11+09:00,"빠르게 빼길 잘했네요
좀더 빠지면 수량늘려보려고요"
장투그만,2025-01-09T18:00:29+09:00,망할 샘숭
Wwwade,2025-01-09T17:57:09+09:00,"꼼꼼하신 양반이 정말 몰랐을까?
옛다 엿먹어봐라는 의도한 제스쳐 라고 본다."
슝슝찡코,2025-01-09T17:56:26+09:00,"저는 소액으로 점심값만 벌고 갑니다
다들 성투하세요!!"
트럼핑,2025-01-09T17:56:24+09:00,말실수가뭐야 ㅋㅋㅋㅋㅋ
순금님,2025-01-09T17:46:21+09:00,조금씩 물타기. 장기로 가면. 됌. 배당금 4월달 4번째. 받음 🙏
peterleem,2025-01-09T17:38:37+09:00,"현직 외국계인데 외국인들이 한국을 어떻게 생각하는지 알려줄게 물론 외국인 전부가 그렇다는 것은 아니고 대부분의 생각이 이렇다는 거임
얼마전 달러 환율도 많이 올랐겠다 원화로 환전해서 삼성전자에 투자하려고 했어 현재 가격이 충분히 매력적이니깐 그러다 풋옵션으로 포지션으로 바꿈 이유는 단 하나 대통령 탄핵이 국회에서 통과가 됐기때문 그 당시 한국 미디어에서는 불확실성이 해소가 되서 앞으로 한국 주식 오를거다 이렇게 얘기하는거 보고 어이가 없더라
다들 알잖아 한국 미디어에서 해리스가 박빙이니 우세하니 외국인 투자자 입장에서 보면은 해리스가 이긴적이 단 한번도 없었는데 어떻게 저렇게 모든 방송사가 떠드는지 현재 한국은 중국하고 크게 다르지 않게 보는거야
테슬라 투자중인 사람들 중 해리스가 당선될거라고 세뇌된 사람들이 엄청 판거 알고 있어?
한국 정치는 전혀 모르니 내가 뭐라 얘기 할 수 없는거고 다만 미국의 시선으로 풀어보면 답은 쉽게 나올거야
대통령 탄핵이 법원에서 인용된다면 그땐 진짜 나락 시작이야
주식하는 사람이라면 미디어에서 떠드는 탄핵이 되어야 불확실성 해소라는 개소리에 속지 말아야 한다고
세상을 객관적으로 보고 판단을 할줄 알아야 그래야 돈을 벌 수 있는거라고
한국 방송은 웬만하면 보지말라고 추천하고 싶다

외국인들이 무슨 방송 보겠어? 미국 방송보면 되는거야
영어 몰라도 요새 번역기도 잘되어 있잖아"
지구마불세계여행,2025-01-09T17:34:47+09:00,기관 수익실현 지리네. 그래 국민연금아 니네가 수익번거 나한테 나중에 안주면 두고보자.
trinity8888,2025-01-09T17:26:55+09:00,ㅇㅇ ?
통탕이,2025-01-09T17:26:45+09:00,저도 주주지만 하이닉스랑 너무 비교된다..왜샀지..왜 7만원대일때 안팔았지..
슝슝찡코,2025-01-09T17:56:26+09:00,"저는 소액으로 점심값만 벌고 갑니다
다들 성투하세요!!"
트럼핑,2025-01-09T17:56:24+09:00,말실수가뭐야 ㅋㅋㅋㅋㅋ
순금님,2025-01-09T17:46:21+09:00,조금씩 물타기. 장기로 가면. 됌. 배당금 4월달 4번째. 받음 🙏
peterleem,2025-01-09T17:38:37+09:00,"현직 외국계인데 외국인들이 한국을 어떻게 생각하는지 알려줄게 물론 외국인 전부가 그렇다는 것은 아니고 대부분의 생각이 이렇다는 거임
얼마전 달러 환율도 많이 올랐겠다 원화로 환전해서 삼성전자에 투자하려고 했어 현재 가격이 충분히 매력적이니깐 그러다 풋옵션으로 포지션으로 바꿈 이유는 단 하나 대통령 탄핵이 국회에서 통과가 됐기때문 그 당시 한국 미디어에서는 불확실성이 해소가 되서 앞으로 한국 주식 오를거다 이렇게 얘기하는거 보고 어이가 없더라
다들 알잖아 한국 미디어에서 해리스가 박빙이니 우세하니 외국인 투자자 입장에서 보면은 해리스가 이긴적이 단 한번도 없었는데 어떻게 저렇게 모든 방송사가 떠드는지 현재 한국은 중국하고 크게 다르지 않게 보는거야
테슬라 투자중인 사람들 중 해리스가 당선될거라고 세뇌된 사람들이 엄청 판거 알고 있어?
한국 정치는 전혀 모르니 내가 뭐라 얘기 할 수 없는거고 다만 미국의 시선으로 풀어보면 답은 쉽게 나올거야
대통령 탄핵이 법원에서 인용된다면 그땐 진짜 나락 시작이야
주식하는 사람이라면 미디어에서 떠드는 탄핵이 되어야 불확실성 해소라는 개소리에 속지 말아야 한다고
세상을 객관적으로 보고 판단을 할줄 알아야 그래야 돈을 벌 수 있는거라고
한국 방송은 웬만하면 보지말라고 추천하고 싶다

외국인들이 무슨 방송 보겠어? 미국 방송보면 되는거야
영어 몰라도 요새 번역기도 잘되어 있잖아"
지구마불세계여행,2025-01-09T17:34:47+09:00,기관 수익실현 지리네. 그래 국민연금아 니네가 수익번거 나한테 나중에 안주면 두고보자.
trinity8888,2025-01-09T17:26:55+09:00,ㅇㅇ ?
통탕이,2025-01-09T17:26:45+09:00,저도 주주지만 하이닉스랑 너무 비교된다..왜샀지..왜 7만원대일때 안팔았지..
매수하면폭락,2025-01-09T17:23:05+09:00,개관...
레고2022,2025-01-09T17:19:13+09:00,외인ㄷㄷ
가보자고자,2025-01-09T17:16:48+09:00,"내일까지 저가매수 기회줄듯.
이번주중 윤씨 잡히면
다음주부터 국장 불장시작!"
리트리버1010,2025-01-09T17:12:54+09:00,외인들 들어왔는데 개관이 팔아서 떨어짐ㅂㄷㅂㄷ
오오타니임,2025-01-09T17:11:33+09:00,올라갈일만 남았네
장투황태자,2025-01-09T17:08:53+09:00,남의 돈 가지고 장사하니까 매일 빙딘짓거리하고 욕쳐묵지..기관 화이팅!
통탕이,2025-01-09T17:26:45+09:00,저도 주주지만 하이닉스랑 너무 비교된다..왜샀지..왜 7만원대일때 안팔았지..
매수하면폭락,2025-01-09T17:23:05+09:00,개관...
레고2022,2025-01-09T17:19:13+09:00,외인ㄷㄷ
가보자고자,2025-01-09T17:16:48+09:00,"내일까지 저가매수 기회줄듯.
이번주중 윤씨 잡히면
다음주부터 국장 불장시작!"
리트리버1010,2025-01-09T17:12:54+09:00,외인들 들어왔는데 개관이 팔아서 떨어짐ㅂㄷㅂㄷ
오오타니임,2025-01-09T17:11:33+09:00,올라갈일만 남았네
장투황태자,2025-01-09T17:08:53+09:00,남의 돈 가지고 장사하니까 매일 빙딘짓거리하고 욕쳐묵지..기관 화이팅!
핑크쏘세지,2025-01-09T17:07:07+09:00,느낌 매수......
딸둘아빠입니다,2025-01-09T17:02:00+09:00,나중에 또 들어가야겠네요.
뀨뀽뀨뀽,2025-01-09T16:55:57+09:00,"이번달 안에 탈출 가능할까요?
ㅜ_ㅜ..."
왜나한테만엄격한데,2025-01-09T16:52:32+09:00,기다렸어
보일러댁에아버님놔드려야겠어,2025-01-09T16:48:26+09:00,작년 7월에 8만 전자일때 물린 분들 심정.
음주운전,2025-01-09T16:48:10+09:00,남은거도 계속 짤짤이로 팔아야지
장투황태자,2025-01-09T17:08:53+09:00,남의 돈 가지고 장사하니까 매일 빙딘짓거리하고 욕쳐묵지..기관 화이팅!
핑크쏘세지,2025-01-09T17:07:07+09:00,느낌 매수......
딸둘아빠입니다,2025-01-09T17:02:00+09:00,나중에 또 들어가야겠네요.
뀨뀽뀨뀽,2025-01-09T16:55:57+09:00,"이번달 안에 탈출 가능할까요?
ㅜ_ㅜ..."
왜나한테만엄격한데,2025-01-09T16:52:32+09:00,기다렸어
보일러댁에아버님놔드려야겠어,2025-01-09T16:48:26+09:00,작년 7월에 8만 전자일때 물린 분들 심정.
음주운전,2025-01-09T16:48:10+09:00,남은거도 계속 짤짤이로 팔아야지
호슈려,2025-01-09T16:45:15+09:00,저도 삼전씨게물렷는데 2달만에 비트코인으로 본전찾고 지금은 수익중입니다. 돈이풀린시기엔 광기에올라타야합니다. 자본주의 양극화끝엔 이런 경기소비재는 답없음. 님들이 돈번다고 휴대폰 1대살거 2대 3대 사진않잔아요 그것도 갤럭시를
바르뎀,2025-01-09T16:34:49+09:00,아 57에서 팔았어야… 고만하다 잤더니 ㅠㅠ
미르앤리투자자문,2025-01-09T16:33:10+09:00,"아닌 듯하면서도 올해 들어 우리 주식시장은 연일 상승을 이어가고 있습니다. 코스피 종합지수는 첫 거래일을 제외하고 5거래일 연속 상승하고 있으며, KOSDAQ 지수는 새해 들어 하루도 빠짐없이 6거래일 연속 상승세를 이어가고 있습니다. 이런 증시 온기에도 불구하고 투자자에 따라서는 아직 보유 종목이 움직이지 않아 답답해하는 분들이 제법 많습니다.
하지만 시장은 결국 전체적으로 온기가 퍼져나갈 것입니다.
🔥📈💸🚒증시토크 칼럼 바로보기 :

※ 본 자료는 투자자들에게 도움이 될만한 정보를 제공할 목적으로 작성되었으며, 무단복제 및 배포할 수 없습니다. 주식투자는 손실이 발생할 수 있으며 투자의 책임은 투자자 본인에게 있습니다. 또한 수치 및 내용의 정확성이나 안전성을 보장할 수 없으며, 어떠한 경우에도 고객의 증권투자 결과에 대한 법적 책임 소재의 증빙자료로 사용될 수 없습니다."
핑크쏘세지,2025-01-09T16:32:10+09:00,61700원 간거 넘 심한거 아닌가요...
왜나한테만엄격한데,2025-01-09T16:52:32+09:00,기다렸어
보일러댁에아버님놔드려야겠어,2025-01-09T16:48:26+09:00,작년 7월에 8만 전자일때 물린 분들 심정.
음주운전,2025-01-09T16:48:10+09:00,남은거도 계속 짤짤이로 팔아야지
호슈려,2025-01-09T16:45:15+09:00,저도 삼전씨게물렷는데 2달만에 비트코인으로 본전찾고 지금은 수익중입니다. 돈이풀린시기엔 광기에올라타야합니다. 자본주의 양극화끝엔 이런 경기소비재는 답없음. 님들이 돈번다고 휴대폰 1대살거 2대 3대 사진않잔아요 그것도 갤럭시를
바르뎀,2025-01-09T16:34:49+09:00,아 57에서 팔았어야… 고만하다 잤더니 ㅠㅠ
미르앤리투자자문,2025-01-09T16:33:10+09:00,"아닌 듯하면서도 올해 들어 우리 주식시장은 연일 상승을 이어가고 있습니다. 코스피 종합지수는 첫 거래일을 제외하고 5거래일 연속 상승하고 있으며, KOSDAQ 지수는 새해 들어 하루도 빠짐없이 6거래일 연속 상승세를 이어가고 있습니다. 이런 증시 온기에도 불구하고 투자자에 따라서는 아직 보유 종목이 움직이지 않아 답답해하는 분들이 제법 많습니다.
하지만 시장은 결국 전체적으로 온기가 퍼져나갈 것입니다.
🔥📈💸🚒증시토크 칼럼 바로보기 :

※ 본 자료는 투자자들에게 도움이 될만한 정보를 제공할 목적으로 작성되었으며, 무단복제 및 배포할 수 없습니다. 주식투자는 손실이 발생할 수 있으며 투자의 책임은 투자자 본인에게 있습니다. 또한 수치 및 내용의 정확성이나 안전성을 보장할 수 없으며, 어떠한 경우에도 고객의 증권투자 결과에 대한 법적 책임 소재의 증빙자료로 사용될 수 없습니다."
핑크쏘세지,2025-01-09T16:32:10+09:00,61700원 간거 넘 심한거 아닌가요...
웅룽웅,2025-01-09T16:32:08+09:00,"역시
삼전은 줄먹;;;;"
따뜻해여,2025-01-09T16:31:08+09:00,언팩까지 쭉 오를듯
동동파다,2025-01-09T16:22:55+09:00,삼전 내일 오른다? 손목아지 거실분?
동아둉아,2025-01-09T16:20:51+09:00,기관 털렸대요~
숙이고,2025-01-09T16:17:50+09:00,ㅋ 내가 다시 진입하니 떨어지는구나
미르앤리투자자문,2025-01-09T16:33:10+09:00,"아닌 듯하면서도 올해 들어 우리 주식시장은 연일 상승을 이어가고 있습니다. 코스피 종합지수는 첫 거래일을 제외하고 5거래일 연속 상승하고 있으며, KOSDAQ 지수는 새해 들어 하루도 빠짐없이 6거래일 연속 상승세를 이어가고 있습니다. 이런 증시 온기에도 불구하고 투자자에 따라서는 아직 보유 종목이 움직이지 않아 답답해하는 분들이 제법 많습니다.
하지만 시장은 결국 전체적으로 온기가 퍼져나갈 것입니다.
🔥📈💸🚒증시토크 칼럼 바로보기 :

※ 본 자료는 투자자들에게 도움이 될만한 정보를 제공할 목적으로 작성되었으며, 무단복제 및 배포할 수 없습니다. 주식투자는 손실이 발생할 수 있으며 투자의 책임은 투자자 본인에게 있습니다. 또한 수치 및 내용의 정확성이나 안전성을 보장할 수 없으며, 어떠한 경우에도 고객의 증권투자 결과에 대한 법적 책임 소재의 증빙자료로 사용될 수 없습니다."
핑크쏘세지,2025-01-09T16:32:10+09:00,61700원 간거 넘 심한거 아닌가요...
웅룽웅,2025-01-09T16:32:08+09:00,"역시
삼전은 줄먹;;;;"
따뜻해여,2025-01-09T16:31:08+09:00,언팩까지 쭉 오를듯
동동파다,2025-01-09T16:22:55+09:00,삼전 내일 오른다? 손목아지 거실분?
동아둉아,2025-01-09T16:20:51+09:00,기관 털렸대요~
숙이고,2025-01-09T16:17:50+09:00,ㅋ 내가 다시 진입하니 떨어지는구나
필성투,2025-01-09T16:17:12+09:00,잠시 쉬었다 갑니다.
Halluci,2025-01-09T16:16:10+09:00,응 기다리면 그만이야.
코밍랴,2025-01-09T16:14:51+09:00,하이닉스가 아니라 왜 삼전을 샀을까
늪에서,2025-01-09T16:14:26+09:00,외인들 역시 개미들 잘 가지고 노네요 ㅎㅋ
소박하게먹자,2025-01-09T16:12:15+09:00,저도 팔 수 있을 때 팔고 나갑니다..
숙이고,2025-01-09T16:17:50+09:00,ㅋ 내가 다시 진입하니 떨어지는구나
필성투,2025-01-09T16:17:12+09:00,잠시 쉬었다 갑니다.
Halluci,2025-01-09T16:16:10+09:00,응 기다리면 그만이야.
코밍랴,2025-01-09T16:14:51+09:00,하이닉스가 아니라 왜 삼전을 샀을까
늪에서,2025-01-09T16:14:26+09:00,외인들 역시 개미들 잘 가지고 노네요 ㅎㅋ
소박하게먹자,2025-01-09T16:12:15+09:00,저도 팔 수 있을 때 팔고 나갑니다..
러블리소울,2025-01-09T16:11:13+09:00,다음 옵션 만기일인2월 13일까진 꾸준히 외인 들어오는게 맞겟죠? 이제 3월 13일 네마녀의날 기대돼내요 혹시 다음 배당락일은 언제 일까요?
나현우,2025-01-09T16:08:30+09:00,하지만 곧 삼전으로 돌아올 예정
펄어개새,2025-01-09T16:08:06+09:00,"그냥 탈출하고 미장 들어갑니다
언젠간 오르겠지만 여기는 가치투자가 아니네요"
럭키반지,2025-01-09T16:07:24+09:00,"못견디고 나갑니다
8만전자 화이팅"
2025Lucky,2025-01-09T16:07:15+09:00,내일 윤돼지 잡혀가려나보네.
현준이아빠,2025-01-09T16:07:13+09:00,ㅋ
늪에서,2025-01-09T16:14:26+09:00,외인들 역시 개미들 잘 가지고 노네요 ㅎㅋ
소박하게먹자,2025-01-09T16:12:15+09:00,저도 팔 수 있을 때 팔고 나갑니다..
러블리소울,2025-01-09T16:11:13+09:00,다음 옵션 만기일인2월 13일까진 꾸준히 외인 들어오는게 맞겟죠? 이제 3월 13일 네마녀의날 기대돼내요 혹시 다음 배당락일은 언제 일까요?
나현우,2025-01-09T16:08:30+09:00,하지만 곧 삼전으로 돌아올 예정
펄어개새,2025-01-09T16:08:06+09:00,"그냥 탈출하고 미장 들어갑니다
언젠간 오르겠지만 여기는 가치투자가 아니네요"
럭키반지,2025-01-09T16:07:24+09:00,"못견디고 나갑니다
8만전자 화이팅"
2025Lucky,2025-01-09T16:07:15+09:00,내일 윤돼지 잡혀가려나보네.
현준이아빠,2025-01-09T16:07:13+09:00,ㅋ
망고사랑짱,2025-01-09T16:07:02+09:00,"ㅎ ㅎ 기분 좋아요,"
내꺼빼고다오르네,2025-01-09T16:03:22+09:00,내일까지 매수세 들어오면 바로 분할매수 시작
보일러댁에아버님놔드려야겠어,2025-01-09T15:59:22+09:00,나는 옆동네 하이닉스 주주분들이 솔직히 부럽다.
익절맨03,2025-01-09T15:57:25+09:00,더 낮아지면 들어 오겠습니다
서현진,2025-01-09T15:56:24+09:00,"옵션 만기일에
외인 롱 포지션에 안도감.
기관 숏에 배신감.
아니 내 돈 (퇴직금) 으로
내 목에 칼을 겨눠?
오늘 손실 본 버거 형님들
낼 따블로 돈 싸들고 올 듯 ㅎ"
2025Lucky,2025-01-09T16:07:15+09:00,내일 윤돼지 잡혀가려나보네.
현준이아빠,2025-01-09T16:07:13+09:00,ㅋ
망고사랑짱,2025-01-09T16:07:02+09:00,"ㅎ ㅎ 기분 좋아요,"
내꺼빼고다오르네,2025-01-09T16:03:22+09:00,내일까지 매수세 들어오면 바로 분할매수 시작
보일러댁에아버님놔드려야겠어,2025-01-09T15:59:22+09:00,나는 옆동네 하이닉스 주주분들이 솔직히 부럽다.
익절맨03,2025-01-09T15:57:25+09:00,더 낮아지면 들어 오겠습니다
서현진,2025-01-09T15:56:24+09:00,"옵션 만기일에
외인 롱 포지션에 안도감.
기관 숏에 배신감.
아니 내 돈 (퇴직금) 으로
내 목에 칼을 겨눠?
오늘 손실 본 버거 형님들
낼 따블로 돈 싸들고 올 듯 ㅎ"
권제로,2025-01-09T15:46:02+09:00,장막판꼬라지보니까 내일 더내릴듯
권제로,2025-01-09T15:45:18+09:00,진짜 외국인들 주차 잘시키네 지수 보합세인거보소
갱갱빡,2025-01-09T15:44:52+09:00,안녕하세요
곰돌이우,2025-01-09T15:44:08+09:00,근데 워낙 외인들 계속 매도할때 기관들이 방어해준거라 수익실현하긴 해야할꺼에요.
뿌니걸,2025-01-09T15:43:44+09:00,아이c 다시 제 자리네
익절맨03,2025-01-09T15:57:25+09:00,더 낮아지면 들어 오겠습니다
서현진,2025-01-09T15:56:24+09:00,"옵션 만기일에
외인 롱 포지션에 안도감.
기관 숏에 배신감.
아니 내 돈 (퇴직금) 으로
내 목에 칼을 겨눠?
오늘 손실 본 버거 형님들
낼 따블로 돈 싸들고 올 듯 ㅎ"
권제로,2025-01-09T15:46:02+09:00,장막판꼬라지보니까 내일 더내릴듯
권제로,2025-01-09T15:45:18+09:00,진짜 외국인들 주차 잘시키네 지수 보합세인거보소
갱갱빡,2025-01-09T15:44:52+09:00,안녕하세요
곰돌이우,2025-01-09T15:44:08+09:00,근데 워낙 외인들 계속 매도할때 기관들이 방어해준거라 수익실현하긴 해야할꺼에요.
뿌니걸,2025-01-09T15:43:44+09:00,아이c 다시 제 자리네
개미51,2025-01-09T15:43:42+09:00,외인한태 계속맞다가 오늘은 기관이 뒤통수치네
million,2025-01-09T15:42:55+09:00,기관이 가관이네 지들이 팔고 나가는구만
곰돌이우,2025-01-09T15:42:30+09:00,우선 희소식은 외인 매수세는 유지된다는거네요
김치전감자전삼전,2025-01-09T15:42:19+09:00,"다행이건
외국인은 매수
기관이 매도
기다려봅니다"
서노최고,2025-01-09T15:41:42+09:00,가관넘들 완전매국노들 기가찬다
똑상가즈아,2025-01-09T15:39:35+09:00,내가 뉴스뜨면 털린다고 했쩨 ㅡㅡ 기관에서 양아치짓하네
맨징하고파,2025-01-09T15:39:32+09:00,"장막판 200만주이상 매수
특정 거래원이 이틀연속 풀매수네요
조만간 급등한번 기대할만할지도..!?"
개미51,2025-01-09T15:43:42+09:00,외인한태 계속맞다가 오늘은 기관이 뒤통수치네
million,2025-01-09T15:42:55+09:00,기관이 가관이네 지들이 팔고 나가는구만
곰돌이우,2025-01-09T15:42:30+09:00,우선 희소식은 외인 매수세는 유지된다는거네요
김치전감자전삼전,2025-01-09T15:42:19+09:00,"다행이건
외국인은 매수
기관이 매도
기다려봅니다"
서노최고,2025-01-09T15:41:42+09:00,가관넘들 완전매국노들 기가찬다
똑상가즈아,2025-01-09T15:39:35+09:00,내가 뉴스뜨면 털린다고 했쩨 ㅡㅡ 기관에서 양아치짓하네
맨징하고파,2025-01-09T15:39:32+09:00,"장막판 200만주이상 매수
특정 거래원이 이틀연속 풀매수네요
조만간 급등한번 기대할만할지도..!?"
Designseok,2025-01-09T15:39:28+09:00,기관이 다팔았네...
쿠키81,2025-01-09T15:38:25+09:00,ㅎㄷㄷ
aiaitt,2025-01-09T15:38:19+09:00,"왜박는거죠.

엔비디아 게임용 그래픽에 삼성메모리 박는다는데"
쿠키81,2025-01-09T15:37:30+09:00,개관이 개관 했네
아프리카얼룩말,2025-01-09T15:37:28+09:00,뭐하는 놈이야 이거
런닝규,2025-01-09T15:35:15+09:00,마지막 들어온거 뭐지?
길동이랑,2025-01-09T15:33:49+09:00,역시. 내가 오름을. 정지시켰네 ㅋ 사자마자. 엘리베이터 탔네유
Designseok,2025-01-09T15:39:28+09:00,기관이 다팔았네...
쿠키81,2025-01-09T15:38:25+09:00,ㅎㄷㄷ
aiaitt,2025-01-09T15:38:19+09:00,"왜박는거죠.

엔비디아 게임용 그래픽에 삼성메모리 박는다는데"
쿠키81,2025-01-09T15:37:30+09:00,개관이 개관 했네
아프리카얼룩말,2025-01-09T15:37:28+09:00,뭐하는 놈이야 이거
런닝규,2025-01-09T15:35:15+09:00,마지막 들어온거 뭐지?
길동이랑,2025-01-09T15:33:49+09:00,역시. 내가 오름을. 정지시켰네 ㅋ 사자마자. 엘리베이터 탔네유
지구마불세계여행,2025-01-09T15:33:43+09:00,외국인 8만밖에 안팔았네요??
한달300만벌자,2025-01-09T15:33:29+09:00,이틀을못가요
우와진짜주식어렵네,2025-01-09T15:32:42+09:00,개미들만 판건가...
구미장수말발,2025-01-09T15:31:08+09:00,오늘도 수고!
푸르른른,2025-01-09T15:31:07+09:00,"이럴거면 어제.뭐하러 올렷냐
이러려고 올렸냐 나쁜놈들"
