닉네임,날짜,내용
익쩌리styx,2025-01-09T15:29:35+09:00,"삼성전자 주가 흐름 진짜 잼있네여 ㅋㅋㅋ

#SK바이오사이언스 로 오세요
이번주만 10퍼 오름..

전 추천해줬어유 ㅎ

이제 오를일만 남음"
alongs,2025-01-09T15:29:08+09:00,오늘 팔았네요 ㅠㅠ
지구마불세계여행,2025-01-09T15:33:43+09:00,외국인 8만밖에 안팔았네요??
한달300만벌자,2025-01-09T15:33:29+09:00,이틀을못가요
우와진짜주식어렵네,2025-01-09T15:32:42+09:00,개미들만 판건가...
구미장수말발,2025-01-09T15:31:08+09:00,오늘도 수고!
푸르른른,2025-01-09T15:31:07+09:00,"이럴거면 어제.뭐하러 올렷냐
이러려고 올렸냐 나쁜놈들"
익쩌리styx,2025-01-09T15:29:35+09:00,"삼성전자 주가 흐름 진짜 잼있네여 ㅋㅋㅋ

#SK바이오사이언스 로 오세요
이번주만 10퍼 오름..

전 추천해줬어유 ㅎ

이제 오를일만 남음"
alongs,2025-01-09T15:29:08+09:00,오늘 팔았네요 ㅠㅠ
미라클범띠,2025-01-09T15:28:44+09:00,7만만 가면 미련없이 털고 다신 안산다...
돈물고오는까치,2025-01-09T15:27:51+09:00,하닉이가 이제ㅡ대장이네...
송호도리,2025-01-09T15:27:28+09:00,국민주
서창민서,2025-01-09T15:25:12+09:00,ㅇ
푸르른른,2025-01-09T15:31:07+09:00,"이럴거면 어제.뭐하러 올렷냐
이러려고 올렸냐 나쁜놈들"
익쩌리styx,2025-01-09T15:29:35+09:00,"삼성전자 주가 흐름 진짜 잼있네여 ㅋㅋㅋ

#SK바이오사이언스 로 오세요
이번주만 10퍼 오름..

전 추천해줬어유 ㅎ

이제 오를일만 남음"
alongs,2025-01-09T15:29:08+09:00,오늘 팔았네요 ㅠㅠ
미라클범띠,2025-01-09T15:28:44+09:00,7만만 가면 미련없이 털고 다신 안산다...
돈물고오는까치,2025-01-09T15:27:51+09:00,하닉이가 이제ㅡ대장이네...
송호도리,2025-01-09T15:27:28+09:00,국민주
서창민서,2025-01-09T15:25:12+09:00,ㅇ
벵벵벵축,2025-01-09T15:23:12+09:00,정찰
파파몽,2025-01-09T15:23:04+09:00,(￣(工)￣) ?
열혈아빠,2025-01-09T15:22:28+09:00,바닥권으로 보여 간만에 추매함~
대박날꺼얌,2025-01-09T15:22:12+09:00,아주 쇼를 하고 있네.
야잇흣,2025-01-09T15:21:44+09:00,ㅋㅋㅋ
푸르른른,2025-01-09T15:21:18+09:00,뭐야 장후 버그야?
송호도리,2025-01-09T15:27:28+09:00,국민주
서창민서,2025-01-09T15:25:12+09:00,ㅇ
벵벵벵축,2025-01-09T15:23:12+09:00,정찰
파파몽,2025-01-09T15:23:04+09:00,(￣(工)￣) ?
열혈아빠,2025-01-09T15:22:28+09:00,바닥권으로 보여 간만에 추매함~
대박날꺼얌,2025-01-09T15:22:12+09:00,아주 쇼를 하고 있네.
야잇흣,2025-01-09T15:21:44+09:00,ㅋㅋㅋ
푸르른른,2025-01-09T15:21:18+09:00,뭐야 장후 버그야?
주린살려줘,2025-01-09T15:21:16+09:00,올라가ㅠㅜ
양봉탐지하는꿀벌이서,2025-01-09T15:20:21+09:00,세일하네
으석이,2025-01-09T15:19:36+09:00,ㅋㅋ5년전이랑 주가가 똑같에 물가가 얼마나 뛰었는데
마카오강,2025-01-09T15:16:50+09:00,..ㅠ
부리부리대마와,2025-01-09T15:16:45+09:00,벨트 찼는데 왜이렇게 흔들리나요?
장투황태자,2025-01-09T15:16:29+09:00,대한민국이 망하는거다.
푸르른른,2025-01-09T15:21:18+09:00,뭐야 장후 버그야?
주린살려줘,2025-01-09T15:21:16+09:00,올라가ㅠㅜ
양봉탐지하는꿀벌이서,2025-01-09T15:20:21+09:00,세일하네
으석이,2025-01-09T15:19:36+09:00,ㅋㅋ5년전이랑 주가가 똑같에 물가가 얼마나 뛰었는데
마카오강,2025-01-09T15:16:50+09:00,..ㅠ
부리부리대마와,2025-01-09T15:16:45+09:00,벨트 찼는데 왜이렇게 흔들리나요?
장투황태자,2025-01-09T15:16:29+09:00,대한민국이 망하는거다.
손마사요시,2025-01-09T15:15:33+09:00,침팬지도 이쯤되면 국장은 안올거같은데
주식초보133,2025-01-09T15:15:21+09:00,하.. 그냥 존버 타야되나ㅠㅠ
대나미,2025-01-09T15:14:11+09:00,운전 뭐같이하네ㅠㅋ
차트볼시간에더자기,2025-01-09T15:13:12+09:00,"미장 쉬는날이라 맛만봤습니다



역시 지독한 맛입니다"
alongs,2025-01-09T15:12:41+09:00,부탁이야~~~
지구마불세계여행,2025-01-09T15:12:23+09:00,태초마을 기모띠
지하실밑,2025-01-09T15:11:53+09:00,역시는 역시다 이변은 없다
장투황태자,2025-01-09T15:16:29+09:00,대한민국이 망하는거다.
손마사요시,2025-01-09T15:15:33+09:00,침팬지도 이쯤되면 국장은 안올거같은데
주식초보133,2025-01-09T15:15:21+09:00,하.. 그냥 존버 타야되나ㅠㅠ
대나미,2025-01-09T15:14:11+09:00,운전 뭐같이하네ㅠㅋ
차트볼시간에더자기,2025-01-09T15:13:12+09:00,"미장 쉬는날이라 맛만봤습니다



역시 지독한 맛입니다"
alongs,2025-01-09T15:12:41+09:00,부탁이야~~~
지구마불세계여행,2025-01-09T15:12:23+09:00,태초마을 기모띠
지하실밑,2025-01-09T15:11:53+09:00,역시는 역시다 이변은 없다
갸주야요,2025-01-09T15:11:26+09:00,와 낚일뻔했네
투기꾼서씨,2025-01-09T15:11:09+09:00,"뭐가 그리
급하다고 또 내려가니..
조금이라도 버티질 못하고.."
입색노랑이,2025-01-09T15:11:08+09:00,젠슨황 이빨 값이 딱 하루네…
영주시,2025-01-09T15:10:57+09:00,ㅠㅠ
호돌3,2025-01-09T15:08:29+09:00,수고하세요
맨징하고파,2025-01-09T15:08:17+09:00,신용도 털리고 옵션만기에 급등락 장난없네요
지하실밑,2025-01-09T15:11:53+09:00,역시는 역시다 이변은 없다
갸주야요,2025-01-09T15:11:26+09:00,와 낚일뻔했네
투기꾼서씨,2025-01-09T15:11:09+09:00,"뭐가 그리
급하다고 또 내려가니..
조금이라도 버티질 못하고.."
입색노랑이,2025-01-09T15:11:08+09:00,젠슨황 이빨 값이 딱 하루네…
영주시,2025-01-09T15:10:57+09:00,ㅠㅠ
호돌3,2025-01-09T15:08:29+09:00,수고하세요
맨징하고파,2025-01-09T15:08:17+09:00,신용도 털리고 옵션만기에 급등락 장난없네요
하힝히,2025-01-09T15:04:56+09:00,3시넘으니 확떨어지네
포도님이라규,2025-01-09T15:03:43+09:00,꼬라지 좀 봐라 ㅋ 오늘 팔기는 글렀다...
내가사면떨어젼,2025-01-09T15:03:30+09:00,이모양이면 우짜냐?
익쩌리styx,2025-01-09T15:00:48+09:00,일부빼서 #SK바이오사이언스 로 갈아탐
파파몽,2025-01-09T15:00:13+09:00,여기가 그래도 승차감은 좋더라고
내가젤잘,2025-01-09T14:58:23+09:00,"6만만좀가자 갈때안됐나??
아놔~~"
맨징하고파,2025-01-09T15:08:17+09:00,신용도 털리고 옵션만기에 급등락 장난없네요
하힝히,2025-01-09T15:04:56+09:00,3시넘으니 확떨어지네
포도님이라규,2025-01-09T15:03:43+09:00,꼬라지 좀 봐라 ㅋ 오늘 팔기는 글렀다...
내가사면떨어젼,2025-01-09T15:03:30+09:00,이모양이면 우짜냐?
익쩌리styx,2025-01-09T15:00:48+09:00,일부빼서 #SK바이오사이언스 로 갈아탐
파파몽,2025-01-09T15:00:13+09:00,여기가 그래도 승차감은 좋더라고
내가젤잘,2025-01-09T14:58:23+09:00,"6만만좀가자 갈때안됐나??
아놔~~"
빨간맛가즈아,2025-01-09T14:58:00+09:00,가즈아 제발
프리티머큐리,2025-01-09T14:57:52+09:00,황사장이 말해도 안오르는건가?
시너닝이다,2025-01-09T14:57:34+09:00,ㅎㅎㅎ
동동파다,2025-01-09T14:56:32+09:00,약속의 3시!!!
토마토0306,2025-01-09T14:56:09+09:00,6층사는 사람인데 물타기했습니다
꿈꾸는희망웃자,2025-01-09T14:56:00+09:00,"떨구든 말든....마음대로 하이~소
망하지만 않으면 돼요.돼요.돼용
언젠~가는 가겠지...^^
쩐이 문제지...ㅋㅋ"
내가젤잘,2025-01-09T14:58:23+09:00,"6만만좀가자 갈때안됐나??
아놔~~"
빨간맛가즈아,2025-01-09T14:58:00+09:00,가즈아 제발
프리티머큐리,2025-01-09T14:57:52+09:00,황사장이 말해도 안오르는건가?
시너닝이다,2025-01-09T14:57:34+09:00,ㅎㅎㅎ
동동파다,2025-01-09T14:56:32+09:00,약속의 3시!!!
토마토0306,2025-01-09T14:56:09+09:00,6층사는 사람인데 물타기했습니다
꿈꾸는희망웃자,2025-01-09T14:56:00+09:00,"떨구든 말든....마음대로 하이~소
망하지만 않으면 돼요.돼요.돼용
언젠~가는 가겠지...^^
쩐이 문제지...ㅋㅋ"
불타는만두장,2025-01-09T14:55:24+09:00,하이닉스로 벌고왔습니다
진돌맘,2025-01-09T14:50:39+09:00,모간딩시ㅋㅋ
행운초록클로ba,2025-01-09T14:49:33+09:00,다시 왔어요
탐욕스님,2025-01-09T14:48:10+09:00,과거 삼전차트 쭉 보면 바닥에서 만원은 회복했었으니 59000원대까지는 가긴갈듯
포도님이라규,2025-01-09T14:47:34+09:00,6시간째 보고 있지만 100원도 못 벌었네ㅠ
토마토0306,2025-01-09T14:56:09+09:00,6층사는 사람인데 물타기했습니다
꿈꾸는희망웃자,2025-01-09T14:56:00+09:00,"떨구든 말든....마음대로 하이~소
망하지만 않으면 돼요.돼요.돼용
언젠~가는 가겠지...^^
쩐이 문제지...ㅋㅋ"
불타는만두장,2025-01-09T14:55:24+09:00,하이닉스로 벌고왔습니다
진돌맘,2025-01-09T14:50:39+09:00,모간딩시ㅋㅋ
행운초록클로ba,2025-01-09T14:49:33+09:00,다시 왔어요
탐욕스님,2025-01-09T14:48:10+09:00,과거 삼전차트 쭉 보면 바닥에서 만원은 회복했었으니 59000원대까지는 가긴갈듯
포도님이라규,2025-01-09T14:47:34+09:00,6시간째 보고 있지만 100원도 못 벌었네ㅠ
하이닉스3,2025-01-09T14:45:22+09:00,"한두번 격어보냐
외인이 사서 조금 오를까해서 사면 외인. 기관 팔고. 어제나 오늘 팔아야지."
그저살아간다,2025-01-09T14:41:31+09:00,삼성 또떨
워렌흑우버핏,2025-01-09T14:39:20+09:00,단타치기 너무 좋은 종목
가자스키,2025-01-09T14:38:15+09:00,"와
외국인 배신 때리네 또"
찡뚱이,2025-01-09T14:35:43+09:00,젠슨황할애미가 와도 지금으로선 5만초까지 빽턴확률 높음
포도님이라규,2025-01-09T14:35:16+09:00,그래. 오늘 못 팔면 그냥 같이 가자. 당신은 나의 동반자~
유유송,2025-01-09T14:34:06+09:00,"57900에 사람있어요.~~~~~
6만은 바라지도 않는다.
58이라도 한번만 ㅠㅠㅠㅠ"
하이닉스3,2025-01-09T14:45:22+09:00,"한두번 격어보냐
외인이 사서 조금 오를까해서 사면 외인. 기관 팔고. 어제나 오늘 팔아야지."
그저살아간다,2025-01-09T14:41:31+09:00,삼성 또떨
워렌흑우버핏,2025-01-09T14:39:20+09:00,단타치기 너무 좋은 종목
가자스키,2025-01-09T14:38:15+09:00,"와
외국인 배신 때리네 또"
찡뚱이,2025-01-09T14:35:43+09:00,젠슨황할애미가 와도 지금으로선 5만초까지 빽턴확률 높음
포도님이라규,2025-01-09T14:35:16+09:00,그래. 오늘 못 팔면 그냥 같이 가자. 당신은 나의 동반자~
유유송,2025-01-09T14:34:06+09:00,"57900에 사람있어요.~~~~~
6만은 바라지도 않는다.
58이라도 한번만 ㅠㅠㅠㅠ"
도롱롱롱롱,2025-01-09T14:31:54+09:00,57.만 와라 탈출하게 ㅠㅠ
Sidebar,2025-01-09T14:30:16+09:00,"발표 당시 ""G7 memory from Micron"" 발언으로 RTX5000시리즈 그래픽카드에 마이크론의 메모리가 탑재되고 삼성과 SK하이닉스의 메모리는 배제된 것이냐는 질문에 ""아니다""라는 답변을 하였음. 삼성전자, SK하이닉스, 마이크론 등 많은 협력사에게서 부품을 공급받을 예정이라고 밝혔음."
콩순냥,2025-01-09T14:29:28+09:00,삼성은 왜이렇게 못가나요? 허탈하네요
안녕하루야,2025-01-09T14:26:47+09:00,한번 해볼까나
포도님이라규,2025-01-09T14:24:59+09:00,기를 쓰고 56700원에 팔려는 ×들
빨간맛가즈아,2025-01-09T14:24:58+09:00,6분전
러블리소울,2025-01-09T14:24:03+09:00,슬슬올라간다 가버리나?
도롱롱롱롱,2025-01-09T14:31:54+09:00,57.만 와라 탈출하게 ㅠㅠ
Sidebar,2025-01-09T14:30:16+09:00,"발표 당시 ""G7 memory from Micron"" 발언으로 RTX5000시리즈 그래픽카드에 마이크론의 메모리가 탑재되고 삼성과 SK하이닉스의 메모리는 배제된 것이냐는 질문에 ""아니다""라는 답변을 하였음. 삼성전자, SK하이닉스, 마이크론 등 많은 협력사에게서 부품을 공급받을 예정이라고 밝혔음."
콩순냥,2025-01-09T14:29:28+09:00,삼성은 왜이렇게 못가나요? 허탈하네요
안녕하루야,2025-01-09T14:26:47+09:00,한번 해볼까나
포도님이라규,2025-01-09T14:24:59+09:00,기를 쓰고 56700원에 팔려는 ×들
빨간맛가즈아,2025-01-09T14:24:58+09:00,6분전
러블리소울,2025-01-09T14:24:03+09:00,슬슬올라간다 가버리나?
복따라기,2025-01-09T14:22:47+09:00,삼성 올라가자~넌 할수있어
달금질,2025-01-09T14:22:37+09:00,"삼성이 출렁이면 코스피지수도 안올라간다.
너는 버팀목이 되어야한다.
힘내라! 💪"
예금보다더벌자,2025-01-09T14:21:43+09:00,삼럼 삼렇지ㅋㅋ
아크테릯,2025-01-09T14:19:16+09:00,곧 다시 4만전자 볼것 같은데
한걸음두걸음씩,2025-01-09T14:16:41+09:00,"#그냥봅니다
큰 호재없이 오른주식은 반드시 내린다
반대로 작은 호재만 발생하면 급상승도 한다
진입시점 보는중 입니다
저평가 되었다고 생각합니다"
스노우볼링,2025-01-09T14:15:39+09:00,"8일(현지 시간) 황 CEO는 공식 성명을 통해 “지포스 RTX 50 시리즈는 여러 파트너가 제조한 GDDR7 메모리를 탑재했으며, 그 시작은 삼성”이라고 밝혔다.

행복회로 풀가동 🙏🙏🙏🙏🙏"
동동파다,2025-01-09T14:12:33+09:00,어깨걸엇! 영차영차
복따라기,2025-01-09T14:22:47+09:00,삼성 올라가자~넌 할수있어
달금질,2025-01-09T14:22:37+09:00,"삼성이 출렁이면 코스피지수도 안올라간다.
너는 버팀목이 되어야한다.
힘내라! 💪"
예금보다더벌자,2025-01-09T14:21:43+09:00,삼럼 삼렇지ㅋㅋ
아크테릯,2025-01-09T14:19:16+09:00,곧 다시 4만전자 볼것 같은데
한걸음두걸음씩,2025-01-09T14:16:41+09:00,"#그냥봅니다
큰 호재없이 오른주식은 반드시 내린다
반대로 작은 호재만 발생하면 급상승도 한다
진입시점 보는중 입니다
저평가 되었다고 생각합니다"
스노우볼링,2025-01-09T14:15:39+09:00,"8일(현지 시간) 황 CEO는 공식 성명을 통해 “지포스 RTX 50 시리즈는 여러 파트너가 제조한 GDDR7 메모리를 탑재했으며, 그 시작은 삼성”이라고 밝혔다.

행복회로 풀가동 🙏🙏🙏🙏🙏"
동동파다,2025-01-09T14:12:33+09:00,어깨걸엇! 영차영차
어마무시한햄찌,2025-01-09T14:11:16+09:00,"도망가
실적이 말이 안된다
왜 안떨어지는데"
천재혜,2025-01-09T14:11:07+09:00,하닉 팔고 ㅋㅋ
진처링,2025-01-09T14:10:57+09:00,이거 잡주 아님?
호잇힝,2025-01-09T14:10:56+09:00,삼성..기지개펴자
시련달,2025-01-09T14:10:32+09:00,도망쳐
스노우볼링,2025-01-09T14:15:39+09:00,"8일(현지 시간) 황 CEO는 공식 성명을 통해 “지포스 RTX 50 시리즈는 여러 파트너가 제조한 GDDR7 메모리를 탑재했으며, 그 시작은 삼성”이라고 밝혔다.

행복회로 풀가동 🙏🙏🙏🙏🙏"
동동파다,2025-01-09T14:12:33+09:00,어깨걸엇! 영차영차
어마무시한햄찌,2025-01-09T14:11:16+09:00,"도망가
실적이 말이 안된다
왜 안떨어지는데"
천재혜,2025-01-09T14:11:07+09:00,하닉 팔고 ㅋㅋ
진처링,2025-01-09T14:10:57+09:00,이거 잡주 아님?
호잇힝,2025-01-09T14:10:56+09:00,삼성..기지개펴자
시련달,2025-01-09T14:10:32+09:00,도망쳐
조땜스키,2025-01-09T14:10:26+09:00,ㄹㅅㄱㄹㅅㄱ
치넬리,2025-01-09T14:08:51+09:00,말아 올리고 망치캔들 바닥 확인이길 바란다..........ㅠㅠ
브쪽잉,2025-01-09T14:07:23+09:00,미장가서 양자컴에 물리는것보단 삼성이 나은듯
까르띠에탱크,2025-01-09T14:07:13+09:00,"국장에서 상장폐지 하고 나스닥에 상장 하면
어떻게 되나요?"
한량인생,2025-01-09T14:03:14+09:00,ㅋ
호잇힝,2025-01-09T14:10:56+09:00,삼성..기지개펴자
시련달,2025-01-09T14:10:32+09:00,도망쳐
조땜스키,2025-01-09T14:10:26+09:00,ㄹㅅㄱㄹㅅㄱ
치넬리,2025-01-09T14:08:51+09:00,말아 올리고 망치캔들 바닥 확인이길 바란다..........ㅠㅠ
브쪽잉,2025-01-09T14:07:23+09:00,미장가서 양자컴에 물리는것보단 삼성이 나은듯
까르띠에탱크,2025-01-09T14:07:13+09:00,"국장에서 상장폐지 하고 나스닥에 상장 하면
어떻게 되나요?"
한량인생,2025-01-09T14:03:14+09:00,ㅋ
뿌니걸,2025-01-09T14:01:19+09:00,악
굿후드,2025-01-09T13:59:06+09:00,어제 막판 탈출.... 잘나왔네 내려가면 다시 매수..
느기모,2025-01-09T13:58:42+09:00,실적봐라 일안하냐
말리지마못참아,2025-01-09T13:57:48+09:00,ㅋㅋㅋㅋㅋ8천원이라도 벌긴 했네
주린인하,2025-01-09T13:57:42+09:00,안녕히 계세요
브쪽잉,2025-01-09T14:07:23+09:00,미장가서 양자컴에 물리는것보단 삼성이 나은듯
까르띠에탱크,2025-01-09T14:07:13+09:00,"국장에서 상장폐지 하고 나스닥에 상장 하면
어떻게 되나요?"
한량인생,2025-01-09T14:03:14+09:00,ㅋ
뿌니걸,2025-01-09T14:01:19+09:00,악
굿후드,2025-01-09T13:59:06+09:00,어제 막판 탈출.... 잘나왔네 내려가면 다시 매수..
느기모,2025-01-09T13:58:42+09:00,실적봐라 일안하냐
말리지마못참아,2025-01-09T13:57:48+09:00,ㅋㅋㅋㅋㅋ8천원이라도 벌긴 했네
주린인하,2025-01-09T13:57:42+09:00,안녕히 계세요
팝핀지누,2025-01-09T13:57:34+09:00,또 저점에 매수 타이밍
진돌맘,2025-01-09T13:56:39+09:00,똑똑한 검은머리외인ㅋㅋ
PEEDA,2025-01-09T13:56:09+09:00,"어차피 기대도 안했음.
2년동안 hbm하나 해결못하는 멍청한 놈들이 다닌.ㄴ 회사인데.. 뭘기대함.
브로드컴 파운드리도 일본한테 맡긴다지?"
럭키반지,2025-01-09T13:55:13+09:00,드루와
녀님님,2025-01-09T13:53:18+09:00,다시 54전자 가는거니
느기모,2025-01-09T13:58:42+09:00,실적봐라 일안하냐
말리지마못참아,2025-01-09T13:57:48+09:00,ㅋㅋㅋㅋㅋ8천원이라도 벌긴 했네
주린인하,2025-01-09T13:57:42+09:00,안녕히 계세요
팝핀지누,2025-01-09T13:57:34+09:00,또 저점에 매수 타이밍
진돌맘,2025-01-09T13:56:39+09:00,똑똑한 검은머리외인ㅋㅋ
PEEDA,2025-01-09T13:56:09+09:00,"어차피 기대도 안했음.
2년동안 hbm하나 해결못하는 멍청한 놈들이 다닌.ㄴ 회사인데.. 뭘기대함.
브로드컴 파운드리도 일본한테 맡긴다지?"
럭키반지,2025-01-09T13:55:13+09:00,드루와
녀님님,2025-01-09T13:53:18+09:00,다시 54전자 가는거니
이방지,2025-01-09T13:52:45+09:00,버거성님들 어제 잘 구입해 놓으시고 오늘 왜 다들 반품을ㅠ.ㅠ
앤든2,2025-01-09T13:52:01+09:00,6만이라도 일단 자리잡자!
나르자,2025-01-09T13:51:01+09:00,"떨어질줄알고 팔았고
더 떨어질거고 다시 살거임
나같은 개미들은 어? 팔까? 할때 팔고
어? 살까? 할때 기다려야함"
파파몽,2025-01-09T13:50:55+09:00,여기는 냉탕임
일개인적무림,2025-01-09T13:50:02+09:00,제 생각엔 60000 이하는 저평가 구간이 맞음 천천히 분할 매수했으면 고수들은 지금 수익권임 이래서 분할매수가 중요함 저처럼 몰빵하면 대응이 안 됩니다
PEEDA,2025-01-09T13:56:09+09:00,"어차피 기대도 안했음.
2년동안 hbm하나 해결못하는 멍청한 놈들이 다닌.ㄴ 회사인데.. 뭘기대함.
브로드컴 파운드리도 일본한테 맡긴다지?"
럭키반지,2025-01-09T13:55:13+09:00,드루와
녀님님,2025-01-09T13:53:18+09:00,다시 54전자 가는거니
이방지,2025-01-09T13:52:45+09:00,버거성님들 어제 잘 구입해 놓으시고 오늘 왜 다들 반품을ㅠ.ㅠ
앤든2,2025-01-09T13:52:01+09:00,6만이라도 일단 자리잡자!
나르자,2025-01-09T13:51:01+09:00,"떨어질줄알고 팔았고
더 떨어질거고 다시 살거임
나같은 개미들은 어? 팔까? 할때 팔고
어? 살까? 할때 기다려야함"
파파몽,2025-01-09T13:50:55+09:00,여기는 냉탕임
일개인적무림,2025-01-09T13:50:02+09:00,제 생각엔 60000 이하는 저평가 구간이 맞음 천천히 분할 매수했으면 고수들은 지금 수익권임 이래서 분할매수가 중요함 저처럼 몰빵하면 대응이 안 됩니다
매스캇,2025-01-09T13:48:55+09:00,53오면 매수해야지
가자어,2025-01-09T13:47:56+09:00,"어제는 악재는 호재다 하면서 오르더니 오늘은 엔비가 써준다는 호재나오니까 떨어지네 ㅋㅋㅋㅋ
또 그놈의 선반영임?"
KimYG77,2025-01-09T13:47:47+09:00,외국넘들 들어오는 척하다 다빠지네... 삼성을 믿는 내가 바보지
수민93,2025-01-09T13:46:51+09:00,아주 개미들 털려고 열심히네 ㅋㅋ 좀 털려라 개미들아
나르자,2025-01-09T13:51:01+09:00,"떨어질줄알고 팔았고
더 떨어질거고 다시 살거임
나같은 개미들은 어? 팔까? 할때 팔고
어? 살까? 할때 기다려야함"
파파몽,2025-01-09T13:50:55+09:00,여기는 냉탕임
일개인적무림,2025-01-09T13:50:02+09:00,제 생각엔 60000 이하는 저평가 구간이 맞음 천천히 분할 매수했으면 고수들은 지금 수익권임 이래서 분할매수가 중요함 저처럼 몰빵하면 대응이 안 됩니다
매스캇,2025-01-09T13:48:55+09:00,53오면 매수해야지
가자어,2025-01-09T13:47:56+09:00,"어제는 악재는 호재다 하면서 오르더니 오늘은 엔비가 써준다는 호재나오니까 떨어지네 ㅋㅋㅋㅋ
또 그놈의 선반영임?"
KimYG77,2025-01-09T13:47:47+09:00,외국넘들 들어오는 척하다 다빠지네... 삼성을 믿는 내가 바보지
수민93,2025-01-09T13:46:51+09:00,아주 개미들 털려고 열심히네 ㅋㅋ 좀 털려라 개미들아
고래딸기지리산,2025-01-09T13:46:12+09:00,역시 아침 뉴스 좋은 소식 있으면 떨어지군 ㅡㅡ
강미성,2025-01-09T13:45:45+09:00,내가넣으면 물림
꾸물꾸물1,2025-01-09T13:44:44+09:00,여윽시 ㅋㅋㅋ
블루판다,2025-01-09T13:44:38+09:00,지난번부터 말하지 않았나 외인은 기관이 계속 사줘야 팔건데 최근들어 기관도 외인따라 해서 외인이 그거 뿌리치려고 억지로 사고 기관 눈치보면서 판다고 호재가 없는데 들어올리가 없지.
쀼직쿵,2025-01-09T13:43:37+09:00,역시 호재기사 뜨면 파는게 정답
리트리버1010,2025-01-09T13:42:40+09:00,외인들 왜 나가는거지??
고래딸기지리산,2025-01-09T13:46:12+09:00,역시 아침 뉴스 좋은 소식 있으면 떨어지군 ㅡㅡ
강미성,2025-01-09T13:45:45+09:00,내가넣으면 물림
꾸물꾸물1,2025-01-09T13:44:44+09:00,여윽시 ㅋㅋㅋ
블루판다,2025-01-09T13:44:38+09:00,지난번부터 말하지 않았나 외인은 기관이 계속 사줘야 팔건데 최근들어 기관도 외인따라 해서 외인이 그거 뿌리치려고 억지로 사고 기관 눈치보면서 판다고 호재가 없는데 들어올리가 없지.
쀼직쿵,2025-01-09T13:43:37+09:00,역시 호재기사 뜨면 파는게 정답
리트리버1010,2025-01-09T13:42:40+09:00,외인들 왜 나가는거지??
존버하는거야,2025-01-09T13:42:10+09:00,진짜 지겹다 탈출하면 두번다시 안옴
뭐지망한듯,2025-01-09T13:42:09+09:00,외국인들 왜 빠짐??;
히코루또동,2025-01-09T13:42:05+09:00,저때문이에요
1일100달러버는도토리도토리,2025-01-09T13:41:59+09:00,"누나 오빠 언니 형들아
지금 5만원~56000원 박스권 깨지고
5만6천 바닥다지기 중인거라고 나는 생각햄

내평단서 나는 3월까지 1차 20% 먹을생각입니다.

5만4천원중반대 내려오면 추매마지막 기회일것같은데 기회주고 갈지는 모르겠당

호재가 등장하기시작하고 신용투자줄어들고
외인 슬슬 들어오면 가는겁니다.
쫄지마세욤."
2030년미래에서왔다,2025-01-09T13:41:13+09:00,이맛에 삼성주식하는거지
마카오강,2025-01-09T13:41:05+09:00,아나 다시 마이너스네
전자렌지,2025-01-09T13:40:58+09:00,한번 개미털고 다시 올리겠지
리트리버1010,2025-01-09T13:42:40+09:00,외인들 왜 나가는거지??
존버하는거야,2025-01-09T13:42:10+09:00,진짜 지겹다 탈출하면 두번다시 안옴
뭐지망한듯,2025-01-09T13:42:09+09:00,외국인들 왜 빠짐??;
히코루또동,2025-01-09T13:42:05+09:00,저때문이에요
1일100달러버는도토리도토리,2025-01-09T13:41:59+09:00,"누나 오빠 언니 형들아
지금 5만원~56000원 박스권 깨지고
5만6천 바닥다지기 중인거라고 나는 생각햄

내평단서 나는 3월까지 1차 20% 먹을생각입니다.

5만4천원중반대 내려오면 추매마지막 기회일것같은데 기회주고 갈지는 모르겠당

호재가 등장하기시작하고 신용투자줄어들고
외인 슬슬 들어오면 가는겁니다.
쫄지마세욤."
2030년미래에서왔다,2025-01-09T13:41:13+09:00,이맛에 삼성주식하는거지
마카오강,2025-01-09T13:41:05+09:00,아나 다시 마이너스네
전자렌지,2025-01-09T13:40:58+09:00,한번 개미털고 다시 올리겠지
투기꾼서씨,2025-01-09T13:40:44+09:00,정떨어지네..
권제로,2025-01-09T13:40:39+09:00,다시 5.3 간다 꽉붙잡아!!!
쿠쿠루삥뿡뿡,2025-01-09T13:39:27+09:00,애써올리고 다시내리오노!
파파몽,2025-01-09T13:38:46+09:00,외국인들 간보고 멈춘것 같기도 하고 애매하네
권제로,2025-01-09T13:37:57+09:00,제가 사서 내린거임 물론 1주만샀지만 ㅋㅋ
보름낮달,2025-01-09T13:37:35+09:00,"얘는 진짜 숨기고 안보는게 맞구나
내년에보자 안녕~~"
전자렌지,2025-01-09T13:40:58+09:00,한번 개미털고 다시 올리겠지
투기꾼서씨,2025-01-09T13:40:44+09:00,정떨어지네..
권제로,2025-01-09T13:40:39+09:00,다시 5.3 간다 꽉붙잡아!!!
쿠쿠루삥뿡뿡,2025-01-09T13:39:27+09:00,애써올리고 다시내리오노!
파파몽,2025-01-09T13:38:46+09:00,외국인들 간보고 멈춘것 같기도 하고 애매하네
권제로,2025-01-09T13:37:57+09:00,제가 사서 내린거임 물론 1주만샀지만 ㅋㅋ
보름낮달,2025-01-09T13:37:35+09:00,"얘는 진짜 숨기고 안보는게 맞구나
내년에보자 안녕~~"
